kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 409 : 10000 75056 0 0 0 0 0 0 0 
_1.ptx 410 : 10000 184496 0 0 0 0 0 0 0 
_1.ptx 411 : 10000 112256 0 0 0 0 0 0 0 
_1.ptx 412 : 10000 89872 0 0 0 313 313 0 0 
_1.ptx 413 : 10000 193328 0 0 0 0 0 0 0 
_1.ptx 414 : 10000 116352 0 0 0 0 0 0 0 
_1.ptx 415 : 10000 79344 0 0 0 0 0 0 0 
_1.ptx 416 : 10000 83168 0 0 0 0 0 0 0 
_1.ptx 417 : 10000 95952 0 0 0 0 0 0 0 
_1.ptx 418 : 10000 92768 0 0 0 0 0 0 0 
_1.ptx 419 : 10000 126480 0 0 0 0 0 0 0 
_1.ptx 420 : 10000 123120 0 0 0 0 0 0 0 
_1.ptx 421 : 10000 88496 0 0 0 0 0 0 0 
_1.ptx 422 : 10000 119376 0 0 0 0 0 0 0 
_1.ptx 423 : 10000 84720 0 0 0 0 0 0 0 
_1.ptx 424 : 10000 58926 0 0 0 0 0 0 0 
_1.ptx 425 : 10000 80752 0 0 0 0 0 0 0 
_1.ptx 426 : 10000 189952 0 0 0 0 0 0 0 
_1.ptx 427 : 10000 110352 0 0 0 0 0 0 0 
_1.ptx 428 : 10000 106192 0 0 0 313 313 0 0 
_1.ptx 430 : 10000 1218800 0 0 0 0 0 0 0 
_1.ptx 431 : 10000 111248 0 0 0 0 0 0 0 
_1.ptx 432 : 10000 3780432 40064 0 0 313 313 0 0 
_1.ptx 433 : 10000 95120 0 0 0 0 0 0 0 
_1.ptx 434 : 10000 91824 0 0 0 0 0 0 0 
_1.ptx 435 : 10000 166736 0 0 0 0 0 0 0 
_1.ptx 436 : 10000 109056 0 0 0 0 0 0 0 
_1.ptx 437 : 10000 104128 0 0 0 0 0 0 0 
_1.ptx 438 : 10000 601536 0 0 0 0 0 0 0 
_1.ptx 439 : 10000 93088 0 0 0 0 0 0 0 
_1.ptx 440 : 10000 87328 0 0 0 0 0 0 0 
_1.ptx 441 : 10000 128784 0 0 0 0 0 0 0 
_1.ptx 442 : 10000 409008 0 0 0 0 0 0 0 
_1.ptx 443 : 10000 74368 0 0 0 0 0 0 0 
_1.ptx 444 : 10000 66048 0 0 0 0 0 0 0 
_1.ptx 445 : 10000 804400 0 0 0 0 0 0 0 
_1.ptx 446 : 10000 70832 0 0 0 0 0 0 0 
_1.ptx 447 : 10000 662080 0 0 0 0 0 0 0 
_1.ptx 448 : 10000 61248 0 0 0 0 0 0 0 
_1.ptx 449 : 10000 114192 0 0 0 0 0 0 0 
_1.ptx 450 : 10000 62688 0 0 0 0 0 0 0 
_1.ptx 451 : 10000 112624 0 0 0 0 0 0 0 
_1.ptx 452 : 10000 796320 0 0 0 0 0 0 0 
_1.ptx 453 : 10000 113136 0 0 0 0 0 0 0 
_1.ptx 454 : 10000 77360 0 0 0 0 0 0 0 
_1.ptx 455 : 10000 72512 0 0 0 0 0 0 0 
_1.ptx 456 : 10000 161280 0 0 0 0 0 0 0 
_1.ptx 457 : 10000 77072 0 0 0 0 0 0 0 
_1.ptx 458 : 10000 50704 0 0 0 313 313 0 0 
_1.ptx 460 : 10000 2196448 0 0 0 313 313 0 0 
_1.ptx 461 : 10000 133696 0 0 0 0 0 0 0 
_1.ptx 462 : 10000 112064 0 0 0 0 0 0 0 
_1.ptx 464 : 10000 74736 0 0 0 0 0 0 0 
_1.ptx 465 : 10000 74976 0 0 0 0 0 0 0 
_1.ptx 466 : 10000 90224 0 0 0 0 0 0 0 
_1.ptx 467 : 10000 85104 0 0 0 0 0 0 0 
_1.ptx 468 : 10000 124672 0 0 0 0 0 0 0 
_1.ptx 469 : 10000 117936 0 0 0 0 0 0 0 
_1.ptx 470 : 10000 84144 0 0 0 0 0 0 0 
_1.ptx 471 : 10000 117232 0 0 0 0 0 0 0 
_1.ptx 472 : 10000 83680 0 0 0 0 0 0 0 
_1.ptx 473 : 10000 58437 0 0 0 0 0 0 0 
