kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 34 0 0 0 0 0 0 0 0 
_1.ptx 98 : 34 102 0 0 0 0 0 0 0 
_1.ptx 99 : 34 241 0 0 0 0 0 0 0 
_1.ptx 100 : 34 343 0 0 0 0 0 0 0 
_1.ptx 101 : 34 374 0 0 0 0 0 0 0 
_1.ptx 105 : 232 12025 4864 0 0 231 225 0 0 
_1.ptx 106 : 232 1630 0 0 0 0 0 0 0 
_1.ptx 107 : 232 2555 0 0 0 0 0 0 0 
_1.ptx 108 : 232 52576 21120 0 0 232 225 0 0 
_1.ptx 109 : 232 1395 0 0 0 0 0 0 0 
_1.ptx 110 : 232 1864 0 0 0 0 0 0 0 
_1.ptx 111 : 232 198 0 0 0 0 0 0 2 
_1.ptx 113 : 199 597 0 0 0 0 0 0 0 
_1.ptx 114 : 199 1995 0 0 0 0 0 0 0 
_1.ptx 115 : 199 2192 0 0 0 0 0 0 0 
_1.ptx 116 : 199 5730 128 0 0 195 195 0 0 
_1.ptx 117 : 199 1993 0 0 0 0 0 0 0 
_1.ptx 118 : 199 1995 0 0 0 0 0 0 0 
_1.ptx 119 : 199 2191 0 0 0 0 0 0 0 
_1.ptx 120 : 199 1008 6112 0 0 199 195 0 0 
_1.ptx 122 : 199 1198 0 0 0 0 0 0 0 
_1.ptx 123 : 199 2190 0 0 0 0 0 0 0 
_1.ptx 124 : 199 1010 64 0 0 199 195 0 0 
_1.ptx 126 : 199 1195 0 0 0 0 0 0 0 
_1.ptx 127 : 199 617 0 0 0 0 0 0 0 
_1.ptx 128 : 199 1166 32 0 0 195 195 0 0 
_1.ptx 129 : 199 804 0 0 0 195 195 0 0 
_1.ptx 130 : 199 802 0 0 0 195 195 0 0 
_1.ptx 131 : 199 2193 0 0 0 0 0 0 0 
_1.ptx 134 : 232 2325 0 0 0 0 0 0 0 
_1.ptx 135 : 232 2324 0 0 0 0 0 0 0 
_1.ptx 136 : 232 1857 0 0 0 0 0 0 0 
_1.ptx 137 : 232 1189 0 0 0 0 0 0 2 
_1.ptx 141 : 131072 792000 0 0 0 0 0 0 0 
_1.ptx 66 : 131072 794528 0 0 0 0 0 0 0 
_1.ptx 67 : 131072 1420000 0 0 0 0 0 0 0 
_1.ptx 68 : 131072 793376 0 0 0 0 0 0 0 
_1.ptx 69 : 131072 1453760 0 0 0 0 0 0 0 
_1.ptx 70 : 131072 1400576 128 0 0 0 0 0 0 
_1.ptx 71 : 131072 1059584 0 0 0 0 0 0 0 
_1.ptx 72 : 131072 0 0 0 0 0 0 0 0 
_1.ptx 73 : 131072 933632 0 0 0 0 0 0 0 
_1.ptx 74 : 131072 395648 0 0 0 0 0 0 0 
_1.ptx 75 : 131072 1451744 0 0 0 0 0 0 0 
_1.ptx 76 : 131072 25424768 65280 0 0 4096 4096 0 0 
_1.ptx 77 : 131072 790464 0 0 0 0 0 0 0 
_1.ptx 78 : 131072 1063360 0 0 0 0 0 0 0 
_1.ptx 79 : 131072 789140 0 0 0 0 0 0 32 
_1.ptx 81 : 34 205 0 0 0 0 0 0 0 
_1.ptx 82 : 34 183 0 0 0 32 32 0 0 
_1.ptx 84 : 34 104 0 0 0 0 0 0 0 
_1.ptx 85 : 34 205 0 0 0 0 0 0 0 
_1.ptx 86 : 34 374 0 0 0 0 0 0 0 
_1.ptx 87 : 34 191 32 0 0 32 32 0 0 
_1.ptx 89 : 34 116 0 0 0 0 0 0 0 
_1.ptx 90 : 34 342 0 0 0 0 0 0 0 
_1.ptx 91 : 34 376 0 0 0 0 0 0 0 
_1.ptx 92 : 34 9479 4096 0 0 32 32 0 0 
_1.ptx 93 : 34 241 0 0 0 0 0 0 0 
_1.ptx 94 : 34 144 0 0 0 32 32 0 0 
_1.ptx 95 : 34 374 0 0 0 0 0 0 0 
_1.ptx 96 : 34 272 0 0 0 0 0 0 0 
