kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 67 : 1179648 7131296 0 0 0 0 0 0 0 
_1.ptx 68 : 1179648 12099904 0 0 0 0 0 0 0 
_1.ptx 69 : 1179648 7143456 0 0 0 0 0 0 0 
_1.ptx 70 : 1179648 12168480 0 0 0 0 0 0 0 
_1.ptx 71 : 1179648 7207104 0 0 0 0 0 0 0 
_1.ptx 72 : 1179648 7310496 0 0 0 0 0 0 0 
_1.ptx 73 : 1179648 13128064 0 0 0 0 0 0 0 
_1.ptx 74 : 1179648 13132864 0 0 0 0 0 0 0 
_1.ptx 75 : 1179648 7464576 0 0 0 0 0 0 0 
_1.ptx 76 : 1179648 8780448 0 0 0 0 0 0 0 
_1.ptx 77 : 1179648 8590304 0 0 0 0 0 0 0 
_1.ptx 78 : 1179648 12158848 0 0 0 0 0 0 0 
_1.ptx 79 : 1179648 13080800 0 0 0 0 0 0 0 
_1.ptx 80 : 1179648 12128512 0 0 0 0 0 0 0 
_1.ptx 81 : 1179648 13061312 0 0 0 0 0 0 0 
_1.ptx 82 : 1179648 5113088 128 0 0 0 0 0 0 
_1.ptx 83 : 1179648 13304128 0 0 0 0 0 0 0 
_1.ptx 84 : 1179648 13057056 0 0 0 0 0 0 0 
_1.ptx 85 : 1179648 8399136 0 0 0 0 0 0 0 
_1.ptx 86 : 1179648 12082240 0 0 0 0 0 0 0 
_1.ptx 87 : 1179648 3867552 0 0 0 0 0 0 0 
_1.ptx 88 : 1179648 13036864 0 0 0 0 0 0 0 
_1.ptx 89 : 1179648 348907488 9397504 0 0 73728 36864 0 0 
_1.ptx 90 : 1179648 7563808 0 73728 36864 0 0 0 0 
_1.ptx 91 : 1179648 8011712 0 0 0 73728 36864 0 0 
_1.ptx 92 : 1179648 7658688 0 73728 36864 0 0 0 0 
_1.ptx 93 : 1179648 347560992 9306112 0 0 73728 36864 0 0 
_1.ptx 94 : 1179648 7522048 0 73728 36864 0 0 0 0 
_1.ptx 95 : 1179648 7856064 0 0 0 73728 36864 0 0 
_1.ptx 96 : 1179648 7610624 0 73728 36864 0 0 0 0 
_1.ptx 97 : 1179648 11899936 0 0 0 0 0 0 0 
_1.ptx 98 : 1179648 7106048 0 0 0 0 0 0 0 
_1.ptx 99 : 1179648 9503040 0 0 0 0 0 0 0 
