kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1636 : 32768 368288 0 0 0 0 0 0 0 
_1.ptx 1637 : 32768 365760 0 0 0 0 0 0 0 
_1.ptx 1638 : 32768 366944 0 0 0 0 0 0 0 
_1.ptx 1639 : 32768 366560 0 0 0 0 0 0 0 
_1.ptx 1641 : 32768 367520 0 0 0 0 0 0 0 
_1.ptx 1642 : 32768 307808 0 0 0 0 0 0 0 
_1.ptx 1643 : 32768 383712 0 0 0 0 0 0 0 
_1.ptx 1644 : 32768 366624 0 0 0 0 0 0 0 
_1.ptx 1645 : 32768 305152 0 0 0 0 0 0 0 
_1.ptx 1647 : 32768 372096 0 0 0 0 0 0 0 
_1.ptx 1648 : 32768 101536 0 0 0 0 0 0 0 
_1.ptx 1649 : 32768 366240 0 0 0 0 0 0 0 
_1.ptx 1650 : 32768 366528 0 0 0 0 0 0 0 
_1.ptx 1651 : 32768 170592 0 1024 1024 0 0 0 0 
_1.ptx 1653 : 32768 365440 0 0 0 0 0 0 0 
_1.ptx 1654 : 32768 367008 0 0 0 0 0 0 0 
_1.ptx 1655 : 32768 172512 0 1024 1024 0 0 0 0 
_1.ptx 1657 : 32768 365216 0 0 0 0 0 0 0 
_1.ptx 1658 : 32768 365344 0 0 0 0 0 0 0 
_1.ptx 1659 : 32768 365920 0 0 0 0 0 0 0 
_1.ptx 1660 : 32768 172192 0 1024 1024 0 0 0 0 
_1.ptx 1662 : 32768 365888 0 0 0 0 0 0 0 
_1.ptx 1663 : 32768 365600 0 0 0 0 0 0 0 
_1.ptx 1664 : 32768 170528 0 1024 1024 0 0 0 0 
_1.ptx 1666 : 32768 365536 0 0 0 0 0 0 0 
_1.ptx 1667 : 32768 366240 0 0 0 0 0 0 0 
_1.ptx 1668 : 32768 366336 0 0 0 0 0 0 0 
_1.ptx 1669 : 32768 171232 0 1024 1024 0 0 0 0 
_1.ptx 1671 : 32768 364896 0 0 0 0 0 0 0 
_1.ptx 1672 : 32768 365952 0 0 0 0 0 0 0 
_1.ptx 1673 : 32768 367296 0 0 0 0 0 0 0 
_1.ptx 1674 : 32768 172128 0 1024 1024 0 0 0 0 
_1.ptx 1676 : 32768 364800 0 0 0 0 0 0 0 
_1.ptx 1677 : 32768 369568 0 0 0 0 0 0 0 
_1.ptx 1678 : 32768 176928 0 1024 1024 0 0 0 0 
_1.ptx 1680 : 32768 365280 0 0 0 0 0 0 0 
_1.ptx 1681 : 32768 367584 0 0 0 0 0 0 0 
_1.ptx 1682 : 32768 172864 0 1024 1024 0 0 0 0 
_1.ptx 1684 : 32768 365536 0 0 0 0 0 0 0 
_1.ptx 1685 : 32768 344224 0 0 0 0 0 0 0 
_1.ptx 1686 : 32768 245248 0 0 0 0 0 0 0 
_1.ptx 1687 : 32768 370016 0 0 0 0 0 0 0 
_1.ptx 1688 : 32768 246176 0 0 0 0 0 0 0 
_1.ptx 1689 : 32768 368544 0 0 0 0 0 0 0 
_1.ptx 1690 : 32768 344256 0 0 0 0 0 0 0 
_1.ptx 1691 : 32768 368064 0 0 0 0 0 0 0 
_1.ptx 1692 : 32768 275712 0 1024 1024 0 0 0 0 
_1.ptx 1693 : 32768 276000 0 1024 1024 0 0 0 0 
_1.ptx 1694 : 32768 370112 0 0 0 0 0 0 0 
_1.ptx 1696 : 32768 278272 0 1024 1024 0 0 0 0 
_1.ptx 1697 : 32768 285504 0 1024 1024 0 0 0 0 
_1.ptx 1698 : 32768 369248 0 0 0 0 0 0 0 
_1.ptx 1699 : 32768 308416 0 0 0 0 0 0 0 
