kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 1227 : 25604099 282330355 0 0 0 0 0 0 0 
_3.ptx 1228 : 25604099 23594382856 215849216 0 0 25604099 1678196 0 0 
_3.ptx 1229 : 25604099 153864550 0 0 0 0 0 0 0 
_3.ptx 1230 : 25604099 205294670 0 0 0 0 0 0 0 
_3.ptx 1231 : 25604099 231360251 0 0 0 0 0 0 0 
_3.ptx 1233 : 25604099 153922732 0 0 0 0 0 0 0 
_3.ptx 1236 : 737280 5178944 0 0 0 0 0 0 0 
_3.ptx 1237 : 737280 8125764 0 0 0 0 0 0 0 
_3.ptx 1238 : 737280 530455113 11039744 0 0 737280 286414 0 0 
_3.ptx 1239 : 737280 4430304 0 0 0 0 0 0 0 
_3.ptx 1240 : 737280 5912875 0 0 0 0 0 0 0 
_3.ptx 1241 : 737280 3973183 0 0 0 0 0 0 11691 
_3.ptx 1242 : 76800 461638 0 0 0 0 0 0 0 
_3.ptx 1243 : 76800 462509 0 0 0 0 0 0 0 
_3.ptx 1246 : 660480 3968915 0 0 0 0 0 0 0 
_3.ptx 1247 : 660480 5297722 0 0 0 0 0 0 0 
_3.ptx 1248 : 660480 4667193 0 0 0 0 0 0 0 
_3.ptx 1249 : 660480 4003084 0 0 0 0 0 0 0 
_3.ptx 1252 : 146432 1029939 0 0 0 0 0 0 0 
_3.ptx 1253 : 146432 1614381 0 0 0 0 0 0 0 
_3.ptx 1254 : 146432 95374549 1798912 0 0 146432 64480 0 0 
_3.ptx 1255 : 146432 880226 0 0 0 0 0 0 0 
_3.ptx 1256 : 146432 1175018 0 0 0 0 0 0 0 
_3.ptx 1257 : 146432 542051 0 0 0 0 0 0 1204 
_3.ptx 1259 : 56320 338719 0 0 0 0 0 0 0 
_3.ptx 1260 : 56320 11922831 491296 0 0 0 0 0 0 
_3.ptx 1261 : 56320 338687 0 0 0 0 0 0 0 
_3.ptx 1262 : 56320 10664596 328736 0 0 0 0 0 0 
_3.ptx 1263 : 56320 338637 0 0 0 0 0 0 0 
_3.ptx 1264 : 56320 8820536 35072 0 0 0 0 0 0 
_3.ptx 1265 : 56320 338734 0 0 0 0 0 0 0 
_3.ptx 1266 : 56320 7837013 15840 0 0 0 0 0 0 
_3.ptx 1267 : 56320 338691 0 0 0 0 0 0 0 
_3.ptx 1268 : 56320 7784740 499808 0 0 0 0 0 0 
_3.ptx 1269 : 56320 338738 0 0 0 0 0 0 0 
_3.ptx 1273 : 281600 1986887 0 0 0 0 0 0 0 
_3.ptx 1274 : 281600 3107361 0 0 0 0 0 0 0 
_3.ptx 1275 : 281600 106924918 208000 0 0 0 0 0 0 
_3.ptx 1276 : 281600 3108516 0 0 0 0 0 0 0 
_3.ptx 1277 : 281600 101509363 779904 0 0 281600 121320 0 0 
_3.ptx 1278 : 281600 2263373 0 0 0 0 0 0 0 
_2.ptx 869 : 12288 75296 0 0 0 0 0 0 0 
_3.ptx 1279 : 281600 339087 0 0 0 0 0 0 0 
_2.ptx 870 : 12288 37312 0 0 0 0 0 0 0 
_2.ptx 871 : 12288 74944 0 0 0 0 0 0 0 
_3.ptx 1281 : 225280 2267696 0 0 0 0 0 0 0 
_2.ptx 872 : 12288 99936 0 0 0 0 0 0 0 
_3.ptx 1282 : 225280 1359700 0 0 0 0 0 0 0 
_2.ptx 873 : 12288 0 0 0 0 0 0 0 0 
_3.ptx 1283 : 225280 1811168 0 0 0 0 0 0 0 
_2.ptx 874 : 12288 76128 0 0 0 0 0 0 0 
_3.ptx 1284 : 225280 1356439 0 0 0 0 0 0 0 
_2.ptx 875 : 12288 87552 0 0 0 0 0 0 0 
_2.ptx 876 : 12288 100512 0 0 0 0 0 0 0 
_2.ptx 877 : 12288 78944 0 0 0 0 0 0 0 
_3.ptx 1290 : 56320 338818 0 0 0 0 0 0 0 
_2.ptx 881 : 12288 75488 0 0 0 0 0 0 0 
_3.ptx 1291 : 56320 452256 0 0 0 0 0 0 0 
_3.ptx 1292 : 56320 0 0 0 0 0 0 0 0 
_2.ptx 883 : 12288 75680 0 0 0 0 0 0 0 
_2.ptx 884 : 12288 138592 0 0 0 0 0 0 0 
_3.ptx 1294 : 56320 565666 0 0 0 0 0 0 0 
_2.ptx 885 : 12288 77856 0 0 0 0 0 0 0 
_2.ptx 886 : 12288 88896 0 0 0 0 0 0 0 
_3.ptx 1295 : 56320 339595 0 0 0 0 0 0 0 
_2.ptx 887 : 12288 135968 0 0 0 0 0 0 0 
_3.ptx 1296 : 56320 341565 0 0 0 0 0 0 0 
_2.ptx 888 : 12288 88704 0 0 0 0 0 0 0 
_2.ptx 889 : 12288 136288 0 0 0 0 0 0 0 
_2.ptx 890 : 12288 87392 0 0 0 0 0 0 0 
_2.ptx 891 : 12288 134144 0 0 0 0 0 0 0 
_2.ptx 892 : 12288 135616 0 0 0 0 0 0 0 
_2.ptx 893 : 12288 38144 0 0 0 0 0 0 0 
_2.ptx 894 : 12288 136192 0 0 0 0 0 0 0 
_3.ptx 1303 : 90112 541731 0 0 0 0 0 0 0 
_2.ptx 895 : 12288 3513472 49152 0 0 384 384 0 0 
_3.ptx 1304 : 90112 542568 0 0 0 0 0 0 0 
_2.ptx 896 : 12288 76352 0 768 384 0 0 0 0 
_3.ptx 1305 : 90112 541700 0 0 0 0 0 0 0 
_3.ptx 1306 : 90112 725665 0 0 0 0 0 0 0 
_2.ptx 898 : 12288 135872 0 0 0 0 0 0 0 
_3.ptx 1307 : 90112 812928 0 0 0 0 0 0 0 
_2.ptx 899 : 12288 136128 0 0 0 0 0 0 0 
_3.ptx 1308 : 90112 541729 0 0 0 0 0 0 0 
_2.ptx 900 : 12288 89088 0 0 0 0 0 0 0 
_2.ptx 901 : 12288 126016 0 0 0 0 0 0 0 
_2.ptx 902 : 12288 89344 0 0 0 0 0 0 0 
_3.ptx 1311 : 112640 792927 0 0 0 0 0 0 0 
_2.ptx 903 : 12288 136896 0 0 0 0 0 0 0 
_3.ptx 1312 : 112640 1241939 0 0 0 0 0 0 0 
_2.ptx 904 : 12288 89664 0 0 0 0 0 0 0 
_3.ptx 1313 : 112640 71802864 1952384 0 0 112640 47872 0 0 
_2.ptx 905 : 12288 125664 0 0 0 0 0 0 0 
_3.ptx 1314 : 112640 677475 0 0 0 0 0 0 0 
_2.ptx 906 : 12288 136224 0 0 0 0 0 0 0 
_3.ptx 1315 : 112640 904193 0 0 0 0 0 0 0 
_2.ptx 907 : 12288 136128 0 0 0 0 0 0 0 
_3.ptx 1316 : 112640 0 0 0 0 0 0 0 0 
_2.ptx 908 : 12288 3377792 49152 0 0 384 384 0 0 
_3.ptx 1317 : 112640 677458 0 0 0 0 0 0 0 
_2.ptx 909 : 12288 76992 0 768 384 0 0 0 0 
_3.ptx 1318 : 112640 904135 0 0 0 0 0 0 0 
_3.ptx 1319 : 112640 339108 0 0 0 0 0 0 656 
_2.ptx 911 : 12288 74976 0 0 0 0 0 0 0 
_2.ptx 912 : 12288 89760 0 0 0 0 0 0 0 
_2.ptx 913 : 12288 77504 0 0 0 0 0 0 0 
_3.ptx 1322 : 56320 339776 0 0 0 0 0 0 0 
