kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 413 : 15360 819136 0 0 0 0 0 0 0 
_1.ptx 414 : 15360 169056 0 0 0 0 0 0 0 
_1.ptx 415 : 15360 94624 0 0 0 0 0 0 0 
_1.ptx 416 : 15360 97760 0 0 0 0 0 0 0 
_1.ptx 417 : 15360 183392 0 0 0 0 0 0 0 
_1.ptx 418 : 15360 94336 0 0 0 0 0 0 0 
_1.ptx 419 : 15360 182944 0 0 0 0 0 0 0 
_1.ptx 420 : 15360 109504 0 0 0 0 0 0 0 
_1.ptx 421 : 15360 96064 0 0 0 0 0 0 0 
_1.ptx 422 : 15360 170304 0 0 0 0 0 0 0 
_1.ptx 423 : 15360 169472 0 0 0 0 0 0 0 
_1.ptx 424 : 15360 124256 0 0 0 0 0 0 0 
_1.ptx 425 : 15360 169792 0 0 0 0 0 0 0 
_1.ptx 426 : 15360 139136 0 0 0 0 0 0 0 
_1.ptx 427 : 15360 109568 0 0 0 0 0 0 0 
_1.ptx 428 : 15360 720896 0 0 0 0 0 0 0 
_1.ptx 429 : 15360 164640 0 0 0 0 0 0 0 
_1.ptx 430 : 15360 124832 0 0 0 0 0 0 0 
_1.ptx 431 : 15360 0 0 0 0 0 0 0 0 
_1.ptx 432 : 15360 110080 0 0 0 0 0 0 0 
_1.ptx 433 : 15360 155968 0 0 0 0 0 0 0 
_1.ptx 434 : 15360 720736 0 0 0 0 0 0 0 
_1.ptx 435 : 15360 109984 0 0 0 0 0 0 0 
_1.ptx 436 : 15360 168800 0 0 0 0 0 0 0 
_1.ptx 437 : 15360 170432 0 0 0 0 0 0 0 
_1.ptx 441 : 399992 2425424 0 0 0 0 0 0 0 
_1.ptx 442 : 399992 34722592 1600000 0 0 12500 12500 0 0 
_1.ptx 444 : 399992 4417512 0 0 0 0 0 0 0 
_1.ptx 445 : 399992 4414056 0 0 0 0 0 0 0 
_1.ptx 446 : 399992 3217856 0 0 0 0 0 0 0 
_1.ptx 447 : 399992 2338832 0 0 0 0 0 0 1 
_1.ptx 450 : 15360 92768 0 0 0 0 0 0 0 
_1.ptx 62 : 1 6 0 0 0 0 0 0 0 
_1.ptx 63 : 1 280 128 0 0 0 0 0 0 
_1.ptx 64 : 1 5 32 0 0 1 1 0 0 
_1.ptx 66 : 1 6 0 0 0 0 0 0 0 
_1.ptx 67 : 1 4 32 0 0 1 1 0 0 
_1.ptx 69 : 1 6 0 0 0 0 0 0 0 
_1.ptx 70 : 1 4 32 0 0 1 1 0 0 
_1.ptx 72 : 1 6 0 0 0 0 0 0 0 
_1.ptx 73 : 1 4 32 0 0 1 1 0 0 
_1.ptx 75 : 1 6 0 0 0 0 0 0 0 
_1.ptx 112 : 23040 574304 0 0 0 0 0 0 0 
_1.ptx 113 : 23040 822400 128 0 0 720 720 0 0 
_1.ptx 114 : 23040 163968 0 0 0 0 0 0 0 
_1.ptx 116 : 23040 74592 0 0 0 0 0 0 0 
_1.ptx 117 : 23040 786560 128 0 0 720 720 0 0 
_1.ptx 118 : 23040 164384 0 0 0 0 0 0 0 
_1.ptx 120 : 23040 75712 0 0 0 0 0 0 0 
_1.ptx 121 : 23040 1300128 128 0 0 720 720 0 0 
_1.ptx 122 : 23040 165984 0 0 0 0 0 0 0 
_1.ptx 124 : 23040 144864 0 0 0 0 0 0 0 
_1.ptx 125 : 23040 244128 0 0 0 0 0 0 0 
_1.ptx 126 : 23040 141440 0 0 0 0 0 0 0 
_1.ptx 127 : 23040 256864 0 0 0 0 0 0 0 
_1.ptx 128 : 23040 166624 0 0 0 0 0 0 0 
_1.ptx 129 : 23040 70176 0 0 0 0 0 0 0 
_1.ptx 130 : 23040 188672 0 0 0 0 0 0 0 
_1.ptx 131 : 23040 0 0 0 0 0 0 0 0 
_1.ptx 132 : 23040 146432 0 0 0 0 0 0 0 
_1.ptx 133 : 23040 255840 0 0 0 0 0 0 0 
_1.ptx 134 : 23040 169024 0 0 0 0 0 0 0 
_1.ptx 135 : 23040 269184 0 0 0 0 0 0 0 
_1.ptx 136 : 23040 168992 0 0 0 0 0 0 0 
_1.ptx 137 : 23040 256800 0 0 0 0 0 0 0 
_1.ptx 138 : 23040 254656 0 0 0 0 0 0 0 
_1.ptx 139 : 23040 258464 0 0 0 0 0 0 0 
_1.ptx 140 : 23040 260320 0 0 0 0 0 0 0 
_1.ptx 144 : 50000 14125616 199936 0 0 1563 1563 0 0 
_1.ptx 146 : 50000 1004448 0 0 0 0 0 0 0 
_1.ptx 148 : 50000 1005568 0 0 0 0 0 0 0 
_1.ptx 150 : 50000 13987152 199936 0 0 1563 1563 0 0 
_1.ptx 152 : 50000 1010016 0 0 0 0 0 0 0 
_1.ptx 154 : 50000 1011392 0 0 0 0 0 0 0 
_1.ptx 156 : 50000 13942224 199936 0 0 1563 1563 0 0 
_1.ptx 158 : 50000 1022656 0 0 0 0 0 0 0 
_1.ptx 160 : 50000 1022752 0 0 0 0 0 0 0 
_1.ptx 161 : 50000 586224 0 0 0 0 0 0 0 
_1.ptx 162 : 50000 577808 0 0 0 0 0 0 0 
_1.ptx 163 : 50000 587632 0 0 0 0 0 0 0 
_1.ptx 164 : 50000 597264 0 0 0 0 0 0 0 
_1.ptx 165 : 50000 446688 0 0 0 0 0 0 0 
_1.ptx 166 : 50000 179312 0 0 0 0 0 0 1 
_1.ptx 168 : 23040 168992 0 0 0 0 0 0 0 
_1.ptx 169 : 23040 165696 0 0 0 0 0 0 0 
_1.ptx 170 : 23040 168352 0 0 0 0 0 0 0 
_1.ptx 171 : 23040 160896 0 0 0 0 0 0 0 
_1.ptx 172 : 23040 164608 0 0 0 0 0 0 0 
_1.ptx 173 : 23040 159200 0 0 0 0 0 0 0 
_1.ptx 175 : 23040 181024 0 0 0 0 0 0 0 
_1.ptx 176 : 23040 235040 0 0 0 0 0 0 0 
_1.ptx 177 : 23040 261376 0 0 0 0 0 0 0 
_1.ptx 178 : 23040 119232 0 720 720 0 0 0 0 
_1.ptx 180 : 23040 261920 0 0 0 0 0 0 0 
_1.ptx 181 : 23040 119200 0 720 720 0 0 0 0 
_1.ptx 183 : 23040 256704 0 0 0 0 0 0 0 
_1.ptx 184 : 23040 119584 0 720 720 0 0 0 0 
_1.ptx 186 : 23040 254528 0 0 0 0 0 0 0 
_1.ptx 187 : 23040 119584 0 720 720 0 0 0 0 
_1.ptx 189 : 23040 254336 0 0 0 0 0 0 0 
_1.ptx 190 : 23040 120928 0 720 720 0 0 0 0 
_1.ptx 192 : 23040 254336 0 0 0 0 0 0 0 
_1.ptx 193 : 23040 119072 0 720 720 0 0 0 0 
_1.ptx 194 : 23040 140416 0 0 0 0 0 0 0 
_1.ptx 198 : 207360 1298592 0 0 0 0 0 0 0 
_1.ptx 199 : 207360 1695808 0 0 0 0 0 0 0 
_1.ptx 200 : 207360 1159886 0 0 0 0 0 0 225 
_1.ptx 202 : 22995 257946 0 0 0 0 0 0 0 
_1.ptx 203 : 22995 161409 0 0 0 0 0 0 0 
_1.ptx 204 : 22995 271550 0 0 0 0 0 0 0 
_1.ptx 205 : 22995 254451 0 0 0 0 0 0 0 
_1.ptx 206 : 22995 186228 0 900 900 0 0 0 0 
_1.ptx 207 : 22995 460896 0 0 0 0 0 0 0 
_1.ptx 208 : 22995 116447 0 900 900 0 0 0 0 
_1.ptx 210 : 22995 255863 0 0 0 0 0 0 0 
_1.ptx 211 : 22995 189624 0 900 900 0 0 0 0 
_1.ptx 212 : 22995 461298 0 0 0 0 0 0 0 
_1.ptx 213 : 22995 117791 0 900 900 0 0 0 0 
_1.ptx 215 : 22995 254974 0 0 0 0 0 0 0 
_1.ptx 216 : 22995 190158 0 900 900 0 0 0 0 
_1.ptx 217 : 22995 461858 0 0 0 0 0 0 0 
_1.ptx 218 : 22995 118584 0 900 900 0 0 0 0 
_1.ptx 220 : 22995 255195 0 0 0 0 0 0 0 
_1.ptx 221 : 22995 187919 0 900 900 0 0 0 0 
_1.ptx 222 : 22995 462809 0 0 0 0 0 0 0 
_1.ptx 223 : 22995 118820 0 900 900 0 0 0 0 
_1.ptx 225 : 22995 253783 0 0 0 0 0 0 0 
_1.ptx 226 : 22995 190014 0 900 900 0 0 0 0 
_1.ptx 227 : 22995 460541 0 0 0 0 0 0 0 
_1.ptx 228 : 22995 120291 0 900 900 0 0 0 0 
_1.ptx 230 : 22995 254617 0 0 0 0 0 0 0 
_1.ptx 231 : 22995 189822 0 900 900 0 0 0 0 
_1.ptx 232 : 22995 460543 0 0 0 0 0 0 0 
_1.ptx 233 : 22995 119448 0 900 900 0 0 0 0 
_1.ptx 236 : 207360 1548512 0 0 0 0 0 0 0 
_1.ptx 237 : 207360 1350304 0 0 0 0 0 0 0 
_1.ptx 238 : 207360 1702656 0 0 0 0 0 0 0 
_1.ptx 239 : 207360 2302272 0 0 0 0 0 0 0 
_1.ptx 240 : 207360 1514592 0 0 0 0 0 0 0 
_1.ptx 241 : 207360 1328256 0 0 0 0 0 0 0 
_1.ptx 242 : 207360 1686784 0 0 0 0 0 0 0 
_1.ptx 243 : 207360 1159328 0 0 0 0 0 0 0 
_1.ptx 244 : 23040 140384 0 0 0 0 0 0 0 
_1.ptx 245 : 23040 186304 0 0 0 0 0 0 0 
_1.ptx 246 : 23040 145426 0 0 0 0 0 0 45 
_1.ptx 248 : 45 271 0 0 0 0 0 0 0 
_1.ptx 249 : 45 317 0 0 0 0 0 0 0 
_1.ptx 250 : 45 453 0 0 0 0 0 0 0 
_1.ptx 251 : 45 2359 0 0 0 0 0 0 0 
_1.ptx 252 : 45 496 0 0 0 0 0 0 0 
_1.ptx 253 : 45 225 224 0 0 45 45 0 0 
_1.ptx 255 : 45 135 0 0 0 0 0 0 0 
_1.ptx 256 : 45 497 0 0 0 0 0 0 0 
_1.ptx 257 : 45 261 224 0 0 45 45 0 0 
_1.ptx 259 : 45 149 0 0 0 0 0 0 0 
_1.ptx 260 : 45 495 0 0 0 0 0 0 0 
_1.ptx 261 : 45 225 224 0 0 45 45 0 0 
_1.ptx 263 : 45 135 0 0 0 0 0 0 0 
_1.ptx 264 : 45 495 0 0 0 0 0 0 0 
_1.ptx 265 : 45 253 224 0 0 45 45 0 0 
_1.ptx 267 : 45 136 0 0 0 0 0 0 0 
_1.ptx 268 : 45 495 0 0 0 0 0 0 0 
_1.ptx 269 : 45 226 224 0 0 45 45 0 0 
_1.ptx 271 : 45 135 0 0 0 0 0 0 0 
_1.ptx 272 : 45 496 0 0 0 0 0 0 0 
_1.ptx 273 : 45 266 224 0 0 45 45 0 0 
_1.ptx 275 : 45 139 0 0 0 0 0 0 0 
_1.ptx 277 : 45 272 0 0 0 0 0 0 0 
_1.ptx 278 : 45 463 0 0 0 0 0 0 0 
_1.ptx 279 : 45 283 0 0 0 0 0 0 0 
_1.ptx 280 : 45 7347 0 0 0 45 45 0 0 
_1.ptx 281 : 45 315 0 0 0 0 0 0 0 
_1.ptx 282 : 45 361 0 0 0 0 0 0 0 
_1.ptx 283 : 45 264 0 0 0 0 0 0 0 
_1.ptx 284 : 1 6 0 0 0 0 0 0 0 
_1.ptx 285 : 1 8 0 0 0 0 0 0 0 
_1.ptx 286 : 1 0 0 0 0 0 0 0 0 
_1.ptx 287 : 1 7 0 0 0 0 0 0 0 
_1.ptx 288 : 1 7 0 0 0 0 0 0 0 
_1.ptx 289 : 1 7 0 0 0 0 0 0 0 
_1.ptx 290 : 1 7 0 0 0 0 0 0 0 
_1.ptx 291 : 1 7 0 0 0 0 0 0 0 
_1.ptx 292 : 1 7 0 0 0 0 0 0 0 
_1.ptx 293 : 1 7 0 0 0 0 0 0 0 
_1.ptx 294 : 1 6 0 0 0 0 0 0 0 
_1.ptx 295 : 1 7 0 0 0 0 0 0 0 
_1.ptx 299 : 45 470 0 0 0 45 45 0 0 
_1.ptx 300 : 45 900 0 0 0 0 0 0 0 
_1.ptx 302 : 45 470 0 0 0 45 45 0 0 
_1.ptx 303 : 45 900 0 0 0 0 0 0 0 
_1.ptx 305 : 45 470 0 0 0 45 45 0 0 
_1.ptx 306 : 45 900 0 0 0 0 0 0 0 
_1.ptx 308 : 45 470 0 0 0 45 45 0 0 
_1.ptx 309 : 45 900 0 0 0 0 0 0 0 
_1.ptx 311 : 45 470 0 0 0 45 45 0 0 
_1.ptx 312 : 45 900 0 0 0 0 0 0 0 
_1.ptx 314 : 45 470 0 0 0 45 45 0 0 
_1.ptx 315 : 45 900 0 0 0 0 0 0 0 
_1.ptx 316 : 45 450 0 0 0 0 0 0 0 
_1.ptx 317 : 45 450 0 0 0 0 0 0 0 
_1.ptx 318 : 45 450 0 0 0 0 0 0 0 
_1.ptx 319 : 45 493 0 0 0 0 0 0 0 
_1.ptx 320 : 45 450 0 0 0 0 0 0 0 
_1.ptx 321 : 45 450 0 0 0 0 0 0 0 
_1.ptx 322 : 45 450 0 0 0 0 0 0 0 
_1.ptx 323 : 45 360 0 0 0 0 0 0 0 
_1.ptx 324 : 45 264 0 0 0 0 0 0 0 
_1.ptx 327 : 1 11 0 0 0 0 0 0 0 
_1.ptx 328 : 1 11 0 0 0 0 0 0 0 
_1.ptx 329 : 1 20 0 0 0 0 0 0 0 
_1.ptx 330 : 1 11 0 0 0 0 0 0 0 
_1.ptx 331 : 1 20 0 0 0 0 0 0 0 
_1.ptx 332 : 1 6 0 0 0 0 0 0 0 
_1.ptx 333 : 1 11 0 0 0 0 0 0 0 
_1.ptx 334 : 1 5 0 0 0 1 1 0 0 
_1.ptx 336 : 1 3 0 0 0 0 0 0 0 
_1.ptx 337 : 1 4 0 0 0 1 1 0 0 
_1.ptx 339 : 1 7 0 0 0 0 0 0 0 
_1.ptx 340 : 1 10 0 0 0 0 0 0 0 
_1.ptx 341 : 1 6 0 0 0 0 0 0 0 
_1.ptx 342 : 1 3 0 0 0 0 0 0 0 
_1.ptx 343 : 1 11 0 0 0 0 0 0 0 
_1.ptx 344 : 1 5 32 0 0 1 1 0 0 
_1.ptx 346 : 1 6 0 0 0 0 0 0 0 
_1.ptx 347 : 1 3 0 0 0 0 0 0 0 
_1.ptx 348 : 1 11 0 0 0 0 0 0 0 
_1.ptx 349 : 1 5 32 0 0 1 1 0 0 
_1.ptx 351 : 1 11 0 0 0 0 0 0 0 
_1.ptx 352 : 1 6 0 0 0 0 0 0 0 
_1.ptx 353 : 1 11 0 0 0 0 0 0 0 
_1.ptx 354 : 1 11 0 0 0 0 0 0 0 
_1.ptx 355 : 1 5 32 0 0 1 1 0 0 
_1.ptx 357 : 1 11 0 0 0 0 0 0 0 
_1.ptx 358 : 1 6 0 0 0 0 0 0 0 
_1.ptx 359 : 1 11 0 0 0 0 0 0 0 
