kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1227 : 1737183 13985441 0 0 0 0 0 0 0 
_1.ptx 1228 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1230 : 1737183 10527364 0 0 0 0 0 0 0 
_1.ptx 1231 : 1737183 13992563 0 0 0 0 0 0 0 
_1.ptx 1232 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1233 : 1737183 5787567 0 0 0 0 0 0 0 
_1.ptx 1234 : 1737183 19187185 0 0 0 0 0 0 0 
_1.ptx 1235 : 1737183 29932304 0 0 0 117803 117803 0 0 
_1.ptx 1236 : 1737183 13983107 0 0 0 0 0 0 0 
_1.ptx 1237 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1239 : 1737183 5744568 0 0 0 0 0 0 0 
_1.ptx 1240 : 1737183 12289917 0 0 0 0 0 0 0 
_1.ptx 1241 : 1737183 17591326 0 0 0 0 0 0 0 
_1.ptx 1242 : 1737183 19189798 0 0 0 0 0 0 0 
_1.ptx 1243 : 1737183 17167781 0 0 0 117803 117803 0 0 
_1.ptx 1244 : 1737183 10480094 0 0 0 0 0 0 0 
_1.ptx 1264 : 1737183 19184296 0 0 0 0 0 0 0 
_1.ptx 1265 : 1737183 5625464 0 0 0 0 0 0 0 
_1.ptx 1266 : 1737183 17634335 0 0 0 0 0 0 0 
_1.ptx 1267 : 1737183 13987342 0 0 0 0 0 0 0 
_1.ptx 1268 : 1737183 12311825 0 0 0 0 0 0 0 
_1.ptx 1269 : 1737183 12283681 0 0 0 0 0 0 0 
_1.ptx 1270 : 1737183 14070040 0 0 0 0 0 0 0 
_1.ptx 1271 : 1737183 12313865 0 0 0 0 0 0 0 
_1.ptx 1272 : 1737183 13994232 0 0 0 0 0 0 0 
_1.ptx 1273 : 1737183 10481276 0 0 0 0 0 0 0 
_1.ptx 1274 : 1737183 13992238 0 0 0 0 0 0 0 
_1.ptx 1275 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1277 : 1737183 5784141 0 0 0 0 0 0 0 
_1.ptx 1278 : 1737183 12259039 0 0 0 0 0 0 0 
_1.ptx 1279 : 1737183 17558241 0 0 0 0 0 0 0 
_1.ptx 1280 : 1737183 19187411 0 0 0 0 0 0 0 
_1.ptx 1281 : 1737183 357561067 10851456 0 0 339151 117803 0 0 
_1.ptx 1282 : 1737183 10485597 0 0 0 0 0 0 0 
_1.ptx 1307 : 1737183 12282136 0 0 0 0 0 0 0 
_1.ptx 1309 : 1737183 12341686 0 0 0 0 0 0 0 
_1.ptx 1310 : 1737183 17662672 0 0 0 0 0 0 0 
_1.ptx 1311 : 1737183 19191274 0 0 0 0 0 0 0 
_1.ptx 1312 : 1737183 381211124 3552256 0 0 520928 117803 0 0 
_1.ptx 1313 : 1737183 13981718 0 0 0 0 0 0 0 
_1.ptx 1314 : 1737183 10502778 0 0 0 0 0 0 0 
_1.ptx 1332 : 1737183 18793884 0 0 0 520928 117803 0 0 
_1.ptx 1334 : 1737183 14182992 0 0 0 0 0 0 0 
_1.ptx 1335 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1337 : 1737183 12275388 0 0 0 0 0 0 0 
_1.ptx 1339 : 1737183 12314792 0 0 0 0 0 0 0 
_1.ptx 1342 : 2712798 27303699 0 0 0 0 0 0 0 
_1.ptx 1343 : 2712798 21848946 0 0 0 0 0 0 0 
_1.ptx 1344 : 2712798 9928474 0 0 0 0 0 0 93884 
_1.ptx 1345 : 1070376 6465744 0 0 0 0 0 0 0 
