kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 8247 : 3529536 21211904 0 0 0 0 0 0 0 
_1.ptx 8248 : 3529536 28348096 0 0 0 0 0 0 0 
_1.ptx 8249 : 3529536 21214496 0 0 0 0 0 0 0 
_1.ptx 10752 : 118528 951232 0 0 0 0 0 0 0 
_1.ptx 10753 : 118528 402080 0 0 0 0 0 0 0 
_1.ptx 10755 : 51712 364704 0 0 0 0 0 0 0 
_1.ptx 10757 : 51712 365760 0 0 0 0 0 0 0 
_1.ptx 10761 : 262144 2900672 0 0 0 0 0 0 0 
_1.ptx 10762 : 262144 2921184 0 0 0 0 0 0 0 
_1.ptx 10763 : 262144 2112544 0 0 0 0 0 0 0 
_1.ptx 10764 : 262144 1482208 0 0 0 0 0 0 0 
_1.ptx 10765 : 16384 99008 0 0 0 0 0 0 0 
_1.ptx 10771 : 16384 97240 0 0 0 0 0 0 256 
_1.ptx 10773 : 256 4479 0 0 0 0 0 0 0 
_1.ptx 10774 : 256 2564 0 0 0 0 0 0 0 
_1.ptx 8305 : 3529536 21213280 0 0 0 0 0 0 0 
_1.ptx 10775 : 256 1799 0 0 0 0 0 0 0 
_1.ptx 8306 : 3529536 28351360 0 0 0 0 0 0 0 
_1.ptx 10776 : 256 2564 0 0 0 0 0 0 0 
_1.ptx 8307 : 3529536 21230912 0 0 0 0 0 0 0 
_1.ptx 10777 : 256 2823 0 0 0 0 0 0 0 
_1.ptx 10778 : 256 6047 5376 0 0 256 256 0 0 
_1.ptx 10780 : 256 1800 0 0 0 0 0 0 0 
_1.ptx 10781 : 256 4732 5344 0 0 256 256 0 0 
_1.ptx 10784 : 16384 98560 0 0 0 0 0 0 0 
_1.ptx 8363 : 3529536 21215680 0 0 0 0 0 0 0 
_1.ptx 8364 : 3529536 28337920 0 0 0 0 0 0 0 
_1.ptx 8365 : 3529536 21234720 0 0 0 0 0 0 0 
_1.ptx 7555 : 16384 98688 0 0 0 0 0 0 0 
_1.ptx 7556 : 16384 99232 0 0 0 0 0 0 0 
_1.ptx 7557 : 16384 194304 0 0 0 0 0 0 0 
_1.ptx 7558 : 16384 99264 0 0 0 0 0 0 0 
_1.ptx 7559 : 16384 182240 0 0 0 0 0 0 0 
_1.ptx 7560 : 16384 1167520 128 0 0 0 0 0 0 
_1.ptx 7561 : 16384 193952 0 0 0 0 0 0 0 
_1.ptx 7562 : 16384 114304 0 0 0 0 0 0 0 
_1.ptx 7563 : 16384 182048 0 0 0 0 0 0 0 
_1.ptx 7564 : 16384 117632 0 0 0 0 0 0 0 
