kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 12800 79072 0 0 0 0 0 0 0 
_1.ptx 71 : 12800 179488 0 0 0 0 0 0 0 
_1.ptx 72 : 12800 84224 0 0 0 0 0 0 0 
_1.ptx 73 : 12800 151136 0 0 0 0 0 0 0 
_1.ptx 74 : 12800 95424 0 0 0 0 0 0 0 
_1.ptx 75 : 12800 110720 0 0 0 0 0 0 0 
_1.ptx 76 : 12800 93472 0 0 0 0 0 0 0 
_1.ptx 77 : 12800 1936576 128 0 0 0 0 0 0 
_1.ptx 78 : 12800 1651072 0 0 0 0 0 0 0 
_1.ptx 79 : 12800 1526208 0 0 0 0 0 0 0 
_1.ptx 80 : 12800 78336 0 0 0 0 0 0 0 
_1.ptx 81 : 12800 78976 0 0 0 0 0 0 0 
_1.ptx 82 : 12800 31484 0 0 0 0 0 0 100 
_1.ptx 83 : 7600 47204 0 0 0 0 0 0 0 
_1.ptx 84 : 7600 46560 0 0 0 0 0 0 0 
_1.ptx 85 : 7600 62236 0 0 0 0 0 0 0 
_1.ptx 86 : 7600 7560 0 0 0 0 0 0 0 
_1.ptx 88 : 6400 45888 0 0 0 0 0 0 0 
_1.ptx 90 : 6400 68544 0 0 0 0 0 0 0 
_1.ptx 91 : 6400 67680 0 0 0 0 0 0 0 
_1.ptx 92 : 6400 43104 0 0 0 0 0 0 0 
_1.ptx 95 : 1200 8916 0 0 0 0 0 0 0 
_1.ptx 96 : 1200 8196 0 0 0 0 0 0 0 
_1.ptx 97 : 1200 10176 0 0 0 0 0 0 0 
_1.ptx 98 : 1200 13512 0 0 0 0 0 0 0 
_1.ptx 99 : 1200 8616 0 0 0 0 0 0 0 
_1.ptx 100 : 1200 12216 0 0 0 0 0 0 0 
_1.ptx 101 : 1200 13272 0 0 0 0 0 0 0 
_1.ptx 102 : 1200 12132 0 0 0 0 0 0 0 
_1.ptx 103 : 1200 12108 0 0 0 0 0 0 0 
_1.ptx 105 : 1200 8472 0 0 0 0 0 0 0 
_1.ptx 106 : 1200 7560 0 0 0 0 0 0 0 
_1.ptx 107 : 1200 9696 0 0 0 0 0 0 0 
_1.ptx 108 : 1200 13356 0 0 0 0 0 0 0 
_1.ptx 109 : 1200 8940 0 0 0 0 0 0 0 
_1.ptx 110 : 1200 12360 0 0 0 0 0 0 0 
_1.ptx 113 : 7600 77992 0 0 0 0 0 0 0 
_1.ptx 114 : 7600 49004 0 0 0 0 0 0 0 
_1.ptx 115 : 7600 62860 0 0 0 0 0 0 0 
_1.ptx 116 : 7600 85236 0 0 0 0 0 0 0 
_1.ptx 117 : 7600 79432 0 0 0 0 0 0 0 
_1.ptx 118 : 7600 57544 0 0 0 0 0 0 0 
_1.ptx 120 : 7600 50688 0 0 0 0 0 0 0 
_1.ptx 121 : 7600 64552 0 0 0 0 0 0 0 
_1.ptx 122 : 7600 87280 0 0 0 0 0 0 0 
_1.ptx 124 : 7600 50372 0 0 0 0 0 0 0 
_1.ptx 125 : 7600 65028 0 0 0 0 0 0 0 
_1.ptx 126 : 7600 86144 0 0 0 0 0 0 0 
_1.ptx 128 : 7600 61616 0 0 0 0 0 0 0 
_1.ptx 129 : 7600 84428 0 0 0 0 0 0 0 
_1.ptx 130 : 7600 55596 0 0 0 0 0 0 0 
_1.ptx 132 : 7600 50136 0 0 0 0 0 0 0 
_1.ptx 133 : 7600 62360 0 0 0 0 0 0 0 
_1.ptx 134 : 7600 56732 0 0 0 0 0 0 0 
_1.ptx 135 : 7600 62856 0 0 0 0 0 0 0 
_1.ptx 136 : 7600 56912 0 0 0 0 0 0 0 
_1.ptx 137 : 7600 63844 0 0 0 0 0 0 0 
_1.ptx 138 : 7600 49128 0 0 0 0 0 0 0 
_1.ptx 139 : 7600 64040 0 0 0 0 0 0 0 
_1.ptx 140 : 7600 57644 0 0 0 0 0 0 0 
_1.ptx 141 : 7600 62936 0 0 0 0 0 0 0 
_1.ptx 142 : 7600 56680 0 0 0 0 0 0 0 
_1.ptx 143 : 7600 63320 0 0 0 0 0 0 0 
_1.ptx 144 : 7600 63836 0 0 0 0 0 0 0 
_1.ptx 145 : 7600 51416 0 0 0 0 0 0 0 
_1.ptx 147 : 5200 31892 0 0 0 0 0 0 0 
_1.ptx 148 : 5200 42628 0 0 0 0 0 0 0 
_1.ptx 149 : 5200 32516 0 0 0 0 0 0 0 
_1.ptx 150 : 5200 42328 0 0 0 0 0 0 0 
_1.ptx 151 : 5200 32860 0 0 0 0 0 0 0 
_1.ptx 154 : 12800 146144 0 0 0 0 0 0 0 
_1.ptx 155 : 12800 84256 0 0 0 0 0 0 0 
_1.ptx 156 : 12800 145792 0 0 0 0 0 0 0 
_1.ptx 157 : 12800 107936 0 0 0 0 0 0 0 
_1.ptx 158 : 12800 145600 0 0 0 0 0 0 0 
_1.ptx 159 : 12800 109088 0 0 0 0 0 0 0 
_1.ptx 160 : 12800 109664 0 0 0 0 0 0 0 
_1.ptx 161 : 12800 98592 0 0 0 0 0 0 0 
_1.ptx 162 : 12800 98080 0 0 0 0 0 0 0 
_1.ptx 163 : 12800 108352 0 0 0 0 0 0 0 
_1.ptx 164 : 12800 84480 0 0 0 0 0 0 0 
_1.ptx 165 : 12800 107648 0 0 0 0 0 0 0 
_1.ptx 166 : 12800 18004 0 0 0 0 0 0 100 
_1.ptx 168 : 10000 65644 0 0 0 0 0 0 0 
_1.ptx 169 : 10000 32692 0 0 0 0 0 0 0 
_1.ptx 170 : 10000 72524 0 0 0 0 0 0 0 
_1.ptx 171 : 10000 103228 0 0 0 0 0 0 0 
_1.ptx 172 : 10000 112016 0 0 0 0 0 0 0 
_1.ptx 173 : 10000 2927368 37760 0 0 661 400 0 0 
_1.ptx 174 : 10000 101608 0 0 0 0 0 0 0 
_1.ptx 175 : 10000 64460 0 0 0 0 0 0 0 
_1.ptx 176 : 10000 82620 0 0 0 0 0 0 0 
_1.ptx 177 : 10000 111484 0 0 0 0 0 0 0 
_1.ptx 178 : 10000 72920 0 0 0 0 0 0 0 
_1.ptx 179 : 10000 102764 0 0 0 0 0 0 0 
_1.ptx 180 : 10000 111628 0 0 0 0 0 0 0 
_1.ptx 181 : 10000 54244 0 400 400 0 0 0 0 
_1.ptx 183 : 12800 80800 0 0 0 0 0 0 0 
_1.ptx 184 : 12800 81184 0 0 0 0 0 0 0 
_1.ptx 185 : 12800 107328 0 0 0 0 0 0 0 
_1.ptx 186 : 12800 45408 0 0 0 0 0 0 148 
_1.ptx 188 : 5688 20022 0 0 0 0 0 0 0 
_1.ptx 189 : 5688 41230 0 0 0 0 0 0 0 
_1.ptx 190 : 5688 41656 0 0 0 0 0 0 0 
_1.ptx 191 : 5688 58251 0 0 0 0 0 0 0 
_1.ptx 192 : 5688 63264 0 0 0 0 0 0 0 
_1.ptx 193 : 5688 1249055 12544 0 0 1188 292 0 0 
_1.ptx 194 : 5688 40516 0 0 0 0 0 0 0 
_1.ptx 195 : 5688 40612 0 0 0 0 0 0 0 
_1.ptx 196 : 5688 58319 0 0 0 0 0 0 0 
_1.ptx 197 : 5688 63106 0 0 0 0 0 0 0 
_1.ptx 198 : 5688 32422 0 292 292 0 0 0 0 
_1.ptx 200 : 12800 48896 0 0 0 0 0 0 0 
_1.ptx 201 : 12800 80000 0 0 0 0 0 0 0 
_1.ptx 202 : 12800 105280 0 0 0 0 0 0 0 
_1.ptx 203 : 12800 0 0 0 0 0 0 0 0 
_1.ptx 204 : 12800 133376 0 0 0 0 0 0 0 
_1.ptx 205 : 12800 81248 0 0 0 0 0 0 0 
_1.ptx 206 : 12800 105888 0 0 0 0 0 0 0 
_1.ptx 207 : 12800 143200 0 0 0 0 0 0 0 
_1.ptx 208 : 12800 132640 0 0 0 0 0 0 0 
_1.ptx 209 : 12800 131488 0 0 0 0 0 0 0 
_1.ptx 210 : 12800 133760 0 0 0 0 0 0 0 
_1.ptx 211 : 12800 133696 0 0 0 0 0 0 0 
_1.ptx 212 : 12800 100352 0 0 0 0 0 0 0 
_1.ptx 213 : 12800 94496 0 0 0 0 0 0 0 
_1.ptx 214 : 12800 95872 0 0 0 0 0 0 0 
_1.ptx 217 : 1280000 7967232 0 0 0 0 0 0 0 
_1.ptx 218 : 1280000 10497120 0 0 0 0 0 0 0 
_1.ptx 219 : 1280000 1776628 0 0 0 0 0 0 10000 
_1.ptx 221 : 1000000 7376320 0 0 0 0 0 0 0 
_1.ptx 223 : 1000000 8421796 0 0 0 0 0 0 0 
_1.ptx 224 : 1000000 11239512 0 0 0 0 0 0 0 
_1.ptx 226 : 1000000 7814064 0 0 0 0 0 0 0 
_1.ptx 227 : 1000000 11098644 0 0 0 0 0 0 0 
_1.ptx 228 : 1000000 11316972 0 0 0 0 0 0 0 
_1.ptx 229 : 1000000 8666208 0 40000 40000 0 0 0 0 
_1.ptx 230 : 1000000 5641240 0 40000 40000 0 0 0 0 
_1.ptx 232 : 1000000 9350572 0 40000 40000 0 0 0 0 
_1.ptx 233 : 1000000 5717296 0 40000 40000 0 0 0 0 
_1.ptx 234 : 1000000 8331484 0 0 0 0 0 0 0 
_1.ptx 235 : 1000000 62520 0 0 0 0 0 0 0 
_1.ptx 237 : 990000 3477792 0 0 0 0 0 0 0 
_1.ptx 238 : 990000 7141876 0 0 0 0 0 0 0 
_1.ptx 239 : 990000 10268040 0 0 0 0 0 0 0 
_1.ptx 240 : 990000 11088692 0 0 0 0 0 0 0 
_1.ptx 241 : 990000 294070564 3435648 0 0 65589 39600 0 0 
_1.ptx 242 : 990000 5292088 0 39600 39600 0 0 0 0 
_1.ptx 245 : 1280000 4405857 0 0 0 0 0 0 14800 
_1.ptx 247 : 568800 4120240 0 0 0 0 0 0 0 
_1.ptx 248 : 568800 4642671 0 0 0 0 0 0 0 
_1.ptx 249 : 568800 6347920 0 0 0 0 0 0 0 
_1.ptx 250 : 568800 4162985 0 0 0 0 0 0 0 
_1.ptx 252 : 568800 4128516 0 0 0 0 0 0 0 
_1.ptx 253 : 568800 4144488 0 0 0 0 0 0 0 
_1.ptx 254 : 568800 5854303 0 0 0 0 0 0 0 
_1.ptx 255 : 568800 6341190 0 0 0 0 0 0 0 
_1.ptx 256 : 568800 4910353 0 29200 29200 0 0 0 0 
_1.ptx 257 : 568800 3103386 0 29200 29200 0 0 0 0 
_1.ptx 259 : 568800 4980021 0 29200 29200 0 0 0 0 
_1.ptx 260 : 568800 3117711 0 29200 29200 0 0 0 0 
_1.ptx 261 : 568800 4630679 0 0 0 0 0 0 0 
_1.ptx 262 : 568800 35078 0 0 0 0 0 0 0 
_1.ptx 264 : 563112 2054117 0 0 0 0 0 0 0 
_1.ptx 265 : 563112 4064508 0 0 0 0 0 0 0 
_1.ptx 266 : 563112 5857618 0 0 0 0 0 0 0 
_1.ptx 267 : 563112 6279977 0 0 0 0 0 0 0 
_1.ptx 268 : 563112 126076268 806912 0 0 117612 28908 0 0 
_1.ptx 269 : 563112 3053094 0 28908 28908 0 0 0 0 
_1.ptx 273 : 1280000 7938784 0 0 0 0 0 0 0 
_1.ptx 274 : 1280000 8290016 0 0 0 0 0 0 0 
_1.ptx 275 : 1280000 10592832 0 0 0 0 0 0 0 
_1.ptx 276 : 1280000 1777356 0 0 0 0 0 0 10000 
_1.ptx 278 : 1000000 6346892 0 0 0 0 0 0 0 
_1.ptx 279 : 1000000 8231900 0 0 0 0 0 0 0 
_1.ptx 280 : 1000000 63110 0 0 0 0 0 0 10000 
_1.ptx 281 : 990000 8197053 0 0 0 0 0 0 0 
_1.ptx 282 : 990000 63284 0 0 0 0 0 0 10000 
_1.ptx 283 : 980000 6328858 0 0 0 0 0 0 0 
_1.ptx 284 : 980000 8084970 0 0 0 0 0 0 0 
_1.ptx 285 : 980000 62685 0 0 0 0 0 0 0 
_1.ptx 286 : 970200 8004530 0 0 0 0 0 0 0 
_1.ptx 287 : 970200 61088 0 0 0 0 0 0 0 
_1.ptx 288 : 960400 6157744 0 0 0 0 0 0 0 
_1.ptx 289 : 960400 7925032 0 0 0 0 0 0 0 
_1.ptx 290 : 960400 59275 0 0 0 0 0 0 0 
_1.ptx 291 : 950796 7893151 0 0 0 0 0 0 0 
_1.ptx 292 : 950796 5969839 0 0 0 0 0 0 0 
_1.ptx 296 : 58808 430968 0 0 0 0 0 0 0 
_1.ptx 297 : 58808 634362 0 0 0 0 0 0 0 
_1.ptx 298 : 58808 660386 0 0 0 0 0 0 0 
_1.ptx 299 : 58808 497548 0 21584 21584 0 0 0 0 
_1.ptx 300 : 58808 366993 0 0 0 0 0 0 0 
_1.ptx 303 : 941192 6861620 0 0 0 0 0 0 0 
_1.ptx 304 : 941192 9959811 0 0 0 0 0 0 0 
_1.ptx 305 : 941192 10541401 0 0 0 0 0 0 0 
_1.ptx 306 : 941192 8126051 0 38416 38416 0 0 0 0 
_1.ptx 307 : 941192 8114608 0 38416 38416 0 0 0 0 
_1.ptx 308 : 941192 8182955 0 38416 38416 0 0 0 0 
_1.ptx 309 : 941192 8129216 0 38416 38416 0 0 0 0 
_1.ptx 310 : 941192 8204888 0 38416 38416 0 0 0 0 
_1.ptx 311 : 941192 8185524 0 38416 38416 0 0 0 0 
_1.ptx 312 : 941192 10631564 0 0 0 0 0 0 0 
_1.ptx 313 : 941192 10593663 0 0 0 0 0 0 0 
_1.ptx 314 : 941192 10588094 0 0 0 0 0 0 0 
_1.ptx 315 : 941192 10603219 0 0 0 0 0 0 0 
_1.ptx 316 : 941192 10653728 0 0 0 0 0 0 0 
_1.ptx 317 : 941192 6141911 0 0 0 0 0 0 0 
_1.ptx 318 : 941192 10627962 0 0 0 0 0 0 0 
_1.ptx 321 : 1000000 3347552 0 0 0 0 0 0 0 
_1.ptx 322 : 1000000 7431372 0 0 0 0 0 0 0 
_1.ptx 323 : 1000000 7420628 0 0 0 0 0 0 0 
_1.ptx 324 : 1000000 10436744 0 0 0 0 0 0 0 
_1.ptx 325 : 1000000 11239160 0 0 0 0 0 0 0 
_1.ptx 326 : 1000000 6337624 4312064 0 0 66250 40000 0 0 
_1.ptx 329 : 1280000 7981760 0 0 0 0 0 0 0 
_1.ptx 330 : 1280000 13164736 0 0 0 0 0 0 0 
_1.ptx 331 : 1280000 10607552 0 0 0 0 0 0 0 
_1.ptx 332 : 1280000 8052000 0 0 0 0 0 0 0 
_1.ptx 335 : 12800 81824 0 0 0 0 0 0 0 
