kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 995 : 135936 1138240 0 0 0 0 0 0 0 
_2.ptx 996 : 135936 711217 0 0 0 0 0 0 295 
_2.ptx 998 : 30149 202000 0 0 0 0 0 0 0 
_2.ptx 999 : 30149 251260 0 0 0 0 0 0 0 
_2.ptx 1000 : 30149 251836 0 0 0 0 0 0 0 
_2.ptx 1001 : 30149 343026 0 0 0 0 0 0 0 
_2.ptx 1002 : 30149 321626 0 0 0 0 0 0 0 
_2.ptx 1003 : 30149 232539 0 0 0 0 0 0 0 
_2.ptx 1004 : 30149 342674 0 0 0 0 0 0 0 
_2.ptx 1005 : 30149 228317 0 0 0 0 0 0 0 
_2.ptx 1006 : 30149 342891 0 0 0 0 0 0 0 
_2.ptx 1007 : 30149 339479 0 0 0 0 0 0 0 
_2.ptx 1008 : 30149 290105 0 2006 1180 0 0 0 0 
_2.ptx 1010 : 30149 340119 0 0 0 0 0 0 0 
_2.ptx 1011 : 30149 317387 0 0 0 0 0 0 0 
_2.ptx 1012 : 30149 231891 0 0 0 0 0 0 0 
_2.ptx 1013 : 30149 342127 0 0 0 0 0 0 0 
_2.ptx 1014 : 30149 229506 0 0 0 0 0 0 0 
_2.ptx 1015 : 30149 325063 0 0 0 0 0 0 0 
_2.ptx 1016 : 30149 338920 0 0 0 0 0 0 0 
_2.ptx 1017 : 30149 309925 0 2006 1180 0 0 0 0 
_2.ptx 1018 : 30149 222887 0 2006 1180 0 0 0 0 
_2.ptx 1020 : 30149 346246 0 2006 1180 0 0 0 0 
_2.ptx 1021 : 30149 336506 0 0 0 0 0 0 0 
_2.ptx 1022 : 30149 208859 0 2006 1180 0 0 0 0 
_2.ptx 1025 : 135936 1609696 0 0 0 0 0 0 0 
_2.ptx 1026 : 135936 1141376 0 0 0 0 0 0 0 
_2.ptx 1027 : 135936 816736 0 0 0 0 0 0 0 
_3.ptx 1028 : 30208 192544 0 0 0 0 0 0 0 
_3.ptx 1029 : 30208 194976 0 0 0 0 0 0 0 
_2.ptx 1030 : 15104 95072 0 0 0 0 0 0 0 
