kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 995 : 4499712 38915200 0 0 0 0 0 0 0 
_2.ptx 996 : 4499712 25448403 0 0 0 0 0 0 9765 
_2.ptx 998 : 997983 7197273 0 0 0 0 0 0 0 
_2.ptx 999 : 997983 8376819 0 0 0 0 0 0 0 
_2.ptx 1000 : 997983 8464494 0 0 0 0 0 0 0 
_2.ptx 1001 : 997983 11522462 0 0 0 0 0 0 0 
_2.ptx 1002 : 997983 11048506 0 0 0 0 0 0 0 
_2.ptx 1003 : 997983 8225636 0 0 0 0 0 0 0 
_2.ptx 1004 : 997983 11571517 0 0 0 0 0 0 0 
_2.ptx 1005 : 997983 8047083 0 0 0 0 0 0 0 
_2.ptx 1006 : 997983 11686352 0 0 0 0 0 0 0 
_2.ptx 1007 : 997983 11461711 0 0 0 0 0 0 0 
_2.ptx 1008 : 997983 9710607 0 66402 39060 0 0 0 0 
_2.ptx 1010 : 997983 11393711 0 0 0 0 0 0 0 
_2.ptx 1011 : 997983 10907739 0 0 0 0 0 0 0 
_2.ptx 1012 : 997983 8249197 0 0 0 0 0 0 0 
_2.ptx 1013 : 997983 11650890 0 0 0 0 0 0 0 
_2.ptx 1014 : 997983 8146086 0 0 0 0 0 0 0 
_2.ptx 1015 : 997983 11289905 0 0 0 0 0 0 0 
_2.ptx 1016 : 997983 11512212 0 0 0 0 0 0 0 
_2.ptx 1017 : 997983 10374353 0 66402 39060 0 0 0 0 
_2.ptx 1018 : 997983 7356711 0 66402 39060 0 0 0 0 
_2.ptx 1020 : 997983 11325425 0 66402 39060 0 0 0 0 
_2.ptx 1021 : 997983 11292816 0 0 0 0 0 0 0 
_2.ptx 1022 : 997983 6927527 0 66402 39060 0 0 0 0 
_2.ptx 1025 : 4499712 53065376 0 0 0 0 0 0 0 
_2.ptx 1026 : 4499712 38647616 0 0 0 0 0 0 0 
_2.ptx 1027 : 4499712 28427968 0 0 0 0 0 0 0 
_2.ptx 1030 : 499968 3446016 0 0 0 0 0 0 0 
_2.ptx 1032 : 499968 2161216 0 0 0 0 0 0 0 
_2.ptx 1033 : 499968 5452544 0 31248 15624 0 0 0 0 
_2.ptx 1034 : 499968 5580064 0 0 0 0 0 0 0 
_2.ptx 1035 : 499968 3058976 1999872 0 0 15624 15624 0 0 
_2.ptx 1037 : 499968 5229088 0 31248 15624 0 0 0 0 
_2.ptx 1038 : 499968 5583648 0 0 0 0 0 0 0 
_2.ptx 1039 : 499968 2869536 1999872 0 0 15624 15624 0 0 
_2.ptx 1041 : 499968 3219168 0 0 0 0 0 0 0 
_2.ptx 869 : 499968 3276288 0 0 0 0 0 0 0 
_2.ptx 870 : 499968 1585600 0 0 0 0 0 0 0 
_2.ptx 871 : 499968 3268992 0 0 0 0 0 0 0 
_2.ptx 872 : 499968 4184256 0 0 0 0 0 0 0 
_2.ptx 873 : 499968 0 0 0 0 0 0 0 0 
_2.ptx 874 : 499968 3378656 0 0 0 0 0 0 0 
_2.ptx 875 : 499968 3801152 0 0 0 0 0 0 0 
_2.ptx 876 : 499968 4220000 0 0 0 0 0 0 0 
_2.ptx 877 : 499968 3397376 0 0 0 0 0 0 0 
_2.ptx 881 : 499968 3318784 0 0 0 0 0 0 0 
