kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 995 : 2356992 20337536 0 0 0 0 0 0 0 
_3.ptx 996 : 2356992 13253440 0 0 0 0 0 0 5115 
_3.ptx 998 : 522753 3756436 0 0 0 0 0 0 0 
_3.ptx 999 : 522753 4381996 0 0 0 0 0 0 0 
_3.ptx 1000 : 522753 4424670 0 0 0 0 0 0 0 
_3.ptx 1001 : 522753 6031723 0 0 0 0 0 0 0 
_3.ptx 1002 : 522753 5778974 0 0 0 0 0 0 0 
_3.ptx 1003 : 522753 4292397 0 0 0 0 0 0 0 
_3.ptx 1004 : 522753 6059131 0 0 0 0 0 0 0 
_3.ptx 1005 : 522753 4199529 0 0 0 0 0 0 0 
_3.ptx 1006 : 522753 6129491 0 0 0 0 0 0 0 
_3.ptx 1007 : 522753 5993944 0 0 0 0 0 0 0 
_3.ptx 1008 : 522753 5076893 0 34782 20460 0 0 0 0 
_3.ptx 1010 : 522753 5962571 0 0 0 0 0 0 0 
_3.ptx 1011 : 522753 5702742 0 0 0 0 0 0 0 
_3.ptx 1012 : 522753 4297971 0 0 0 0 0 0 0 
_3.ptx 1013 : 522753 6100537 0 0 0 0 0 0 0 
_3.ptx 1014 : 522753 4271869 0 0 0 0 0 0 0 
_3.ptx 1015 : 522753 5890148 0 0 0 0 0 0 0 
_3.ptx 1016 : 522753 6027247 0 0 0 0 0 0 0 
_3.ptx 1017 : 522753 5421211 0 34782 20460 0 0 0 0 
_3.ptx 1018 : 522753 3853948 0 34782 20460 0 0 0 0 
_3.ptx 1020 : 522753 5932886 0 34782 20460 0 0 0 0 
_3.ptx 1021 : 522753 5919193 0 0 0 0 0 0 0 
_3.ptx 1022 : 522753 3625529 0 34782 20460 0 0 0 0 
_1.ptx 825 : 523776 3204512 0 0 0 0 0 0 0 
_3.ptx 1025 : 2356992 27759808 0 0 0 0 0 0 0 
_1.ptx 826 : 523776 3221696 0 0 0 0 0 0 0 
_3.ptx 1026 : 2356992 20212896 0 0 0 0 0 0 0 
_1.ptx 827 : 523776 5968608 0 0 0 0 0 0 0 
_3.ptx 1027 : 2356992 14840832 0 0 0 0 0 0 0 
_1.ptx 828 : 523776 3193504 0 0 0 0 0 0 0 
_1.ptx 829 : 523776 5828256 0 0 0 0 0 0 0 
_1.ptx 830 : 523776 3197600 0 0 0 0 0 0 0 
_3.ptx 1030 : 261888 1808480 0 0 0 0 0 0 0 
_1.ptx 831 : 523776 5969056 0 0 0 0 0 0 0 
_1.ptx 832 : 523776 3196480 0 0 0 0 0 0 0 
_3.ptx 1032 : 261888 1122880 0 0 0 0 0 0 0 
_1.ptx 833 : 523776 5794880 0 0 0 0 0 0 0 
_3.ptx 1033 : 261888 2853312 0 16368 8184 0 0 0 0 
_1.ptx 834 : 523776 3511776 128 0 0 0 0 0 0 
_3.ptx 1034 : 261888 2920576 0 0 0 0 0 0 0 
_1.ptx 835 : 523776 3510752 0 0 0 0 0 0 0 
_3.ptx 1035 : 261888 1602880 1047552 0 0 8184 8184 0 0 
_1.ptx 836 : 523776 5960096 0 0 0 0 0 0 0 
_1.ptx 837 : 523776 4243328 0 0 0 0 0 0 0 
_3.ptx 1037 : 261888 2743040 0 16368 8184 0 0 0 0 
_1.ptx 838 : 523776 3190688 0 0 0 0 0 0 0 
_3.ptx 1038 : 261888 2924544 0 0 0 0 0 0 0 
_3.ptx 1039 : 261888 1494016 1047552 0 0 8184 8184 0 0 
_3.ptx 1041 : 261888 1688128 0 0 0 0 0 0 0 
_1.ptx 842 : 523776 5986656 0 0 0 0 0 0 0 
_1.ptx 843 : 523776 6043712 0 0 0 0 0 0 0 
_1.ptx 844 : 523776 3188448 0 0 0 0 0 0 0 
_1.ptx 845 : 523776 5813376 0 0 0 0 0 0 0 
_1.ptx 846 : 523776 3767328 0 0 0 0 0 0 0 
_1.ptx 847 : 523776 6029888 0 0 0 0 0 0 0 
_1.ptx 848 : 523776 5292576 0 0 0 0 0 0 0 
_1.ptx 849 : 523776 6021216 0 0 0 0 0 0 0 
_1.ptx 850 : 523776 4243840 0 0 0 0 0 0 0 
_1.ptx 851 : 523776 4759616 0 0 0 0 0 0 0 
_1.ptx 852 : 523776 4250240 0 0 0 0 0 0 0 
_1.ptx 853 : 523776 0 0 0 0 0 0 0 0 
_1.ptx 854 : 523776 3720000 0 0 0 0 0 0 0 
_1.ptx 855 : 523776 5451680 0 0 0 0 0 0 0 
_1.ptx 856 : 523776 1620768 0 0 0 0 0 0 0 
_1.ptx 857 : 523776 5801792 0 0 0 0 0 0 0 
_1.ptx 858 : 523776 1618720 0 0 0 0 0 0 0 
_1.ptx 859 : 523776 5799424 0 0 0 0 0 0 0 
_1.ptx 860 : 523776 1618080 0 0 0 0 0 0 0 
_1.ptx 861 : 523776 5796864 0 0 0 0 0 0 0 
_1.ptx 865 : 523776 163531456 2095104 0 0 16368 16368 0 0 
_1.ptx 866 : 523776 5283488 0 0 0 0 0 0 0 
_1.ptx 867 : 523776 3002144 0 0 0 16368 16368 0 0 
_1.ptx 869 : 523776 164164800 2095104 0 0 16368 16368 0 0 
_3.ptx 869 : 261888 1712544 0 0 0 0 0 0 0 
_1.ptx 870 : 523776 5279168 0 0 0 0 0 0 0 
_3.ptx 870 : 261888 833216 0 0 0 0 0 0 0 
_1.ptx 871 : 523776 2667936 0 0 0 16368 16368 0 0 
_3.ptx 871 : 261888 1708320 0 0 0 0 0 0 0 
_3.ptx 872 : 261888 2187552 0 0 0 0 0 0 0 
_1.ptx 873 : 523776 167911232 2095104 0 0 16368 16368 0 0 
_3.ptx 873 : 261888 0 0 0 0 0 0 0 0 
_1.ptx 874 : 523776 5282368 0 0 0 0 0 0 0 
_3.ptx 874 : 261888 1765920 0 0 0 0 0 0 0 
_1.ptx 875 : 523776 2695040 0 0 0 16368 16368 0 0 
_3.ptx 875 : 261888 1987552 0 0 0 0 0 0 0 
_3.ptx 876 : 261888 2207008 0 0 0 0 0 0 0 
_1.ptx 877 : 523776 5800640 0 0 0 0 0 0 0 
_3.ptx 877 : 261888 1773632 0 0 0 0 0 0 0 
_1.ptx 878 : 523776 4250592 0 0 0 0 0 0 0 
_1.ptx 879 : 523776 0 0 0 0 0 0 0 0 
_3.ptx 881 : 261888 1734304 0 0 0 0 0 0 0 
_1.ptx 882 : 523776 3191008 0 0 0 0 0 0 0 
_3.ptx 883 : 261888 1765472 0 0 0 0 0 0 0 
_3.ptx 884 : 261888 2988832 0 0 0 0 0 0 0 
_3.ptx 885 : 261888 1702912 0 0 0 0 0 0 0 
_3.ptx 886 : 261888 1980160 0 0 0 0 0 0 0 
_3.ptx 887 : 261888 2830496 0 0 0 0 0 0 0 
_3.ptx 888 : 261888 1996736 0 0 0 0 0 0 0 
_3.ptx 889 : 261888 2966336 0 0 0 0 0 0 0 
_3.ptx 890 : 261888 1976288 0 0 0 0 0 0 0 
_3.ptx 891 : 261888 2809792 0 0 0 0 0 0 0 
_3.ptx 892 : 261888 2948768 0 0 0 0 0 0 0 
_3.ptx 893 : 261888 843616 0 0 0 0 0 0 0 
_3.ptx 894 : 261888 2963936 0 0 0 0 0 0 0 
_3.ptx 895 : 261888 78541344 1047552 0 0 8184 8184 0 0 
_3.ptx 896 : 261888 1669024 0 16368 8184 0 0 0 0 
_3.ptx 898 : 261888 2975264 0 0 0 0 0 0 0 
_3.ptx 899 : 261888 2999360 0 0 0 0 0 0 0 
_3.ptx 900 : 261888 2040704 0 0 0 0 0 0 0 
_3.ptx 901 : 261888 2776672 0 0 0 0 0 0 0 
_3.ptx 902 : 261888 1991584 0 0 0 0 0 0 0 
_3.ptx 903 : 261888 2978592 0 0 0 0 0 0 0 
_3.ptx 904 : 261888 2029216 0 0 0 0 0 0 0 
_3.ptx 905 : 261888 2837856 0 0 0 0 0 0 0 
_3.ptx 906 : 261888 2976416 0 0 0 0 0 0 0 
_3.ptx 907 : 261888 2981152 0 0 0 0 0 0 0 
_3.ptx 908 : 261888 77800864 1047552 0 0 8184 8184 0 0 
_3.ptx 909 : 261888 1664928 0 16368 8184 0 0 0 0 
_3.ptx 911 : 261888 1771328 0 0 0 0 0 0 0 
_3.ptx 912 : 261888 2078464 0 0 0 0 0 0 0 
_3.ptx 913 : 261888 1863040 0 0 0 0 0 0 0 
_3.ptx 914 : 261888 2222976 0 0 0 0 0 0 0 
_3.ptx 915 : 261888 0 0 0 0 0 0 0 0 
_3.ptx 916 : 261888 1772512 0 0 0 0 0 0 0 
_3.ptx 919 : 2356992 16048928 0 0 0 0 0 0 0 
_3.ptx 920 : 2356992 20173344 0 0 0 0 0 0 0 
_3.ptx 921 : 2356992 12778436 0 0 0 0 0 0 5115 
_3.ptx 923 : 522753 3715568 0 0 0 0 0 0 0 
_3.ptx 924 : 522753 4515819 0 0 0 0 0 0 0 
_3.ptx 925 : 522753 4721547 0 0 0 0 0 0 0 
_3.ptx 926 : 522753 6084543 0 0 0 0 0 0 0 
_3.ptx 927 : 522753 6052193 0 0 0 0 0 0 0 
_3.ptx 928 : 522753 5688627 0 0 0 0 0 0 0 
_3.ptx 929 : 522753 4186196 0 0 0 0 0 0 0 
_3.ptx 930 : 522753 6010272 0 0 0 0 0 0 0 
_3.ptx 931 : 522753 4117045 0 0 0 0 0 0 0 
_3.ptx 932 : 522753 5748234 0 0 0 0 0 0 0 
_3.ptx 933 : 522753 5991761 0 0 0 0 0 0 0 
_3.ptx 934 : 522753 5029664 0 34782 20460 0 0 0 0 
_3.ptx 935 : 522753 5510317 0 0 0 0 0 0 0 
_3.ptx 936 : 522753 4112229 0 0 0 0 0 0 0 
_3.ptx 937 : 522753 5969589 0 0 0 0 0 0 0 
_3.ptx 938 : 522753 4084075 0 0 0 0 0 0 0 
_3.ptx 939 : 522753 5689936 0 0 0 0 0 0 0 
_3.ptx 940 : 522753 5963055 0 0 0 0 0 0 0 
_3.ptx 941 : 522753 5035502 0 34782 20460 0 0 0 0 
_3.ptx 942 : 522753 5955518 0 0 0 0 0 0 0 
_3.ptx 943 : 522753 3309968 0 34782 20460 0 0 0 0 
_3.ptx 946 : 2356992 26942784 0 0 0 0 0 0 0 
_3.ptx 948 : 2356992 17897024 0 0 0 0 0 0 0 
_3.ptx 949 : 2356992 16830400 0 0 0 0 0 0 0 
_3.ptx 950 : 2356992 20321600 0 0 0 0 0 0 0 
_3.ptx 951 : 2356992 14420768 0 0 0 0 0 0 0 
_3.ptx 952 : 261888 1879616 0 0 0 0 0 0 0 
_3.ptx 957 : 261888 1727712 0 0 0 0 0 0 0 
_3.ptx 958 : 261888 2203616 0 0 0 0 0 0 0 
_3.ptx 959 : 261888 1766590 0 0 0 0 0 0 1023 
_3.ptx 961 : 1023 7724 0 0 0 0 0 0 0 
_3.ptx 962 : 1023 10731 0 0 0 0 0 0 0 
_3.ptx 963 : 1023 7702 0 0 0 0 0 0 0 
_3.ptx 964 : 1023 11534 0 0 0 0 0 0 0 
_3.ptx 965 : 1023 7783 0 0 0 0 0 0 0 
_3.ptx 966 : 1023 10906 0 0 0 0 0 0 0 
_3.ptx 967 : 1023 11520 0 0 0 0 0 0 0 
_3.ptx 968 : 1023 3230 0 0 0 0 0 0 0 
_3.ptx 969 : 1023 8549 0 1023 1023 0 0 0 0 
_3.ptx 970 : 1023 3365 0 0 0 0 0 0 0 
_3.ptx 971 : 1023 6518 0 0 0 0 0 0 0 
_3.ptx 972 : 1023 6558 0 0 0 0 0 0 0 
_3.ptx 973 : 1023 8562 0 0 0 0 0 0 0 
_3.ptx 974 : 1023 9511 0 0 0 0 0 0 0 
_3.ptx 975 : 1023 7716 0 0 0 0 0 0 0 
_3.ptx 976 : 1023 11023 0 0 0 0 0 0 0 
_3.ptx 977 : 1023 11516 0 0 0 0 0 0 0 
_3.ptx 978 : 1023 5473 2560 0 0 1023 1023 0 0 
_3.ptx 980 : 1023 6621 0 0 0 0 0 0 0 
_3.ptx 981 : 1023 5354 0 1023 1023 0 0 0 0 
_3.ptx 984 : 261888 2071520 0 0 0 0 0 0 0 
_3.ptx 985 : 261888 1850784 0 0 0 0 0 0 0 
_3.ptx 986 : 261888 2239392 0 0 0 0 0 0 0 
_3.ptx 987 : 261888 0 0 0 0 0 0 0 0 
_3.ptx 988 : 261888 1798848 0 0 0 0 0 0 0 
_3.ptx 992 : 2356992 19079584 0 0 0 0 0 0 0 
_3.ptx 994 : 2356992 17094368 0 0 0 0 0 0 0 
