kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2189 : 16519988 167354658 0 0 0 0 0 0 0 
_1.ptx 2190 : 16519988 133054625 0 0 0 0 0 0 0 
_1.ptx 2191 : 16519988 116923207 0 0 0 0 0 0 0 
_1.ptx 2192 : 16519988 116756138 0 0 0 0 0 0 0 
_1.ptx 2193 : 16519988 132954076 0 0 0 0 0 0 0 
_1.ptx 2194 : 16519988 116759475 0 0 0 0 0 0 0 
_1.ptx 2195 : 16519988 132948893 0 0 0 0 0 0 0 
_1.ptx 2196 : 16519988 99551830 0 0 0 0 0 0 0 
_1.ptx 2197 : 16519988 132897840 0 0 0 0 0 0 0 
_1.ptx 2198 : 16519988 0 0 0 0 0 0 0 0 
_1.ptx 2200 : 16519988 332484347 128 0 0 0 0 0 0 
_1.ptx 2201 : 16519988 116684889 0 0 0 0 0 0 0 
_1.ptx 2202 : 16519988 167184875 0 0 0 0 0 0 0 
_1.ptx 2203 : 16519988 182439262 0 0 0 0 0 0 0 
_1.ptx 2204 : 16519988 6924524385 371889664 0 0 13495818 4270526 0 0 
_1.ptx 2205 : 16519988 99646857 0 0 0 0 0 0 0 
_1.ptx 2019 : 2097152 13210688 0 0 0 0 0 0 0 
_1.ptx 2020 : 2097152 13313152 0 0 0 0 0 0 0 
_1.ptx 2021 : 2097152 33664704 0 0 0 0 0 0 0 
_1.ptx 2022 : 2097152 12854464 0 0 0 0 0 0 0 
_1.ptx 2023 : 2097152 367305376 0 0 0 0 0 0 0 
_1.ptx 2024 : 2097152 12973472 0 0 0 0 0 0 0 
_1.ptx 2025 : 2097152 23333600 0 0 0 0 0 0 0 
_1.ptx 2026 : 2097152 24601184 0 0 0 0 0 0 0 
_1.ptx 2027 : 2097152 15600352 0 0 0 0 0 0 0 
_1.ptx 2028 : 2097152 21664320 0 0 0 0 0 0 0 
_1.ptx 2029 : 2097152 24531840 0 0 0 0 0 0 0 
_1.ptx 2030 : 2097152 17350272 0 0 0 0 0 0 0 
_1.ptx 2230 : 16519988 99657855 0 0 0 0 0 0 0 
_1.ptx 2031 : 2097152 0 0 0 0 0 0 0 0 
_1.ptx 2231 : 16519988 132842949 0 0 0 0 0 0 0 
_1.ptx 2032 : 2097152 15520992 0 0 0 0 0 0 0 
_1.ptx 2232 : 16519988 99656626 0 0 0 0 0 0 0 
_1.ptx 2033 : 2097152 23997920 0 0 0 0 0 0 0 
_1.ptx 2034 : 2097152 13348768 0 0 0 0 0 0 0 
_1.ptx 2035 : 2097152 15509760 0 0 0 0 0 0 0 
_1.ptx 2238 : 16519988 402515987 0 0 0 0 0 0 0 
_1.ptx 2039 : 4194304 34434976 0 0 0 0 0 0 0 
