kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 62 : 580608 3522464 0 0 0 0 0 0 0 
_1.ptx 63 : 580608 3534048 0 0 0 0 0 0 0 
_1.ptx 64 : 580608 6718784 0 0 0 0 0 0 0 
_1.ptx 65 : 580608 3511424 0 0 0 0 0 0 0 
_1.ptx 66 : 580608 6406464 0 0 0 0 0 0 0 
_1.ptx 67 : 580608 23134848 128 0 0 0 0 0 0 
_1.ptx 68 : 580608 19520608 128 0 0 0 0 0 0 
_1.ptx 69 : 580608 4153440 0 0 0 0 0 0 0 
_1.ptx 70 : 580608 6292576 0 0 0 0 0 0 0 
_1.ptx 71 : 580608 6429536 0 0 0 0 0 0 0 
_1.ptx 72 : 580608 37272480 2322432 0 0 18144 18144 0 0 
_1.ptx 73 : 580608 26599072 0 0 0 0 0 0 0 
_1.ptx 74 : 580608 25792352 0 0 0 0 0 0 0 
_1.ptx 75 : 580608 6437216 0 0 0 0 0 0 0 
_1.ptx 76 : 580608 4177280 0 0 0 0 0 0 0 
_1.ptx 77 : 580608 6145216 0 0 0 0 0 0 0 
_1.ptx 78 : 580608 6419904 0 0 0 0 0 0 0 
_1.ptx 79 : 580608 40885280 2322432 0 0 18144 18144 0 0 
_1.ptx 80 : 580608 31770528 0 0 0 0 0 0 0 
_1.ptx 81 : 580608 6075712 0 0 0 0 0 0 0 
_1.ptx 82 : 580608 6417216 0 0 0 0 0 0 0 
_1.ptx 83 : 580608 4185952 0 0 0 0 0 0 0 
_1.ptx 84 : 580608 6088480 0 0 0 0 0 0 0 
_1.ptx 85 : 580608 6415392 0 0 0 0 0 0 0 
_1.ptx 86 : 580608 44127392 2322432 0 0 18144 18144 0 0 
_1.ptx 87 : 580608 33590848 0 0 0 0 0 0 0 
_1.ptx 88 : 580608 6048928 0 0 0 0 0 0 0 
_1.ptx 89 : 580608 6413312 0 0 0 0 0 0 0 
_1.ptx 90 : 580608 4160832 0 0 0 0 0 0 0 
_1.ptx 91 : 580608 6065024 0 0 0 0 0 0 0 
_1.ptx 92 : 580608 6411744 0 0 0 0 0 0 0 
_1.ptx 93 : 580608 42496160 2322432 0 0 18144 18144 0 0 
_1.ptx 94 : 580608 33008512 0 0 0 0 0 0 0 
_1.ptx 95 : 580608 6018336 0 0 0 0 0 0 0 
_1.ptx 96 : 580608 6410720 0 0 0 0 0 0 0 
_1.ptx 97 : 580608 4162112 0 0 0 0 0 0 0 
_1.ptx 98 : 580608 6038368 0 0 0 0 0 0 0 
_1.ptx 99 : 580608 6419872 0 0 0 0 0 0 0 
_1.ptx 100 : 580608 42142752 2322432 0 0 18144 18144 0 0 
_1.ptx 102 : 580608 3514944 0 0 0 0 0 0 0 
_1.ptx 118 : 193536 1179520 0 0 0 0 0 0 0 
_1.ptx 119 : 193536 1188640 0 0 0 0 0 0 0 
_1.ptx 120 : 193536 1180192 0 0 0 0 0 0 0 
_1.ptx 121 : 193536 2843296 0 0 0 0 0 0 0 
_1.ptx 122 : 193536 2144448 0 0 0 0 0 0 0 
_1.ptx 123 : 193536 1392448 0 0 0 0 0 0 0 
_1.ptx 124 : 193536 2660832 0 0 0 0 0 0 0 
_1.ptx 125 : 193536 819456 0 0 0 0 0 0 0 
_1.ptx 126 : 193536 2145472 0 0 0 0 0 0 0 
_1.ptx 127 : 193536 70191328 774144 0 0 6048 6048 0 0 
_1.ptx 129 : 193536 992224 0 0 0 0 0 0 0 
_1.ptx 130 : 193536 2146048 0 0 0 0 0 0 0 
_1.ptx 131 : 193536 1390016 0 0 0 0 0 0 0 
_1.ptx 132 : 193536 2603968 0 0 0 0 0 0 0 
_1.ptx 133 : 193536 2146784 0 0 0 0 0 0 0 
_1.ptx 134 : 193536 75013280 774144 0 0 6048 6048 0 0 
_1.ptx 136 : 193536 2562176 0 0 0 0 0 0 0 
_1.ptx 137 : 193536 2144000 0 0 0 0 0 0 0 
_1.ptx 138 : 193536 1395136 0 0 0 0 0 0 0 
_1.ptx 139 : 193536 2599552 0 0 0 0 0 0 0 
_1.ptx 140 : 193536 2144672 0 0 0 0 0 0 0 
_1.ptx 141 : 193536 77436448 774144 0 0 6048 6048 0 0 
_1.ptx 143 : 193536 2523296 0 0 0 0 0 0 0 
_1.ptx 144 : 193536 2141664 0 0 0 0 0 0 0 
_1.ptx 145 : 193536 1388032 0 0 0 0 0 0 0 
_1.ptx 146 : 193536 2535680 0 0 0 0 0 0 0 
_1.ptx 147 : 193536 2143104 0 0 0 0 0 0 0 
_1.ptx 148 : 193536 77175808 774144 0 0 6048 6048 0 0 
_1.ptx 150 : 193536 9454592 0 0 0 0 0 0 0 
_1.ptx 151 : 193536 9488832 0 0 0 0 0 0 0 
_1.ptx 152 : 193536 9548992 0 0 0 0 0 0 0 
_1.ptx 153 : 193536 2150432 0 0 0 0 0 0 0 
_1.ptx 154 : 193536 1762272 0 0 0 0 0 0 0 
_1.ptx 155 : 193536 1765568 0 0 0 0 0 0 0 
_1.ptx 156 : 193536 1180512 0 0 0 0 0 0 0 
_1.ptx 157 : 193536 3508736 0 0 0 0 0 0 0 
_1.ptx 158 : 193536 3922176 0 0 0 0 0 0 0 
_1.ptx 159 : 193536 2140000 0 0 0 0 0 0 0 
_1.ptx 160 : 193536 1382656 0 0 0 0 0 0 0 
_1.ptx 161 : 193536 2825024 0 0 0 0 0 0 0 
_1.ptx 162 : 193536 2140640 0 0 0 0 0 0 0 
_1.ptx 163 : 193536 63809568 774144 0 0 6048 6048 0 0 
_1.ptx 164 : 193536 1174784 0 0 0 0 0 0 0 
_1.ptx 165 : 193536 2143424 0 0 0 0 0 0 0 
_1.ptx 166 : 193536 2142880 0 0 0 0 0 0 0 
_1.ptx 167 : 193536 2146176 0 0 0 0 0 0 0 
_1.ptx 168 : 193536 1180480 0 0 0 0 0 0 0 
_1.ptx 169 : 193536 2148000 0 0 0 0 0 0 0 
_1.ptx 170 : 193536 1179552 0 0 0 0 0 0 0 
_1.ptx 171 : 193536 2142080 0 0 0 0 0 0 0 
_1.ptx 172 : 193536 9500672 0 0 0 0 0 0 0 
