kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 131072 3803072 128 0 0 0 0 0 0 
_1.ptx 71 : 131072 792832 0 0 0 0 0 0 0 
_1.ptx 72 : 131072 1068416 0 0 0 0 0 0 0 
_1.ptx 73 : 131072 804608 0 0 0 0 0 0 0 
_1.ptx 74 : 131072 822656 0 0 0 0 0 0 0 
_1.ptx 75 : 131072 1072832 0 0 0 0 0 0 0 
_1.ptx 76 : 131072 814080 0 0 0 0 0 0 256 
_1.ptx 77 : 256 0 0 0 0 0 0 0 0 
_1.ptx 78 : 256 1551 0 0 0 0 0 0 0 
_1.ptx 79 : 256 1912 0 0 0 0 0 0 0 
_1.ptx 80 : 256 6166 0 0 0 0 0 0 0 
_1.ptx 81 : 256 1815 0 0 0 0 0 0 0 
_1.ptx 82 : 256 1821 0 0 0 0 0 0 0 
_1.ptx 83 : 256 2589 0 0 0 0 0 0 0 
_1.ptx 84 : 256 4857 0 0 0 0 0 0 0 
_1.ptx 85 : 256 4418 0 0 0 0 0 0 0 
_1.ptx 86 : 256 2568 0 0 0 0 0 0 0 
_1.ptx 87 : 256 2831 0 0 0 0 0 0 0 
_1.ptx 88 : 256 1604 0 0 0 0 0 0 0 
_1.ptx 89 : 256 1815 0 0 0 0 0 0 0 
_1.ptx 93 : 65536 18361580 266112 0 0 65536 65536 0 0 
_1.ptx 94 : 65536 391324 0 65536 65536 0 0 0 0 
_1.ptx 95 : 65536 669397 0 0 0 0 0 0 0 
_1.ptx 96 : 65536 669415 0 0 0 0 0 0 0 
_1.ptx 97 : 65536 721092 0 0 0 0 0 0 0 
_1.ptx 98 : 65536 524581 0 0 0 0 0 0 0 
_1.ptx 99 : 65536 391721 0 0 0 0 0 0 0 
_1.ptx 101 : 256 1540 0 0 0 0 0 0 0 
_1.ptx 103 : 131072 817184 0 0 0 0 0 0 0 
_1.ptx 105 : 131072 817152 0 0 0 0 0 0 0 
_1.ptx 106 : 131072 849920 0 0 0 0 0 0 0 
_1.ptx 107 : 131072 861376 0 0 0 0 0 0 0 
_1.ptx 108 : 131072 871264 0 0 0 0 0 0 0 
_1.ptx 109 : 131072 876800 0 0 0 0 0 0 0 
_1.ptx 110 : 131072 0 0 0 0 0 0 0 0 
_1.ptx 111 : 131072 974912 0 0 0 0 0 0 0 
_1.ptx 112 : 131072 1601472 0 0 0 0 0 0 0 
_1.ptx 113 : 131072 1480032 0 0 0 0 0 0 0 
_1.ptx 114 : 131072 1606464 0 0 0 0 0 0 0 
_1.ptx 115 : 131072 1016768 0 0 0 0 0 0 0 
_1.ptx 116 : 131072 1496768 0 0 0 0 0 0 0 
_1.ptx 117 : 131072 983424 0 0 0 0 0 0 0 
_1.ptx 118 : 131072 2670176 0 0 0 0 0 0 0 
_1.ptx 119 : 131072 955424 0 0 0 0 0 0 0 
_1.ptx 120 : 131072 1448416 0 0 0 0 0 0 0 
_1.ptx 121 : 131072 1965120 0 0 0 0 0 0 0 
_1.ptx 122 : 131072 1484096 0 0 0 0 0 0 0 
_1.ptx 123 : 131072 1475744 0 0 0 0 0 0 0 
_1.ptx 124 : 131072 817056 0 0 0 0 0 0 0 
_1.ptx 125 : 131072 842688 0 0 0 0 0 0 0 
_1.ptx 126 : 131072 951456 0 0 0 0 0 0 0 
_1.ptx 130 : 33554432 279970432 0 1048576 1048576 0 0 0 0 
_1.ptx 131 : 33554432 9603457440 134217728 0 0 1048576 1048576 0 0 
_1.ptx 132 : 33554432 373340448 0 0 0 0 0 0 0 
_1.ptx 133 : 33554432 306922016 0 0 0 0 0 0 0 
_1.ptx 134 : 33554432 343042016 0 0 0 0 0 0 0 
_1.ptx 135 : 33554432 338488928 0 0 0 0 0 0 0 
_1.ptx 136 : 33554432 372081152 0 0 0 0 0 0 0 
_1.ptx 137 : 33554432 273647936 0 0 0 0 0 0 0 
_1.ptx 138 : 33554432 205515904 0 0 0 0 0 0 0 
_1.ptx 139 : 131072 807840 0 0 0 0 0 0 0 
_1.ptx 149 : 131072 8680736 0 0 0 0 0 0 0 
_1.ptx 150 : 131072 1398432 0 0 0 0 0 0 0 
_1.ptx 151 : 131072 1451328 0 0 0 0 0 0 0 
_1.ptx 152 : 131072 83121664 4194304 0 0 32768 4096 0 0 
_1.ptx 153 : 131072 1443488 0 0 0 0 0 0 0 
_1.ptx 155 : 131072 22310208 256 0 0 32768 4096 0 0 
_1.ptx 156 : 131072 8667808 0 0 0 0 0 0 0 
_1.ptx 157 : 131072 6658944 0 0 0 0 0 0 0 
_1.ptx 158 : 131072 1319360 0 0 0 0 0 0 0 
_1.ptx 159 : 131072 1467488 0 0 0 0 0 0 0 
_1.ptx 160 : 131072 926720 0 0 0 0 0 0 0 
_1.ptx 161 : 131072 1335680 0 0 0 0 0 0 0 
_1.ptx 162 : 131072 1445632 0 0 0 0 0 0 0 
_1.ptx 163 : 131072 1059520 0 0 0 0 0 0 0 
_1.ptx 164 : 131072 538840 0 0 0 0 0 0 3941 
_1.ptx 166 : 41758 252356 0 0 0 0 0 0 0 
_1.ptx 167 : 41758 1996379 0 0 0 0 0 0 0 
_1.ptx 168 : 41758 461095 0 0 0 0 0 0 0 
_1.ptx 169 : 41758 1607457 49120 0 0 3941 3941 0 0 
_1.ptx 171 : 41758 295880 0 0 0 0 0 0 0 
_1.ptx 172 : 41758 425218 0 0 0 0 0 0 0 
_1.ptx 173 : 41758 460948 0 0 0 0 0 0 0 
_1.ptx 174 : 41758 14703670 7680 0 0 8805 3941 0 0 
_1.ptx 175 : 41758 461511 0 0 0 0 0 0 0 
_1.ptx 176 : 41758 460849 0 0 0 0 0 0 0 
_1.ptx 177 : 41758 1375992 0 0 0 8805 3941 0 0 
_1.ptx 178 : 41758 252054 0 0 0 0 0 0 0 
_1.ptx 181 : 89314 13321371 0 0 0 31109 4096 0 0 
_1.ptx 183 : 89314 5945012 0 0 0 0 0 0 0 
_1.ptx 184 : 89314 630493 0 0 0 0 0 0 0 
_1.ptx 185 : 89314 920163 0 0 0 0 0 0 0 
_1.ptx 186 : 89314 985796 0 0 0 0 0 0 0 
_1.ptx 187 : 89314 26495646 12288 0 0 20681 4096 0 0 
_1.ptx 188 : 89314 631646 0 0 0 0 0 0 0 
_1.ptx 189 : 89314 952592 0 0 0 0 0 0 0 
_1.ptx 190 : 89314 985698 0 0 0 0 0 0 0 
_1.ptx 191 : 89314 65348571 3662336 0 0 28612 4096 0 0 
_1.ptx 192 : 89314 986286 0 0 0 0 0 0 0 
_1.ptx 193 : 89314 983881 0 0 0 0 0 0 0 
_1.ptx 194 : 89314 19453102 0 0 0 28612 4096 0 0 
_1.ptx 197 : 131072 791776 0 0 0 0 0 0 0 
