kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 77 : 65792 442656 0 0 0 0 0 0 0 
_1.ptx 78 : 65792 439456 0 0 0 0 0 0 0 
_1.ptx 79 : 65792 436608 0 0 0 0 0 0 0 
_1.ptx 80 : 65792 434720 0 0 0 0 0 0 0 
_1.ptx 81 : 65792 435264 0 0 0 0 0 0 0 
_1.ptx 83 : 65792 435136 0 0 0 0 0 0 0 
_1.ptx 84 : 65792 787904 0 0 0 0 0 0 0 
_1.ptx 85 : 65792 432384 0 0 0 0 0 0 0 
_1.ptx 86 : 65792 496640 0 0 0 0 0 0 0 
_1.ptx 87 : 65792 894912 0 0 0 0 0 0 0 
_1.ptx 88 : 65792 756064 0 0 0 0 0 0 0 
_1.ptx 89 : 65792 759712 0 0 0 0 0 0 0 
_1.ptx 90 : 65792 523200 0 0 0 0 0 0 0 
_1.ptx 91 : 65792 733760 0 0 0 0 0 0 0 
_1.ptx 92 : 65792 2899296 128 0 0 0 0 0 0 
_1.ptx 93 : 65792 737408 0 0 0 0 0 0 0 
_1.ptx 94 : 65792 22973184 263168 0 0 2056 2056 0 0 
_1.ptx 95 : 65792 1620064 0 2056 2056 0 0 0 0 
_1.ptx 97 : 65792 407776 0 0 0 0 0 0 0 
_1.ptx 98 : 65792 734688 0 0 0 0 0 0 0 
_1.ptx 99 : 65792 2969792 1024 0 0 0 0 0 0 
_1.ptx 100 : 65792 733440 0 0 0 0 0 0 0 
_1.ptx 101 : 65792 1484128 0 2056 2056 0 0 0 0 
_1.ptx 103 : 65792 409280 0 0 0 0 0 0 0 
_1.ptx 104 : 65792 734240 0 0 0 0 0 0 0 
_1.ptx 105 : 65792 2607072 1024 0 0 0 0 0 0 
_1.ptx 106 : 65792 735136 0 0 0 0 0 0 0 
_1.ptx 107 : 65792 1302144 0 2056 2056 0 0 0 0 
_1.ptx 109 : 65792 409184 0 0 0 0 0 0 0 
_1.ptx 110 : 65792 734432 0 0 0 0 0 0 0 
_1.ptx 111 : 65792 2629664 1024 0 0 0 0 0 0 
_1.ptx 112 : 65792 732288 0 0 0 0 0 0 0 
_1.ptx 113 : 65792 1108768 0 2056 2056 0 0 0 0 
_1.ptx 115 : 65792 408736 0 0 0 0 0 0 0 
_1.ptx 116 : 65792 734816 0 0 0 0 0 0 0 
_1.ptx 117 : 65792 2606720 1024 0 0 0 0 0 0 
_1.ptx 118 : 65792 732384 0 0 0 0 0 0 0 
_1.ptx 119 : 65792 842816 0 2056 2056 0 0 0 0 
_1.ptx 121 : 65792 409152 0 0 0 0 0 0 0 
_1.ptx 122 : 65792 419040 0 0 0 0 0 0 0 
_1.ptx 124 : 65792 491552 0 0 0 0 0 0 0 
_1.ptx 125 : 65792 496224 0 0 0 0 0 0 0 
_1.ptx 126 : 65792 429312 0 0 0 0 0 0 0 
_1.ptx 127 : 65792 495456 0 0 0 0 0 0 0 
_1.ptx 128 : 65792 431744 0 0 0 0 0 0 0 
_1.ptx 129 : 65792 496032 0 0 0 0 0 0 0 
_1.ptx 130 : 65792 432704 0 0 0 0 0 0 0 
_1.ptx 131 : 65792 492224 0 0 0 0 0 0 0 
_1.ptx 132 : 65792 1388576 128 0 0 0 0 0 0 
_1.ptx 133 : 65792 490720 0 0 0 0 0 0 0 
_1.ptx 135 : 65792 744384 0 0 0 0 0 0 0 
_1.ptx 136 : 65792 595136 0 2056 2056 0 0 0 0 
_1.ptx 137 : 65792 547776 0 0 0 0 0 0 0 
_1.ptx 138 : 65792 364032 0 2056 2056 0 0 0 0 
_1.ptx 140 : 65792 416864 0 0 0 0 0 0 0 
_1.ptx 142 : 65792 492672 0 0 0 0 0 0 0 
_1.ptx 143 : 65792 794208 0 0 0 0 0 0 0 
_1.ptx 144 : 65792 859872 0 0 0 0 0 0 0 
_1.ptx 145 : 65792 495360 0 0 0 0 0 0 0 
_1.ptx 146 : 65792 436192 0 0 0 0 0 0 0 
_1.ptx 147 : 65792 744960 0 0 0 0 0 0 0 
_1.ptx 148 : 65792 1090880 128 0 0 0 0 0 0 
_1.ptx 149 : 65792 738912 0 0 0 0 0 0 0 
_1.ptx 150 : 65792 490592 0 0 0 0 0 0 0 
_1.ptx 151 : 65792 766656 0 0 0 0 0 0 0 
_1.ptx 152 : 65792 736416 0 0 0 0 0 0 0 
_1.ptx 153 : 65792 564224 0 2056 2056 0 0 0 0 
_1.ptx 154 : 65792 487552 0 0 0 0 0 0 0 
_1.ptx 155 : 65792 716736 0 0 0 0 0 0 0 
_1.ptx 156 : 65792 737632 0 0 0 0 0 0 0 
_1.ptx 157 : 65792 581504 0 2443 2056 0 0 0 0 
_1.ptx 159 : 65792 302688 0 0 0 0 0 0 0 
_1.ptx 160 : 65792 736320 0 0 0 0 0 0 0 
_1.ptx 161 : 65792 491872 0 0 0 0 0 0 0 
_1.ptx 162 : 65792 709408 0 0 0 0 0 0 0 
_1.ptx 163 : 65792 738176 0 0 0 0 0 0 0 
_1.ptx 164 : 65792 567968 0 2056 2056 0 0 0 0 
_1.ptx 165 : 65792 488384 0 0 0 0 0 0 0 
_1.ptx 166 : 65792 707200 0 0 0 0 0 0 0 
_1.ptx 167 : 65792 737760 0 0 0 0 0 0 0 
_1.ptx 168 : 65792 591872 0 2659 2056 0 0 0 0 
_1.ptx 170 : 65792 306176 0 0 0 0 0 0 0 
_1.ptx 171 : 65792 736864 0 0 0 0 0 0 0 
_1.ptx 172 : 65792 488736 0 0 0 0 0 0 0 
_1.ptx 173 : 65792 724544 0 0 0 0 0 0 0 
_1.ptx 174 : 65792 738944 0 0 0 0 0 0 0 
_1.ptx 175 : 65792 568000 0 2056 2056 0 0 0 0 
_1.ptx 176 : 65792 488000 0 0 0 0 0 0 0 
_1.ptx 177 : 65792 711104 0 0 0 0 0 0 0 
_1.ptx 178 : 65792 735040 0 0 0 0 0 0 0 
_1.ptx 179 : 65792 585536 0 2618 2056 0 0 0 0 
_1.ptx 181 : 65792 309888 0 0 0 0 0 0 0 
_1.ptx 182 : 65792 735360 0 0 0 0 0 0 0 
_1.ptx 183 : 65792 490272 0 0 0 0 0 0 0 
_1.ptx 184 : 65792 711168 0 0 0 0 0 0 0 
_1.ptx 185 : 65792 736992 0 0 0 0 0 0 0 
_1.ptx 186 : 65792 559808 0 2056 2056 0 0 0 0 
_1.ptx 187 : 65792 485824 0 0 0 0 0 0 0 
_1.ptx 188 : 65792 749472 0 0 0 0 0 0 0 
_1.ptx 189 : 65792 740256 0 0 0 0 0 0 0 
_1.ptx 190 : 65792 591712 0 2658 2056 0 0 0 0 
_1.ptx 192 : 65792 684800 0 0 0 0 0 0 0 
_1.ptx 193 : 65792 505280 0 0 0 0 0 0 0 
_1.ptx 194 : 65792 450816 0 0 0 0 0 0 0 
_1.ptx 195 : 65792 509024 0 0 0 0 0 0 0 
_1.ptx 196 : 65792 448256 0 0 0 0 0 0 0 
_1.ptx 197 : 65792 506880 0 0 0 0 0 0 0 
_1.ptx 198 : 65792 445120 0 0 0 0 0 0 0 
_1.ptx 199 : 65792 503552 0 0 0 0 0 0 0 
_1.ptx 200 : 65792 738336 0 0 0 0 0 0 0 
_1.ptx 201 : 65792 497760 0 0 0 0 0 0 0 
_1.ptx 203 : 65792 551328 0 0 0 0 0 0 0 
_1.ptx 204 : 65792 552032 0 0 0 0 0 0 0 
_1.ptx 205 : 65792 555104 0 0 0 0 0 0 0 
_1.ptx 206 : 65792 549024 0 0 0 0 0 0 0 
_1.ptx 207 : 65792 364064 0 2056 2056 0 0 0 0 
_1.ptx 209 : 65792 419488 0 0 0 0 0 0 0 
_1.ptx 211 : 65792 746176 0 0 0 0 0 0 0 
_1.ptx 212 : 65792 593920 0 2056 2056 0 0 0 0 
_1.ptx 213 : 65792 489920 0 0 0 0 0 0 0 
_1.ptx 214 : 65792 706816 0 0 0 0 0 0 0 
_1.ptx 215 : 65792 741056 0 0 0 0 0 0 0 
_1.ptx 216 : 65792 655456 0 3946 2056 0 0 0 0 
_1.ptx 218 : 65792 739008 0 0 0 0 0 0 0 
_1.ptx 219 : 65792 597184 0 2056 2056 0 0 0 0 
_1.ptx 220 : 65792 489792 0 0 0 0 0 0 0 
_1.ptx 221 : 65792 707136 0 0 0 0 0 0 0 
_1.ptx 222 : 65792 739104 0 0 0 0 0 0 0 
_1.ptx 223 : 65792 663104 0 3947 2056 0 0 0 0 
_1.ptx 225 : 65792 737408 0 0 0 0 0 0 0 
