kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 67 : 1179648 7148544 0 0 0 0 0 0 0 
_1.ptx 68 : 1179648 12979840 0 0 0 0 0 0 0 
_1.ptx 69 : 1179648 7246688 0 0 0 0 0 0 0 
_1.ptx 70 : 1179648 13457408 0 0 0 0 0 0 0 
_1.ptx 71 : 1179648 7323968 0 0 0 0 0 0 0 
_1.ptx 72 : 1179648 7432480 0 0 0 0 0 0 0 
_1.ptx 73 : 1179648 13389856 0 0 0 0 0 0 0 
_1.ptx 74 : 1179648 13594208 0 0 0 0 0 0 0 
_1.ptx 75 : 1179648 8169152 0 0 0 0 0 0 0 
_1.ptx 76 : 1179648 9359488 0 0 0 0 0 0 0 
_1.ptx 77 : 1179648 8970624 0 0 0 0 0 0 0 
_1.ptx 78 : 1179648 12623072 0 0 0 0 0 0 0 
_1.ptx 79 : 1179648 13200640 0 0 0 0 0 0 0 
_1.ptx 80 : 1179648 12456896 0 0 0 0 0 0 0 
_1.ptx 81 : 1179648 13185440 0 0 0 0 0 0 0 
_1.ptx 82 : 1179648 7331456 128 0 0 0 0 0 0 
_1.ptx 83 : 1179648 13540416 0 0 0 0 0 0 0 
_1.ptx 84 : 1179648 13225760 0 0 0 0 0 0 0 
_1.ptx 85 : 1179648 8594112 0 0 0 0 0 0 0 
_1.ptx 86 : 1179648 12388384 0 0 0 0 0 0 0 
_1.ptx 87 : 1179648 5817888 0 0 0 0 0 0 0 
_1.ptx 88 : 1179648 13167200 0 0 0 0 0 0 0 
_1.ptx 89 : 1179648 373035712 9436416 0 0 73728 36864 0 0 
_1.ptx 90 : 1179648 8613792 0 73728 36864 0 0 0 0 
_1.ptx 91 : 1179648 11682720 0 0 0 73728 36864 0 0 
_1.ptx 92 : 1179648 8639232 0 73728 36864 0 0 0 0 
_1.ptx 93 : 1179648 368241120 8750336 0 0 73728 36864 0 0 
_1.ptx 94 : 1179648 8477056 0 73728 36864 0 0 0 0 
_1.ptx 95 : 1179648 10121888 0 0 0 73728 36864 0 0 
_1.ptx 96 : 1179648 8518976 0 73728 36864 0 0 0 0 
_1.ptx 97 : 1179648 11954912 0 0 0 0 0 0 0 
_1.ptx 98 : 1179648 7131008 0 0 0 0 0 0 0 
_1.ptx 99 : 1179648 9540640 0 0 0 0 0 0 0 
_1.ptx 100 : 1179648 147968 0 0 0 0 0 0 0 
_1.ptx 102 : 1155072 184165056 686848 0 0 72192 36096 0 0 
_1.ptx 103 : 1155072 6951584 0 0 0 0 0 0 0 
_1.ptx 105 : 24576 148288 0 0 0 0 0 0 0 
_1.ptx 107 : 1179648 8435008 0 73728 36864 0 0 0 0 
_1.ptx 108 : 1179648 6820864 0 0 0 0 0 0 0 
_1.ptx 109 : 1179648 13079328 0 0 0 0 0 0 0 
_1.ptx 110 : 1179648 11997280 0 0 0 0 0 0 0 
_1.ptx 111 : 1179648 7167104 0 0 0 0 0 0 0 
_1.ptx 112 : 1179648 9577952 0 0 0 0 0 0 0 
_1.ptx 113 : 1179648 148416 0 0 0 0 0 0 0 
_1.ptx 115 : 1155072 162333984 768 0 0 72192 36096 0 0 
_1.ptx 116 : 1155072 6962208 0 0 0 0 0 0 0 
_1.ptx 118 : 24576 148032 0 0 0 0 0 0 0 
_1.ptx 120 : 1179648 8292640 0 73728 36864 0 0 0 0 
_1.ptx 122 : 1179648 7107168 0 0 0 0 0 0 0 
_1.ptx 124 : 1179648 7145152 0 0 0 0 0 0 0 
_1.ptx 125 : 1179648 7041344 128 0 0 0 0 0 0 
_1.ptx 126 : 1179648 12553120 0 73728 36864 0 0 0 0 
_1.ptx 127 : 1179648 10681280 0 0 0 0 0 0 0 
_1.ptx 128 : 1179648 6942432 0 0 0 0 0 0 0 
_1.ptx 129 : 1179648 12489408 0 73728 36864 0 0 0 0 
_1.ptx 130 : 1179648 10699616 0 0 0 0 0 0 0 
_1.ptx 131 : 1179648 6290880 0 0 0 0 0 0 0 
_1.ptx 132 : 1179648 12440928 0 73728 36864 0 0 0 0 
_1.ptx 133 : 1179648 10710816 0 0 0 0 0 0 0 
_1.ptx 134 : 1179648 6219744 0 0 0 0 0 0 0 
_1.ptx 135 : 1179648 12502592 0 73728 36864 0 0 0 0 
_1.ptx 136 : 1179648 10706304 0 0 0 0 0 0 0 
_1.ptx 137 : 1179648 6313920 0 0 0 0 0 0 0 
_1.ptx 138 : 1179648 12471968 0 73728 36864 0 0 0 0 
_1.ptx 139 : 1179648 10707040 0 0 0 0 0 0 0 
_1.ptx 140 : 1179648 6416640 0 0 0 0 0 0 0 
_1.ptx 141 : 1179648 12708352 0 73728 36864 0 0 0 0 
_1.ptx 142 : 1179648 10696864 0 0 0 0 0 0 0 
_1.ptx 143 : 1179648 6691840 0 0 0 0 0 0 0 
_1.ptx 144 : 1179648 12749280 0 73728 36864 0 0 0 0 
_1.ptx 145 : 1179648 10704736 0 0 0 0 0 0 0 
_1.ptx 146 : 1179648 6666976 0 0 0 0 0 0 0 
_1.ptx 147 : 1179648 12762528 0 73728 36864 0 0 0 0 
_1.ptx 148 : 1179648 10708352 0 0 0 0 0 0 0 
_1.ptx 149 : 1179648 6744928 0 0 0 0 0 0 0 
_1.ptx 150 : 1179648 12727328 0 73728 36864 0 0 0 0 
_1.ptx 151 : 1179648 10704448 0 0 0 0 0 0 0 
_1.ptx 152 : 1179648 6715168 0 0 0 0 0 0 0 
