kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 291 : 4194304 46484608 0 0 0 0 0 0 0 
_1.ptx 292 : 4194304 46559872 0 0 0 0 0 0 0 
_1.ptx 293 : 4194304 122512672 0 0 0 131072 131072 0 0 
_1.ptx 295 : 4194304 46529760 0 0 0 0 0 0 0 
_1.ptx 296 : 4194304 46579008 0 0 0 0 0 0 0 
_1.ptx 297 : 4194304 124837376 0 0 0 131072 131072 0 0 
_1.ptx 298 : 4194304 46509408 0 0 0 0 0 0 0 
_1.ptx 299 : 4194304 46579072 0 0 0 0 0 0 0 
_1.ptx 300 : 4194304 127271552 0 0 0 131072 131072 0 0 
_1.ptx 302 : 4194304 25952832 0 0 0 0 0 0 0 
_1.ptx 237 : 4194304 27256000 0 0 0 0 0 0 0 
_1.ptx 238 : 4194304 27727264 0 0 0 0 0 0 0 
_1.ptx 239 : 4194304 54682528 0 0 0 0 0 0 0 
_1.ptx 240 : 4194304 73869312 128 0 0 0 0 0 0 
_1.ptx 241 : 4194304 44142368 0 0 0 0 0 0 0 
_1.ptx 242 : 4194304 29941824 0 0 0 0 0 0 0 
_1.ptx 243 : 4194304 55062944 0 0 0 0 0 0 0 
_1.ptx 244 : 4194304 28271488 0 0 0 0 0 0 0 
_1.ptx 245 : 4194304 59878112 0 0 0 0 0 0 0 
_1.ptx 246 : 4194304 27668480 0 0 0 0 0 0 0 
_1.ptx 247 : 4194304 47337632 0 0 0 0 0 0 0 
_1.ptx 248 : 4194304 35537120 0 0 0 0 0 0 0 
_1.ptx 249 : 4194304 47239616 0 0 0 0 0 0 0 
_1.ptx 250 : 4194304 50982816 0 0 0 0 0 0 0 
_1.ptx 251 : 4194304 31812800 0 0 0 0 0 0 0 
_1.ptx 252 : 4194304 51141088 0 0 0 0 0 0 0 
_1.ptx 253 : 4194304 31905248 0 0 0 0 0 0 0 
_1.ptx 254 : 4194304 84761472 0 0 0 0 0 0 0 
_1.ptx 255 : 4194304 47341344 0 0 0 0 0 0 0 
_1.ptx 256 : 4194304 47653920 0 0 0 0 0 0 0 
_1.ptx 257 : 4194304 32268608 0 0 0 0 0 0 0 
_1.ptx 258 : 4194304 49604640 0 0 0 0 0 0 0 
_1.ptx 259 : 4194304 47012736 0 0 0 0 0 0 0 
_1.ptx 260 : 4194304 1968969024 16777216 0 0 131072 131072 0 0 
_1.ptx 262 : 4194304 46959872 0 0 0 0 0 0 0 
_1.ptx 263 : 4194304 31875616 0 0 0 0 0 0 0 
_1.ptx 264 : 4194304 47965120 0 0 0 0 0 0 0 
_1.ptx 265 : 4194304 46880064 0 0 0 0 0 0 0 
_1.ptx 266 : 4194304 1878539488 16777216 0 0 131072 131072 0 0 
_1.ptx 268 : 4194304 46872320 0 0 0 0 0 0 0 
_1.ptx 269 : 4194304 31552160 0 0 0 0 0 0 0 
_1.ptx 270 : 4194304 47540832 0 0 0 0 0 0 0 
_1.ptx 271 : 4194304 46801568 0 0 0 0 0 0 0 
_1.ptx 272 : 4194304 1859362368 16777216 0 0 131072 131072 0 0 
_1.ptx 274 : 4194304 46829248 0 0 0 0 0 0 0 
_1.ptx 275 : 4194304 31495872 0 0 0 0 0 0 0 
_1.ptx 276 : 4194304 47218240 0 0 0 0 0 0 0 
_1.ptx 277 : 4194304 46791872 0 0 0 0 0 0 0 
_1.ptx 278 : 4194304 2044933376 16777216 0 0 131072 131072 0 0 
_1.ptx 280 : 4194304 46660224 0 0 0 0 0 0 0 
_1.ptx 281 : 4194304 46576864 0 0 0 0 0 0 0 
_1.ptx 283 : 4194304 46505216 0 0 0 0 0 0 0 
_1.ptx 284 : 4194304 46458688 0 0 0 0 0 0 0 
_1.ptx 286 : 4194304 104525184 0 0 0 0 0 0 0 
_1.ptx 287 : 4194304 46522848 0 0 0 0 0 0 0 
_1.ptx 288 : 4194304 46638624 0 0 0 0 0 0 0 
_1.ptx 289 : 4194304 46747392 0 0 0 0 0 0 0 
_1.ptx 290 : 4194304 123756320 0 0 0 131072 131072 0 0 
