kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 824 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 825 : 4096 60672 0 0 0 0 0 0 0 
_1.ptx 826 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 827 : 4096 45568 0 0 0 0 0 0 0 
_1.ptx 828 : 4096 29632 0 0 0 0 0 0 0 
_1.ptx 829 : 4096 24992 0 0 0 0 0 0 0 
_1.ptx 830 : 4096 32960 0 0 0 0 0 0 0 
_1.ptx 831 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 832 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 833 : 4096 24608 0 0 0 0 0 0 0 
_1.ptx 834 : 4096 33024 0 0 0 0 0 0 0 
_1.ptx 835 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 836 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 837 : 4096 35520 0 0 0 0 0 0 0 
_1.ptx 838 : 4096 48576 0 0 0 0 0 0 0 
_1.ptx 839 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 840 : 4096 31552 0 0 0 0 0 0 0 
_1.ptx 841 : 4096 33792 0 0 0 0 0 0 0 
_1.ptx 842 : 4096 35968 0 0 0 0 0 0 0 
_1.ptx 843 : 4096 49280 0 0 0 0 0 0 0 
_1.ptx 844 : 4096 35648 0 0 0 0 0 0 0 
_1.ptx 845 : 4096 55904 0 0 0 0 0 0 0 
_1.ptx 846 : 4096 28096 0 0 0 0 0 0 0 
_1.ptx 847 : 4096 38592 0 0 0 0 0 0 0 
_1.ptx 848 : 4096 47840 0 0 0 0 0 0 0 
_1.ptx 849 : 4096 39072 0 0 0 0 0 0 0 
_1.ptx 850 : 4096 52160 0 0 0 0 0 0 0 
_1.ptx 851 : 4096 29376 0 0 0 0 0 0 0 
_1.ptx 852 : 4096 25504 0 0 0 0 0 0 0 
_1.ptx 853 : 4096 34080 0 0 0 0 0 0 0 
_1.ptx 854 : 4096 26336 0 0 0 0 0 0 0 
_1.ptx 855 : 4096 33952 0 0 0 0 0 0 0 
_1.ptx 856 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 857 : 4096 45280 0 0 0 0 0 0 0 
_1.ptx 858 : 4096 52896 0 0 0 0 0 0 0 
_1.ptx 859 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 860 : 4096 50272 0 0 0 0 0 0 0 
_1.ptx 861 : 4096 32960 0 0 0 0 0 0 0 
_1.ptx 862 : 4096 34880 0 0 0 0 0 0 0 
_1.ptx 863 : 4096 33792 0 0 0 0 0 0 0 
_1.ptx 864 : 4096 32608 0 0 0 0 0 0 0 
_1.ptx 865 : 4096 31136 0 0 0 0 0 0 0 
_1.ptx 866 : 4096 30464 0 0 0 0 0 0 0 
_1.ptx 867 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 868 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 869 : 4096 24608 0 0 0 0 0 0 0 
_1.ptx 870 : 4096 24608 0 0 0 0 0 0 0 
_1.ptx 873 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 874 : 4096 30560 0 0 0 0 0 0 0 
_1.ptx 875 : 4096 27872 0 0 0 0 0 0 0 
_1.ptx 876 : 4096 28512 0 0 0 0 0 0 0 
_1.ptx 877 : 4096 27584 0 0 0 0 0 0 0 
_1.ptx 878 : 4096 31136 0 0 0 0 0 0 0 
_1.ptx 882 : 327680 1973120 0 0 0 0 0 0 0 
_1.ptx 883 : 327680 32353792 1310720 0 0 0 0 0 0 
_1.ptx 885 : 327680 1968416 0 0 0 0 0 0 0 
_1.ptx 886 : 327680 32728576 1310720 0 0 0 0 0 0 
_1.ptx 887 : 327680 3297248 0 0 0 0 0 0 0 
_1.ptx 888 : 327680 3284256 0 0 0 0 0 0 0 
_1.ptx 889 : 327680 3305472 0 0 0 0 0 0 0 
_1.ptx 890 : 327680 2652448 0 0 0 0 0 0 0 
_1.ptx 891 : 327680 1959488 0 0 0 0 0 0 0 
_1.ptx 894 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 895 : 4096 29056 0 0 0 0 0 0 0 
_1.ptx 896 : 4096 24992 0 0 0 0 0 0 0 
_1.ptx 897 : 4096 24640 0 0 0 0 0 0 0 
_1.ptx 898 : 4096 24736 0 0 0 0 0 0 0 
_1.ptx 899 : 4096 29088 0 0 0 0 0 0 0 
_1.ptx 903 : 327680 126368768 1310720 0 0 0 0 0 0 
_1.ptx 904 : 327680 3698144 1308544 0 0 0 0 0 0 
_1.ptx 905 : 327680 3288160 0 0 0 0 0 0 0 
_1.ptx 906 : 327680 3289632 0 0 0 0 0 0 0 
_1.ptx 907 : 327680 3303168 0 0 0 0 0 0 0 
_1.ptx 908 : 327680 2627648 0 0 0 0 0 0 0 
_1.ptx 909 : 327680 1948384 0 0 0 0 0 0 0 
_1.ptx 911 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 912 : 4096 29952 0 0 0 0 0 0 0 
_1.ptx 913 : 4096 26688 0 0 0 0 0 0 0 
_1.ptx 914 : 4096 29088 0 0 0 0 0 0 0 
_1.ptx 918 : 163840 1708800 0 0 0 0 0 0 0 
_1.ptx 919 : 163840 1222784 0 0 0 0 0 0 0 
_1.ptx 920 : 163840 1370208 0 0 0 0 0 0 0 
_1.ptx 921 : 163840 0 0 0 0 0 0 0 0 
_1.ptx 922 : 163840 1859200 0 0 0 0 0 0 0 
_1.ptx 923 : 163840 1699648 0 0 0 0 0 0 0 
_1.ptx 924 : 163840 493024 0 0 0 0 0 0 0 
_1.ptx 925 : 163840 2421120 0 0 0 0 0 0 0 
_1.ptx 926 : 163840 2797088 0 0 0 0 0 0 0 
_1.ptx 927 : 163840 1837856 0 0 0 0 0 0 0 
_1.ptx 928 : 163840 1235488 0 0 0 0 0 0 0 
_1.ptx 929 : 163840 1792704 0 0 0 0 0 0 0 
_1.ptx 930 : 163840 1850432 0 0 0 0 0 0 0 
_1.ptx 931 : 163840 1261632 0 0 0 0 0 0 0 
_1.ptx 932 : 163840 1757632 0 0 0 0 0 0 0 
_1.ptx 933 : 163840 1840192 0 0 0 0 0 0 0 
_1.ptx 934 : 163840 49775584 655360 0 0 0 0 0 0 
_1.ptx 935 : 163840 1843904 0 0 0 0 0 0 0 
_1.ptx 936 : 163840 1220224 0 0 0 0 0 0 0 
_1.ptx 937 : 163840 1119552 0 0 0 0 0 0 0 
_1.ptx 938 : 163840 1238880 0 0 0 0 0 0 0 
_1.ptx 942 : 9748480 109990656 0 0 0 0 0 0 0 
_1.ptx 943 : 9748480 73202656 0 0 0 0 0 0 0 
_1.ptx 944 : 9748480 103333440 0 0 0 0 0 0 0 
_1.ptx 945 : 9748480 110100256 0 0 0 0 0 0 0 
_1.ptx 946 : 9748480 39891680 0 0 0 0 0 0 0 
_1.ptx 948 : 9748480 109990432 0 0 0 0 0 0 0 
_1.ptx 949 : 9748480 2856467136 38446592 0 0 0 0 0 0 
_1.ptx 950 : 9748480 109954624 0 0 0 0 0 0 0 
_1.ptx 951 : 9748480 110080480 0 0 0 0 0 0 0 
_1.ptx 952 : 9748480 72861600 0 0 0 0 0 0 0 
_1.ptx 953 : 9748480 64785344 0 0 0 0 0 0 0 
_1.ptx 954 : 9748480 149243264 0 0 0 0 0 0 0 
_1.ptx 955 : 9748480 71757824 0 0 0 0 0 0 0 
_1.ptx 956 : 9748480 456043808 0 0 0 0 0 0 0 
_1.ptx 957 : 9748480 109673504 0 0 0 0 0 0 0 
_1.ptx 959 : 9748480 110041856 0 0 0 0 0 0 0 
_1.ptx 960 : 9748480 72512096 0 0 0 0 0 0 0 
_1.ptx 961 : 9748480 73908736 0 0 0 0 0 0 0 
_1.ptx 962 : 9748480 73986848 0 0 0 0 0 0 0 
_1.ptx 963 : 9748480 67641856 0 0 0 0 0 0 0 
_1.ptx 964 : 9748480 149436128 0 0 0 0 0 0 0 
_1.ptx 965 : 9748480 148153504 0 0 0 0 0 0 0 
_1.ptx 966 : 9748480 157347616 0 0 0 0 0 0 0 
_1.ptx 967 : 9748480 71804928 0 0 0 0 0 0 0 
_1.ptx 968 : 9748480 63184544 0 0 0 0 0 0 0 
_1.ptx 969 : 9748480 110961856 0 0 0 0 0 0 0 
_1.ptx 970 : 9748480 142292800 0 0 0 0 0 0 0 
_1.ptx 971 : 9748480 110171040 0 0 0 0 0 0 0 
_1.ptx 972 : 9748480 49983392 0 0 0 0 0 0 0 
_1.ptx 974 : 9748480 109881824 0 0 0 0 0 0 0 
_1.ptx 975 : 9748480 72549056 0 0 0 0 0 0 0 
_1.ptx 976 : 9748480 105015552 0 0 0 0 0 0 0 
_1.ptx 977 : 9748480 109404800 0 0 0 0 0 0 0 
_1.ptx 978 : 9748480 49422976 38993920 0 0 0 0 0 0 
_1.ptx 979 : 9748480 100786752 0 0 0 0 0 0 0 
_1.ptx 980 : 9748480 101692704 0 0 0 0 0 0 0 
_1.ptx 981 : 9748480 81109088 0 0 0 0 0 0 0 
_1.ptx 982 : 9748480 61424256 0 0 0 0 0 0 0 
_1.ptx 984 : 163840 1217216 0 0 0 0 0 0 0 
_1.ptx 985 : 163840 1370496 0 0 0 0 0 0 0 
_1.ptx 986 : 163840 1030464 0 0 0 0 0 0 0 
_1.ptx 989 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 990 : 4096 30208 0 0 0 0 0 0 0 
_1.ptx 991 : 4096 30496 0 0 0 0 0 0 0 
_1.ptx 992 : 4096 30560 0 0 0 0 0 0 0 
_1.ptx 993 : 4096 27904 0 0 0 0 0 0 0 
_1.ptx 994 : 4096 26368 0 0 0 0 0 0 0 
_1.ptx 995 : 4096 42016 0 0 0 0 0 0 0 
_1.ptx 996 : 4096 45664 0 0 0 0 0 0 0 
_1.ptx 997 : 4096 12448 0 0 0 0 0 0 0 
_1.ptx 998 : 4096 25696 0 0 0 0 0 0 0 
_1.ptx 999 : 4096 26496 0 0 0 0 0 0 0 
_1.ptx 1000 : 4096 30720 0 0 0 0 0 0 0 
_1.ptx 1004 : 163840 1174528 0 0 0 0 0 0 0 
_1.ptx 1005 : 163840 59133856 549120 0 0 0 0 0 0 
_1.ptx 1006 : 163840 1814496 0 0 0 0 0 0 0 
_1.ptx 1007 : 163840 1172672 0 0 0 0 0 0 0 
_1.ptx 1008 : 163840 1016992 0 0 0 0 0 0 0 
_1.ptx 1009 : 163840 2472640 0 0 0 0 0 0 0 
_1.ptx 1010 : 163840 1170496 0 0 0 0 0 0 0 
_1.ptx 1011 : 163840 7566400 0 0 0 0 0 0 0 
_1.ptx 1013 : 163840 1488320 0 0 0 0 0 0 0 
_1.ptx 1015 : 163840 1122720 655360 0 0 0 0 0 0 
_1.ptx 1017 : 163840 1135488 655360 0 0 0 0 0 0 
_1.ptx 1018 : 163840 1660512 0 0 0 0 0 0 0 
_1.ptx 1019 : 163840 1666944 0 0 0 0 0 0 0 
_1.ptx 1020 : 163840 1672640 0 0 0 0 0 0 0 
_1.ptx 1021 : 163840 1675744 0 0 0 0 0 0 0 
_1.ptx 1022 : 163840 1337984 0 0 0 0 0 0 0 
_1.ptx 1023 : 163840 978912 0 0 0 0 0 0 0 
_1.ptx 1025 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 1026 : 4096 29024 0 0 0 0 0 0 0 
_1.ptx 1027 : 4096 25728 0 0 0 0 0 0 0 
