kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 12800 78176 0 0 0 0 0 0 0 
_1.ptx 71 : 12800 154944 0 0 0 0 0 0 0 
_1.ptx 72 : 12800 79712 0 0 0 0 0 0 0 
_1.ptx 73 : 12800 151872 0 0 0 0 0 0 0 
_1.ptx 74 : 12800 94752 0 0 0 0 0 0 0 
_1.ptx 75 : 12800 109600 0 0 0 0 0 0 0 
_1.ptx 76 : 12800 92608 0 0 0 0 0 0 0 
_1.ptx 77 : 12800 1707968 128 0 0 0 0 0 0 
_1.ptx 78 : 12800 1692640 0 0 0 0 0 0 0 
_1.ptx 79 : 12800 1651520 0 0 0 0 0 0 0 
_1.ptx 80 : 12800 79168 0 0 0 0 0 0 0 
_1.ptx 81 : 12800 79712 0 0 0 0 0 0 0 
_1.ptx 82 : 12800 32832 0 0 0 0 0 0 100 
_1.ptx 83 : 7600 47316 0 0 0 0 0 0 0 
_1.ptx 84 : 7600 47124 0 0 0 0 0 0 0 
_1.ptx 85 : 7600 61956 0 0 0 0 0 0 0 
_1.ptx 86 : 7600 7824 0 0 0 0 0 0 0 
_1.ptx 88 : 6400 45696 0 0 0 0 0 0 0 
_1.ptx 90 : 6400 70848 0 0 0 0 0 0 0 
_1.ptx 91 : 6400 68256 0 0 0 0 0 0 0 
_1.ptx 92 : 6400 43968 0 0 0 0 0 0 0 
_1.ptx 95 : 1200 8976 0 0 0 0 0 0 0 
_1.ptx 96 : 1200 8124 0 0 0 0 0 0 0 
_1.ptx 97 : 1200 10320 0 0 0 0 0 0 0 
_1.ptx 98 : 1200 13620 0 0 0 0 0 0 0 
_1.ptx 99 : 1200 8892 0 0 0 0 0 0 0 
_1.ptx 100 : 1200 12468 0 0 0 0 0 0 0 
_1.ptx 101 : 1200 13584 0 0 0 0 0 0 0 
_1.ptx 102 : 1200 12252 0 0 0 0 0 0 0 
_1.ptx 103 : 1200 12492 0 0 0 0 0 0 0 
_1.ptx 105 : 1200 8880 0 0 0 0 0 0 0 
_1.ptx 106 : 1200 7908 0 0 0 0 0 0 0 
_1.ptx 107 : 1200 9816 0 0 0 0 0 0 0 
_1.ptx 108 : 1200 13380 0 0 0 0 0 0 0 
_1.ptx 109 : 1200 8988 0 0 0 0 0 0 0 
_1.ptx 110 : 1200 12816 0 0 0 0 0 0 0 
_1.ptx 113 : 7600 78176 0 0 0 0 0 0 0 
_1.ptx 114 : 7600 49592 0 0 0 0 0 0 0 
_1.ptx 115 : 7600 62576 0 0 0 0 0 0 0 
_1.ptx 116 : 7600 85360 0 0 0 0 0 0 0 
_1.ptx 117 : 7600 80480 0 0 0 0 0 0 0 
_1.ptx 118 : 7600 61316 0 0 0 0 0 0 0 
_1.ptx 120 : 7600 53568 0 0 0 0 0 0 0 
_1.ptx 121 : 7600 63616 0 0 0 0 0 0 0 
_1.ptx 122 : 7600 88372 0 0 0 0 0 0 0 
_1.ptx 124 : 7600 55836 0 0 0 0 0 0 0 
_1.ptx 125 : 7600 66644 0 0 0 0 0 0 0 
_1.ptx 126 : 7600 86168 0 0 0 0 0 0 0 
_1.ptx 128 : 7600 63312 0 0 0 0 0 0 0 
_1.ptx 129 : 7600 86396 0 0 0 0 0 0 0 
_1.ptx 130 : 7600 61788 0 0 0 0 0 0 0 
_1.ptx 132 : 7600 54400 0 0 0 0 0 0 0 
_1.ptx 133 : 7600 63788 0 0 0 0 0 0 0 
_1.ptx 134 : 7600 57228 0 0 0 0 0 0 0 
_1.ptx 135 : 7600 63548 0 0 0 0 0 0 0 
_1.ptx 136 : 7600 58340 0 0 0 0 0 0 0 
_1.ptx 137 : 7600 63656 0 0 0 0 0 0 0 
_1.ptx 138 : 7600 51572 0 0 0 0 0 0 0 
_1.ptx 139 : 7600 64208 0 0 0 0 0 0 0 
_1.ptx 140 : 7600 59476 0 0 0 0 0 0 0 
_1.ptx 141 : 7600 64232 0 0 0 0 0 0 0 
_1.ptx 142 : 7600 57960 0 0 0 0 0 0 0 
_1.ptx 143 : 7600 64132 0 0 0 0 0 0 0 
_1.ptx 144 : 7600 64772 0 0 0 0 0 0 0 
_1.ptx 145 : 7600 52556 0 0 0 0 0 0 0 
_1.ptx 147 : 5200 32536 0 0 0 0 0 0 0 
_1.ptx 148 : 5200 42308 0 0 0 0 0 0 0 
_1.ptx 149 : 5200 33144 0 0 0 0 0 0 0 
_1.ptx 150 : 5200 42532 0 0 0 0 0 0 0 
_1.ptx 151 : 5200 33064 0 0 0 0 0 0 0 
_1.ptx 154 : 12800 145728 0 0 0 0 0 0 0 
_1.ptx 155 : 12800 87328 0 0 0 0 0 0 0 
_1.ptx 156 : 12800 144896 0 0 0 0 0 0 0 
_1.ptx 157 : 12800 108512 0 0 0 0 0 0 0 
_1.ptx 158 : 12800 145856 0 0 0 0 0 0 0 
_1.ptx 159 : 12800 109184 0 0 0 0 0 0 0 
_1.ptx 160 : 12800 109024 0 0 0 0 0 0 0 
_1.ptx 161 : 12800 99424 0 0 0 0 0 0 0 
_1.ptx 162 : 12800 98496 0 0 0 0 0 0 0 
_1.ptx 163 : 12800 108160 0 0 0 0 0 0 0 
_1.ptx 164 : 12800 87040 0 0 0 0 0 0 0 
_1.ptx 165 : 12800 107904 0 0 0 0 0 0 0 
_1.ptx 166 : 12800 18648 0 0 0 0 0 0 100 
_1.ptx 168 : 10000 66900 0 0 0 0 0 0 0 
_1.ptx 169 : 10000 31264 0 0 0 0 0 0 0 
_1.ptx 170 : 10000 75780 0 0 0 0 0 0 0 
_1.ptx 171 : 10000 103632 0 0 0 0 0 0 0 
_1.ptx 172 : 10000 113292 0 0 0 0 0 0 0 
_1.ptx 173 : 10000 2887144 38528 0 0 661 400 0 0 
