kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 24576 149600 0 0 0 0 0 0 0 
_1.ptx 200 : 24576 199360 0 0 0 0 0 0 0 
_1.ptx 201 : 24576 99104 0 0 0 0 0 0 0 
_1.ptx 203 : 8192 66432 0 256 256 0 0 0 0 
_1.ptx 204 : 8192 66816 0 256 256 0 0 0 0 
_1.ptx 205 : 8192 90432 0 0 0 0 0 0 0 
_1.ptx 206 : 8192 42016 0 256 256 0 0 0 0 
_1.ptx 208 : 24576 148064 0 0 0 0 0 0 0 
_1.ptx 209 : 24576 99072 0 0 0 0 0 0 0 
_1.ptx 211 : 8192 66048 0 256 256 0 0 0 0 
_1.ptx 212 : 8192 66592 0 256 256 0 0 0 0 
_1.ptx 213 : 8192 90784 0 0 0 0 0 0 0 
_1.ptx 214 : 8192 41728 0 256 256 0 0 0 0 
_1.ptx 216 : 24576 147904 0 0 0 0 0 0 0 
_1.ptx 217 : 24576 149376 0 0 0 0 0 0 0 
_1.ptx 218 : 24576 199232 0 0 0 0 0 0 0 
_1.ptx 219 : 24576 124160 0 0 0 0 0 0 256 
_1.ptx 221 : 4096 33344 0 256 256 0 0 0 0 
_1.ptx 222 : 4096 33408 0 256 256 0 0 0 0 
_1.ptx 223 : 4096 45344 0 0 0 0 0 0 0 
_1.ptx 224 : 4096 20768 0 256 256 0 0 0 0 
_1.ptx 226 : 24576 148800 0 0 0 0 0 0 0 
_1.ptx 227 : 24576 150176 0 0 0 0 0 0 0 
_1.ptx 228 : 24576 199232 0 0 0 0 0 0 0 
_1.ptx 229 : 24576 136456 0 0 0 0 0 0 256 
_1.ptx 231 : 2048 16616 0 256 256 0 0 0 0 
_1.ptx 232 : 2048 16712 0 256 256 0 0 0 0 
_1.ptx 233 : 2048 22688 0 0 0 0 0 0 0 
_1.ptx 234 : 2048 10448 0 256 256 0 0 0 0 
_1.ptx 236 : 24576 148544 0 0 0 0 0 0 0 
_1.ptx 237 : 24576 150272 0 0 0 0 0 0 0 
_1.ptx 238 : 24576 199008 0 0 0 0 0 0 0 
_1.ptx 239 : 24576 142136 0 0 0 0 0 0 256 
_1.ptx 241 : 1024 8288 0 256 256 0 0 0 0 
_1.ptx 242 : 1024 8324 0 256 256 0 0 0 0 
_1.ptx 243 : 1024 11312 0 0 0 0 0 0 0 
_1.ptx 244 : 1024 5196 0 256 256 0 0 0 0 
_1.ptx 246 : 24576 148064 0 0 0 0 0 0 0 
_1.ptx 247 : 24576 149312 0 0 0 0 0 0 0 
_1.ptx 248 : 24576 198144 0 0 0 0 0 0 0 
_1.ptx 249 : 24576 144984 0 0 0 0 0 0 256 
_1.ptx 251 : 512 4110 0 256 256 0 0 0 0 
_1.ptx 252 : 512 4132 0 256 256 0 0 0 0 
_1.ptx 253 : 512 5654 0 0 0 0 0 0 0 
_1.ptx 254 : 512 2592 0 256 256 0 0 0 0 
_1.ptx 256 : 24576 148064 0 0 0 0 0 0 0 
_1.ptx 257 : 24576 149952 0 0 0 0 0 0 0 
_1.ptx 258 : 24576 198784 0 0 0 0 0 0 0 
_1.ptx 259 : 24576 146642 0 0 0 0 0 0 256 
_1.ptx 261 : 256 2060 0 256 256 0 0 0 0 
_1.ptx 262 : 256 2071 0 256 256 0 0 0 0 
_1.ptx 263 : 256 2837 0 0 0 0 0 0 0 
_1.ptx 264 : 256 1303 0 256 256 0 0 0 0 
_1.ptx 266 : 24576 148000 0 0 0 0 0 0 0 
_1.ptx 267 : 24576 149664 0 0 0 0 0 0 0 
_1.ptx 268 : 24576 198464 0 0 0 0 0 0 0 
_1.ptx 269 : 24576 146714 0 0 0 0 0 0 256 
_1.ptx 70 : 24576 150816 0 0 0 0 0 0 0 
_1.ptx 71 : 24576 152544 0 0 0 0 0 0 0 
_1.ptx 271 : 256 1797 0 256 256 0 0 0 0 
_1.ptx 72 : 24576 303008 0 0 0 0 0 0 0 
_1.ptx 272 : 256 781 0 0 0 0 0 0 0 
_1.ptx 73 : 24576 152128 0 0 0 0 0 0 0 
_1.ptx 273 : 256 1827 0 0 0 0 0 0 0 
_1.ptx 74 : 24576 181632 0 0 0 0 0 0 0 
