kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 2828645 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 557201 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 563544 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5345872 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5459923 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3596210 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4262614 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2456411 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 829785 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1059003 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 953588 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 826142 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1058115 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 948222 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1062064 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 829757 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1055783 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 411505 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 647966 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 477373 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 463691 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 683921 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 699309 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 274594 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 273502 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 276162 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 280159 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 277343 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 280191 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 275575 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 696327 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 698234 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 700611 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 700412 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 706261 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 701326 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 296319 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 405675 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 517126 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 121305 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 281413 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 282952 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 283560 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 280437 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 60574 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 216265 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 215303 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 217824 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 217977 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 218533 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 176884 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 177556 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 329091 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 216640 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 217410 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 217697 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 705018 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 712141 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 717693 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 717645 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 580122 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 578719 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1177503 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 698929 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 702070 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 706466 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 695961 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 572132 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 579070 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 405552 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 514248 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 393854 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 456934 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 460847 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 467650 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 412294 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 702274 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 469977 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 738899 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 695683 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 339061 23968 0 0 0 0 0 0 
_1.ptx 921 : 62282 387204 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 694794 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 466501 41088 0 0 0 0 0 0 
_1.ptx 924 : 62282 385100 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 695882 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 578922 24416 0 0 0 0 0 0 
_1.ptx 927 : 62282 387310 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 695682 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 624809 24000 0 0 0 0 0 0 
