kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 7478 : 49152 362304 0 0 0 0 0 0 0 
_1.ptx 7479 : 49152 408576 0 0 0 0 0 0 0 
_1.ptx 7480 : 49152 378752 0 0 0 0 0 0 0 
_1.ptx 7481 : 49152 382528 0 0 0 0 0 0 0 
_1.ptx 7482 : 49152 376704 0 0 0 0 0 0 0 
_1.ptx 7483 : 49152 369344 0 0 0 0 0 0 0 
_1.ptx 7484 : 49152 411584 0 0 0 0 0 0 0 
_1.ptx 7485 : 49152 416288 0 0 0 0 0 0 0 
_1.ptx 7486 : 49152 411424 0 0 0 0 0 0 0 
_1.ptx 7487 : 49152 555552 0 0 0 0 0 0 0 
_1.ptx 7488 : 49152 546592 0 0 0 0 0 0 0 
_1.ptx 7489 : 49152 545216 0 0 0 0 0 0 0 
_1.ptx 7490 : 49152 502624 0 0 0 0 0 0 0 
_1.ptx 7492 : 49152 418752 0 1536 1536 0 0 0 0 
_1.ptx 7493 : 49152 418240 0 1536 1536 0 0 0 0 
_1.ptx 7494 : 49152 398976 0 0 0 0 0 0 0 
_1.ptx 7495 : 49152 398432 0 0 0 0 0 0 0 
_1.ptx 7496 : 49152 399200 0 0 0 0 0 0 0 
_1.ptx 7497 : 49152 358752 0 0 0 0 0 0 0 
_1.ptx 7499 : 49152 357312 0 0 0 0 0 0 0 
_1.ptx 7500 : 49152 364160 0 0 0 0 0 0 0 
_1.ptx 7501 : 49152 369696 0 0 0 0 0 0 0 
_1.ptx 7502 : 49152 371648 0 0 0 0 0 0 0 
_1.ptx 7503 : 49152 370208 0 0 0 0 0 0 0 
_1.ptx 7504 : 49152 366592 0 0 0 0 0 0 0 
_1.ptx 7505 : 49152 401984 0 0 0 0 0 0 0 
_1.ptx 7506 : 49152 271552 0 1536 1536 0 0 0 0 
_1.ptx 7507 : 49152 355456 0 0 0 0 0 0 0 
_1.ptx 7508 : 49152 358464 0 0 0 0 0 0 0 
_1.ptx 7509 : 49152 366208 0 0 0 0 0 0 0 
_1.ptx 7510 : 49152 405056 0 0 0 0 0 0 0 
_1.ptx 7511 : 49152 369824 0 0 0 0 0 0 0 
_1.ptx 7512 : 49152 350496 0 0 0 0 0 0 0 
_1.ptx 7513 : 49152 353472 0 0 0 0 0 0 0 
_1.ptx 7514 : 49152 355168 0 0 0 0 0 0 0 
_1.ptx 7515 : 49152 412768 0 0 0 0 0 0 0 
_1.ptx 7516 : 49152 419328 0 0 0 0 0 0 0 
_1.ptx 7517 : 49152 409984 0 0 0 0 0 0 0 
_1.ptx 7518 : 49152 552096 0 0 0 0 0 0 0 
_1.ptx 7519 : 49152 544800 0 0 0 0 0 0 0 
_1.ptx 7520 : 49152 544416 0 0 0 0 0 0 0 
_1.ptx 7521 : 49152 500256 0 0 0 0 0 0 0 
_1.ptx 7523 : 49152 429248 0 1536 1536 0 0 0 0 
_1.ptx 7524 : 49152 433184 0 1536 1536 0 0 0 0 
_1.ptx 7525 : 49152 404864 0 0 0 0 0 0 0 
_1.ptx 7526 : 49152 405216 0 0 0 0 0 0 0 
_1.ptx 7527 : 49152 403744 0 0 0 0 0 0 0 
_1.ptx 7528 : 49152 357216 0 0 0 0 0 0 0 
_1.ptx 7530 : 49152 352896 0 0 0 0 0 0 0 
_1.ptx 7531 : 49152 358912 0 0 0 0 0 0 0 
_1.ptx 7532 : 49152 368992 0 0 0 0 0 0 0 
_1.ptx 7533 : 49152 370176 0 0 0 0 0 0 0 
_1.ptx 7534 : 49152 364000 0 0 0 0 0 0 0 
_1.ptx 7535 : 49152 365184 0 0 0 0 0 0 0 
_1.ptx 7536 : 49152 402112 0 0 0 0 0 0 0 
_1.ptx 7537 : 49152 273472 0 1536 1536 0 0 0 0 
_1.ptx 7538 : 49152 358080 0 0 0 0 0 0 0 
_1.ptx 7539 : 49152 359872 0 0 0 0 0 0 0 
_1.ptx 7540 : 49152 371328 0 0 0 0 0 0 0 
_1.ptx 7541 : 49152 410400 0 0 0 0 0 0 0 
_1.ptx 7542 : 49152 382560 0 0 0 0 0 0 0 
_1.ptx 7543 : 49152 381664 0 0 0 0 0 0 0 
_1.ptx 7544 : 49152 376640 0 0 0 0 0 0 0 
_1.ptx 7545 : 49152 364064 0 0 0 0 0 0 0 
_1.ptx 7546 : 49152 406048 0 0 0 0 0 0 0 
_1.ptx 7547 : 49152 407008 0 0 0 0 0 0 0 
_1.ptx 7548 : 49152 405120 0 0 0 0 0 0 0 
_1.ptx 7549 : 49152 548512 0 0 0 0 0 0 0 
_1.ptx 7550 : 49152 544640 0 0 0 0 0 0 0 
_1.ptx 7551 : 49152 545248 0 0 0 0 0 0 0 
_1.ptx 7552 : 49152 521824 0 0 0 0 0 0 0 
_1.ptx 7554 : 49152 423648 0 1536 1536 0 0 0 0 
_1.ptx 7555 : 49152 431712 0 0 0 0 0 0 0 
_1.ptx 7556 : 49152 423744 0 0 0 0 0 0 0 
_1.ptx 7557 : 49152 410336 0 0 0 0 0 0 0 
_1.ptx 7558 : 49152 362208 0 0 0 0 0 0 0 
_1.ptx 7560 : 49152 360800 0 0 0 0 0 0 0 
_1.ptx 7561 : 49152 364096 0 0 0 0 0 0 0 
_1.ptx 7562 : 49152 362400 0 0 0 0 0 0 0 
_1.ptx 7563 : 49152 358016 0 0 0 0 0 0 0 
_1.ptx 7564 : 49152 348960 0 0 0 0 0 0 0 
_1.ptx 7565 : 49152 356704 0 0 0 0 0 0 0 
_1.ptx 7566 : 49152 402496 0 0 0 0 0 0 0 
_1.ptx 7567 : 49152 276032 0 1536 1536 0 0 0 0 
_1.ptx 7568 : 49152 357760 0 0 0 0 0 0 0 
_1.ptx 7569 : 49152 362144 0 0 0 0 0 0 0 
_1.ptx 7570 : 49152 371520 0 0 0 0 0 0 0 
_1.ptx 7571 : 49152 409216 0 0 0 0 0 0 0 
_1.ptx 7572 : 49152 383648 0 0 0 0 0 0 0 
_1.ptx 7573 : 49152 383616 0 0 0 0 0 0 0 
_1.ptx 7574 : 49152 382976 0 0 0 0 0 0 0 
_1.ptx 7575 : 49152 383872 0 0 0 0 0 0 0 
_1.ptx 7576 : 49152 413824 0 0 0 0 0 0 0 
_1.ptx 7577 : 49152 416736 0 0 0 0 0 0 0 
_1.ptx 7578 : 49152 412096 0 0 0 0 0 0 0 
_1.ptx 7579 : 49152 553280 0 0 0 0 0 0 0 
_1.ptx 7580 : 49152 542240 0 0 0 0 0 0 0 
_1.ptx 7581 : 49152 543104 0 0 0 0 0 0 0 
_1.ptx 7582 : 49152 571168 0 0 0 0 0 0 0 
_1.ptx 7584 : 49152 471072 0 0 0 0 0 0 0 
_1.ptx 7585 : 49152 454816 0 0 0 0 0 0 0 
_1.ptx 7586 : 49152 416736 0 0 0 0 0 0 0 
_1.ptx 7587 : 49152 364160 0 0 0 0 0 0 0 
_1.ptx 7589 : 49152 360864 0 0 0 0 0 0 0 
_1.ptx 7590 : 49152 368064 0 0 0 0 0 0 0 
_1.ptx 7591 : 49152 369888 0 0 0 0 0 0 0 
_1.ptx 7592 : 49152 372704 0 0 0 0 0 0 0 
_1.ptx 7593 : 49152 369472 0 0 0 0 0 0 0 
_1.ptx 7594 : 49152 367872 0 0 0 0 0 0 0 
_1.ptx 7595 : 49152 403648 0 0 0 0 0 0 0 
_1.ptx 7596 : 49152 267456 0 1536 1536 0 0 0 0 
_1.ptx 7597 : 49152 350848 0 0 0 0 0 0 0 
_1.ptx 7598 : 49152 347040 0 0 0 0 0 0 0 
_1.ptx 7599 : 49152 360480 0 0 0 0 0 0 0 
_1.ptx 7600 : 49152 410464 0 0 0 0 0 0 0 
_1.ptx 7601 : 49152 384032 0 0 0 0 0 0 0 
_1.ptx 7602 : 49152 388384 0 0 0 0 0 0 0 
_1.ptx 7603 : 49152 389280 0 0 0 0 0 0 0 
_1.ptx 7604 : 49152 372128 0 0 0 0 0 0 0 
_1.ptx 7605 : 49152 412608 0 0 0 0 0 0 0 
_1.ptx 7606 : 49152 418784 0 0 0 0 0 0 0 
_1.ptx 7607 : 49152 412544 0 0 0 0 0 0 0 
_1.ptx 7608 : 49152 552864 0 0 0 0 0 0 0 
_1.ptx 7609 : 49152 546784 0 0 0 0 0 0 0 
_1.ptx 7610 : 49152 554528 0 0 0 0 0 0 0 
_1.ptx 7611 : 49152 567904 0 0 0 0 0 0 0 
_1.ptx 7613 : 49152 464000 0 0 0 0 0 0 0 
_1.ptx 7614 : 49152 445856 0 0 0 0 0 0 0 
_1.ptx 7615 : 49152 395680 0 0 0 0 0 0 0 
_1.ptx 7616 : 49152 352576 0 0 0 0 0 0 0 
_1.ptx 7618 : 49152 354368 0 0 0 0 0 0 0 
_1.ptx 7619 : 49152 361920 0 0 0 0 0 0 0 
_1.ptx 7620 : 49152 369376 0 0 0 0 0 0 0 
_1.ptx 7621 : 49152 371392 0 0 0 0 0 0 0 
_1.ptx 7622 : 49152 384448 0 0 0 0 0 0 0 
_1.ptx 7623 : 49152 367744 0 0 0 0 0 0 0 
_1.ptx 7624 : 49152 402784 0 0 0 0 0 0 0 
_1.ptx 7625 : 49152 274816 0 1536 1536 0 0 0 0 
_1.ptx 7626 : 49152 356128 0 0 0 0 0 0 0 
_1.ptx 7627 : 49152 361600 0 0 0 0 0 0 0 
_1.ptx 7628 : 49152 370784 0 0 0 0 0 0 0 
_1.ptx 7629 : 49152 408608 0 0 0 0 0 0 0 
_1.ptx 7630 : 49152 371904 0 0 0 0 0 0 0 
_1.ptx 7631 : 49152 369344 0 0 0 0 0 0 0 
_1.ptx 7632 : 49152 348704 0 0 0 0 0 0 0 
_1.ptx 7633 : 49152 361504 0 0 0 0 0 0 0 
_1.ptx 7634 : 49152 411616 0 0 0 0 0 0 0 
_1.ptx 7635 : 49152 417568 0 0 0 0 0 0 0 
_1.ptx 7636 : 49152 411488 0 0 0 0 0 0 0 
_1.ptx 7637 : 49152 553440 0 0 0 0 0 0 0 
_1.ptx 7638 : 49152 545728 0 0 0 0 0 0 0 
_1.ptx 7639 : 49152 554688 0 0 0 0 0 0 0 
_1.ptx 7640 : 49152 573152 0 0 0 0 0 0 0 
_1.ptx 7642 : 49152 472128 0 0 0 0 0 0 0 
_1.ptx 7643 : 49152 450560 0 0 0 0 0 0 0 
_1.ptx 7644 : 49152 420000 0 0 0 0 0 0 0 
_1.ptx 7645 : 49152 366624 0 0 0 0 0 0 0 
_1.ptx 7647 : 49152 358848 0 0 0 0 0 0 0 
_1.ptx 7648 : 49152 356896 0 0 0 0 0 0 0 
_1.ptx 7649 : 49152 356512 0 0 0 0 0 0 0 
_1.ptx 7650 : 49152 353920 0 0 0 0 0 0 0 
_1.ptx 7651 : 49152 355840 0 0 0 0 0 0 0 
_1.ptx 7652 : 49152 355584 0 0 0 0 0 0 0 
_1.ptx 7653 : 49152 401536 0 0 0 0 0 0 0 
_1.ptx 7654 : 49152 270112 0 1536 1536 0 0 0 0 
_1.ptx 7655 : 49152 354112 0 0 0 0 0 0 0 
_1.ptx 7656 : 49152 357472 0 0 0 0 0 0 0 
_1.ptx 7657 : 49152 369632 0 0 0 0 0 0 0 
_1.ptx 7658 : 49152 410496 0 0 0 0 0 0 0 
_1.ptx 7659 : 49152 384160 0 0 0 0 0 0 0 
_1.ptx 7660 : 49152 384928 0 0 0 0 0 0 0 
_1.ptx 7661 : 49152 387008 0 0 0 0 0 0 0 
_1.ptx 7662 : 49152 382656 0 0 0 0 0 0 0 
_1.ptx 7663 : 49152 412672 0 0 0 0 0 0 0 
_1.ptx 7664 : 49152 410624 0 0 0 0 0 0 0 
_1.ptx 7665 : 49152 405088 0 0 0 0 0 0 0 
_1.ptx 7666 : 49152 542208 0 0 0 0 0 0 0 
_1.ptx 7667 : 49152 544192 0 0 0 0 0 0 0 
_1.ptx 7668 : 49152 543552 0 0 0 0 0 0 0 
_1.ptx 7669 : 49152 569120 0 0 0 0 0 0 0 
_1.ptx 7671 : 49152 472288 0 0 0 0 0 0 0 
_1.ptx 7672 : 49152 449952 0 0 0 0 0 0 0 
_1.ptx 7673 : 49152 416224 0 0 0 0 0 0 0 
_1.ptx 7674 : 49152 360896 0 0 0 0 0 0 0 
_1.ptx 7676 : 49152 360800 0 0 0 0 0 0 0 
_1.ptx 7677 : 49152 365632 0 0 0 0 0 0 0 
_1.ptx 7678 : 49152 370528 0 0 0 0 0 0 0 
_1.ptx 7679 : 49152 371104 0 0 0 0 0 0 0 
_1.ptx 7680 : 49152 369120 0 0 0 0 0 0 0 
_1.ptx 7681 : 49152 367840 0 0 0 0 0 0 0 
_1.ptx 7682 : 49152 401664 0 0 0 0 0 0 0 
_1.ptx 7683 : 49152 270144 0 1536 1536 0 0 0 0 
_1.ptx 7684 : 49152 349824 0 0 0 0 0 0 0 
_1.ptx 7685 : 49152 350592 0 0 0 0 0 0 0 
_1.ptx 7686 : 49152 355808 0 0 0 0 0 0 0 
_1.ptx 7687 : 49152 407552 0 0 0 0 0 0 0 
_1.ptx 7688 : 49152 385056 0 0 0 0 0 0 0 
_1.ptx 7689 : 49152 389984 0 0 0 0 0 0 0 
_1.ptx 7690 : 49152 387328 0 0 0 0 0 0 0 
_1.ptx 7691 : 49152 369920 0 0 0 0 0 0 0 
_1.ptx 7692 : 49152 413600 0 0 0 0 0 0 0 
_1.ptx 7693 : 49152 415584 0 0 0 0 0 0 0 
_1.ptx 7694 : 49152 412288 0 0 0 0 0 0 0 
_1.ptx 7695 : 49152 552320 0 0 0 0 0 0 0 
_1.ptx 7696 : 49152 546720 0 0 0 0 0 0 0 
_1.ptx 7697 : 49152 555392 0 0 0 0 0 0 0 
_1.ptx 7698 : 49152 565856 0 0 0 0 0 0 0 
_1.ptx 7700 : 49152 463584 0 0 0 0 0 0 0 
_1.ptx 7701 : 49152 398848 0 0 0 0 0 0 0 
_1.ptx 7702 : 49152 402240 0 0 0 0 0 0 0 
_1.ptx 7703 : 49152 355360 0 0 0 0 0 0 0 
_1.ptx 7705 : 49152 355008 0 0 0 0 0 0 0 
_1.ptx 7706 : 49152 365088 0 0 0 0 0 0 0 
_1.ptx 7707 : 49152 370752 0 0 0 0 0 0 0 
_1.ptx 7708 : 49152 370720 0 0 0 0 0 0 0 
_1.ptx 7709 : 49152 370240 0 0 0 0 0 0 0 
_1.ptx 7710 : 49152 365248 0 0 0 0 0 0 0 
_1.ptx 7711 : 49152 402880 0 0 0 0 0 0 0 
_1.ptx 7712 : 49152 270400 0 1536 1536 0 0 0 0 
_1.ptx 7713 : 49152 356896 0 0 0 0 0 0 0 
_1.ptx 7714 : 49152 357792 0 0 0 0 0 0 0 
_1.ptx 7715 : 49152 366944 0 0 0 0 0 0 0 
_1.ptx 7716 : 49152 405472 0 0 0 0 0 0 0 
_1.ptx 7717 : 49152 367616 0 0 0 0 0 0 0 
