kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1048576 29631968 0 65536 32768 0 0 0 0 
_1.ptx 99 : 1048576 6614272 0 0 0 0 0 0 0 
_1.ptx 101 : 1048576 6626080 0 0 0 0 0 0 0 
_1.ptx 102 : 1048576 11911424 0 0 0 0 0 0 0 
_1.ptx 103 : 1048576 12100416 0 0 0 0 0 0 0 
_1.ptx 104 : 1048576 8857792 0 0 0 0 0 0 0 
_1.ptx 105 : 1048576 8104256 0 0 0 0 0 0 0 
_1.ptx 106 : 1048576 8880480 0 0 0 0 0 0 0 
_1.ptx 107 : 1048576 7990208 0 0 0 0 0 0 0 
_1.ptx 108 : 1048576 8866720 0 0 0 0 0 0 0 
_1.ptx 109 : 1048576 7122752 0 0 0 0 0 0 0 
_1.ptx 110 : 1048576 8771968 0 0 0 0 0 0 0 
_1.ptx 111 : 1048576 0 0 0 0 0 0 0 0 
_1.ptx 113 : 1048576 7971424 0 0 0 0 0 0 0 
_1.ptx 114 : 1048576 7925376 0 0 0 0 0 0 0 
_1.ptx 115 : 1048576 11774336 0 0 0 0 0 0 0 
_1.ptx 116 : 1048576 11744704 0 0 0 0 0 0 0 
_1.ptx 117 : 1048576 11817024 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 11709120 0 0 0 0 0 0 0 
_1.ptx 119 : 1048576 25881248 0 65536 32768 0 0 0 0 
_1.ptx 120 : 1048576 12895904 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 12387520 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 11731904 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 7868544 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 11712384 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 11812672 0 0 0 0 0 0 0 
_1.ptx 126 : 1048576 71264352 4090688 0 0 65536 32768 0 0 
_1.ptx 129 : 1048576 6753312 0 0 0 0 0 0 0 
_1.ptx 145 : 1048576 6665152 0 0 0 0 0 0 0 
_1.ptx 146 : 1048576 6706560 0 0 0 0 0 0 0 
_1.ptx 147 : 1048576 13378272 0 0 0 0 0 0 0 
_1.ptx 148 : 1048576 6597728 0 0 0 0 0 0 0 
_1.ptx 149 : 1048576 6655040 0 0 0 0 0 0 0 
_1.ptx 150 : 1048576 13895232 0 0 0 0 0 0 0 
_1.ptx 151 : 1048576 6574688 0 0 0 0 0 0 0 
_1.ptx 152 : 1048576 11919072 0 0 0 0 0 0 0 
_1.ptx 153 : 1048576 7075232 0 0 0 0 0 0 0 
_1.ptx 154 : 1048576 11823648 0 0 0 0 0 0 0 
_1.ptx 155 : 1048576 177368320 128 0 0 0 0 0 0 
_1.ptx 156 : 1048576 65364832 0 0 0 0 0 0 0 
_1.ptx 157 : 1048576 8582880 0 0 0 0 0 0 0 
_1.ptx 158 : 1048576 7763872 0 0 0 0 0 0 0 
_1.ptx 159 : 1048576 8703520 0 0 0 0 0 0 0 
_1.ptx 160 : 1048576 7903456 0 0 0 0 0 0 0 
_1.ptx 161 : 1048576 8845472 0 0 0 0 0 0 0 
_1.ptx 64 : 1048576 6719552 0 0 0 0 0 0 0 
_1.ptx 162 : 1048576 7032608 0 0 0 0 0 0 0 
_1.ptx 65 : 1048576 12053216 0 0 0 0 0 0 0 
_1.ptx 163 : 1048576 8666624 0 0 0 0 0 0 0 
_1.ptx 66 : 1048576 6725984 0 0 0 0 0 0 0 
_1.ptx 164 : 1048576 0 0 0 0 0 0 0 0 
_1.ptx 67 : 1048576 13110432 0 0 0 0 0 0 0 
_1.ptx 68 : 1048576 6732896 0 0 0 0 0 0 0 
_1.ptx 166 : 1048576 144709056 0 0 0 0 0 0 0 
_1.ptx 69 : 1048576 11903424 0 0 0 0 0 0 0 
_1.ptx 167 : 1048576 12687200 0 0 0 0 0 0 0 
_1.ptx 70 : 1048576 7098848 0 0 0 0 0 0 0 
_1.ptx 168 : 1048576 11680000 0 0 0 0 0 0 0 
_1.ptx 71 : 1048576 11795040 0 0 0 0 0 0 0 
_1.ptx 169 : 1048576 7767104 0 0 0 0 0 0 0 
_1.ptx 72 : 1048576 30219872 0 0 0 0 0 0 0 
_1.ptx 170 : 1048576 11692160 0 0 0 0 0 0 0 
_1.ptx 73 : 1048576 17939744 0 0 0 0 0 0 0 
_1.ptx 171 : 1048576 11713088 0 0 0 0 0 0 0 
_1.ptx 74 : 1048576 8650272 0 0 0 0 0 0 0 
_1.ptx 172 : 1048576 827166656 4276608 0 0 65536 32768 0 0 
_1.ptx 75 : 1048576 7872800 0 0 0 0 0 0 0 
_1.ptx 76 : 1048576 8734720 0 0 0 0 0 0 0 
_1.ptx 173 : 1048576 144377312 0 0 0 0 0 0 0 
_1.ptx 77 : 1048576 7944064 0 0 0 0 0 0 0 
_1.ptx 174 : 1048576 12293184 0 0 0 0 0 0 0 
_1.ptx 78 : 1048576 8874528 0 0 0 0 0 0 0 
_1.ptx 175 : 1048576 11681248 0 0 0 0 0 0 0 
_1.ptx 79 : 1048576 7150368 0 0 0 0 0 0 0 
_1.ptx 176 : 1048576 7697504 0 0 0 0 0 0 0 
_1.ptx 80 : 1048576 8759648 0 0 0 0 0 0 0 
_1.ptx 177 : 1048576 11452416 0 0 0 0 0 0 0 
_1.ptx 81 : 1048576 0 0 0 0 0 0 0 0 
_1.ptx 178 : 1048576 11771712 0 0 0 0 0 0 0 
_1.ptx 179 : 1048576 1239813312 15820448 0 0 524288 32768 0 0 
_1.ptx 83 : 1048576 6766464 0 0 0 0 0 0 0 
_1.ptx 84 : 1048576 26331968 0 0 0 0 0 0 0 
_1.ptx 85 : 1048576 12466176 0 0 0 0 0 0 0 
_1.ptx 182 : 1048576 6367712 0 0 0 0 0 0 0 
_1.ptx 86 : 1048576 11738176 0 0 0 0 0 0 0 
_1.ptx 87 : 1048576 7844640 0 0 0 0 0 0 0 
_1.ptx 88 : 1048576 11626944 0 0 0 0 0 0 0 
_1.ptx 89 : 1048576 11807328 0 0 0 0 0 0 0 
_1.ptx 90 : 1048576 552493440 4233472 0 0 65536 32768 0 0 
_1.ptx 91 : 1048576 7847136 0 0 0 0 0 0 0 
_1.ptx 92 : 1048576 7879648 0 0 0 0 0 0 0 
_1.ptx 93 : 1048576 11680064 0 0 0 0 0 0 0 
_1.ptx 94 : 1048576 11744480 0 0 0 0 0 0 0 
_1.ptx 95 : 1048576 11548768 0 0 0 0 0 0 0 
_1.ptx 96 : 1048576 11741728 0 0 0 0 0 0 0 
