kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 1227 : 25604099 282486652 0 0 0 0 0 0 0 
_3.ptx 1228 : 25604099 32396883374 1207421056 0 0 25604099 1678196 0 0 
_3.ptx 1229 : 25604099 154031396 0 0 0 0 0 0 0 
_3.ptx 1230 : 25604099 206142406 0 0 0 0 0 0 0 
_3.ptx 1231 : 25604099 231348865 0 0 0 0 0 0 0 
_3.ptx 1233 : 25604099 154555273 0 0 0 0 0 0 0 
_3.ptx 1236 : 737280 5197334 0 0 0 0 0 0 0 
_3.ptx 1237 : 737280 8132246 0 0 0 0 0 0 0 
_3.ptx 1238 : 737280 676240833 44136704 0 0 737280 286414 0 0 
_3.ptx 1239 : 737280 4437292 0 0 0 0 0 0 0 
_3.ptx 1240 : 737280 5941203 0 0 0 0 0 0 0 
_3.ptx 1241 : 737280 3980061 0 0 0 0 0 0 11691 
_3.ptx 1242 : 76800 462596 0 0 0 0 0 0 0 
_3.ptx 1243 : 76800 463475 0 0 0 0 0 0 0 
_3.ptx 1246 : 660480 3976401 0 0 0 0 0 0 0 
_3.ptx 1247 : 660480 5325573 0 0 0 0 0 0 0 
_3.ptx 1248 : 660480 4677338 0 0 0 0 0 0 0 
_3.ptx 1249 : 660480 4014562 0 0 0 0 0 0 0 
_3.ptx 1252 : 146432 1032383 0 0 0 0 0 0 0 
_3.ptx 1253 : 146432 1615478 0 0 0 0 0 0 0 
_3.ptx 1254 : 146432 118600950 7591552 0 0 146432 64480 0 0 
_3.ptx 1255 : 146432 881769 0 0 0 0 0 0 0 
_3.ptx 1256 : 146432 1180839 0 0 0 0 0 0 0 
_3.ptx 1257 : 146432 542753 0 0 0 0 0 0 1204 
_3.ptx 1259 : 56320 339763 0 0 0 0 0 0 0 
_3.ptx 1260 : 56320 18055769 1498624 0 0 0 0 0 0 
_3.ptx 1261 : 56320 339347 0 0 0 0 0 0 0 
_3.ptx 1262 : 56320 16420993 569280 0 0 0 0 0 0 
_3.ptx 1263 : 56320 339761 0 0 0 0 0 0 0 
_3.ptx 1264 : 56320 15692169 35648 0 0 0 0 0 0 
_3.ptx 1265 : 56320 339968 0 0 0 0 0 0 0 
_3.ptx 1266 : 56320 15808106 27264 0 0 0 0 0 0 
_3.ptx 1267 : 56320 339982 0 0 0 0 0 0 0 
_3.ptx 1268 : 56320 15948491 1498944 0 0 0 0 0 0 
_3.ptx 1269 : 56320 340243 0 0 0 0 0 0 0 
_3.ptx 1273 : 281600 1993394 0 0 0 0 0 0 0 
_3.ptx 1274 : 281600 3112288 0 0 0 0 0 0 0 
_3.ptx 1275 : 281600 172150089 2980224 0 0 0 0 0 0 
_3.ptx 1276 : 281600 3113103 0 0 0 0 0 0 0 
_3.ptx 1277 : 281600 180643330 6256512 0 0 281600 121320 0 0 
_3.ptx 1278 : 281600 2271449 0 0 0 0 0 0 0 
_2.ptx 869 : 12288 79808 0 0 0 0 0 0 0 
_3.ptx 1279 : 281600 339955 0 0 0 0 0 0 0 
_2.ptx 870 : 12288 37888 0 0 0 0 0 0 0 
_2.ptx 871 : 12288 77824 0 0 0 0 0 0 0 
_3.ptx 1281 : 225280 2272064 0 0 0 0 0 0 0 
_2.ptx 872 : 12288 101504 0 0 0 0 0 0 0 
_3.ptx 1282 : 225280 1367791 0 0 0 0 0 0 0 
_2.ptx 873 : 12288 0 0 0 0 0 0 0 0 
_3.ptx 1283 : 225280 1815390 0 0 0 0 0 0 0 
_2.ptx 874 : 12288 78688 0 0 0 0 0 0 0 
_3.ptx 1284 : 225280 1359989 0 0 0 0 0 0 0 
_2.ptx 875 : 12288 91168 0 0 0 0 0 0 0 
_2.ptx 876 : 12288 102368 0 0 0 0 0 0 0 
_2.ptx 877 : 12288 83360 0 0 0 0 0 0 0 
_3.ptx 1290 : 56320 339769 0 0 0 0 0 0 0 
_2.ptx 881 : 12288 77472 0 0 0 0 0 0 0 
_3.ptx 1291 : 56320 454261 0 0 0 0 0 0 0 
_3.ptx 1292 : 56320 0 0 0 0 0 0 0 0 
_2.ptx 883 : 12288 77760 0 0 0 0 0 0 0 
_2.ptx 884 : 12288 141472 0 0 0 0 0 0 0 
_3.ptx 1294 : 56320 567636 0 0 0 0 0 0 0 
_2.ptx 885 : 12288 85472 0 0 0 0 0 0 0 
_2.ptx 886 : 12288 98496 0 0 0 0 0 0 0 
_3.ptx 1295 : 56320 341991 0 0 0 0 0 0 0 
_2.ptx 887 : 12288 148704 0 0 0 0 0 0 0 
_3.ptx 1296 : 56320 344665 0 0 0 0 0 0 0 
_2.ptx 888 : 12288 95936 0 0 0 0 0 0 0 
_2.ptx 889 : 12288 139840 0 0 0 0 0 0 0 
_2.ptx 890 : 12288 91552 0 0 0 0 0 0 0 
_2.ptx 891 : 12288 137888 0 0 0 0 0 0 0 
_2.ptx 892 : 12288 135840 0 0 0 0 0 0 0 
_2.ptx 893 : 12288 37792 0 0 0 0 0 0 0 
_2.ptx 894 : 12288 136704 0 0 0 0 0 0 0 
_3.ptx 1303 : 90112 542457 0 0 0 0 0 0 0 
_2.ptx 895 : 12288 4452928 49152 0 0 384 384 0 0 
_3.ptx 1304 : 90112 543423 0 0 0 0 0 0 0 
_2.ptx 896 : 12288 80832 0 768 384 0 0 0 0 
_3.ptx 1305 : 90112 542394 0 0 0 0 0 0 0 
_3.ptx 1306 : 90112 725964 0 0 0 0 0 0 0 
_2.ptx 898 : 12288 136416 0 0 0 0 0 0 0 
_3.ptx 1307 : 90112 814634 0 0 0 0 0 0 0 
_2.ptx 899 : 12288 137408 0 0 0 0 0 0 0 
_3.ptx 1308 : 90112 544172 0 0 0 0 0 0 0 
_2.ptx 900 : 12288 91712 0 0 0 0 0 0 0 
_2.ptx 901 : 12288 135872 0 0 0 0 0 0 0 
_2.ptx 902 : 12288 92576 0 0 0 0 0 0 0 
_3.ptx 1311 : 112640 794537 0 0 0 0 0 0 0 
