kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 995 : 135936 1125248 0 0 0 0 0 0 0 
_2.ptx 996 : 135936 674730 0 0 0 0 0 0 295 
_2.ptx 998 : 30149 197592 0 0 0 0 0 0 0 
_2.ptx 999 : 30149 250467 0 0 0 0 0 0 0 
_2.ptx 1000 : 30149 251908 0 0 0 0 0 0 0 
_2.ptx 1001 : 30149 340237 0 0 0 0 0 0 0 
_2.ptx 1002 : 30149 313828 0 0 0 0 0 0 0 
_2.ptx 1003 : 30149 225456 0 0 0 0 0 0 0 
_2.ptx 1004 : 30149 339155 0 0 0 0 0 0 0 
_2.ptx 1005 : 30149 226311 0 0 0 0 0 0 0 
_2.ptx 1006 : 30149 324376 0 0 0 0 0 0 0 
_2.ptx 1007 : 30149 338609 0 0 0 0 0 0 0 
_2.ptx 1008 : 30149 298280 0 2006 1180 0 0 0 0 
_2.ptx 1010 : 30149 338505 0 0 0 0 0 0 0 
_2.ptx 1011 : 30149 312502 0 0 0 0 0 0 0 
_2.ptx 1012 : 30149 226525 0 0 0 0 0 0 0 
_2.ptx 1013 : 30149 338533 0 0 0 0 0 0 0 
_2.ptx 1014 : 30149 226139 0 0 0 0 0 0 0 
_2.ptx 1015 : 30149 317508 0 0 0 0 0 0 0 
_2.ptx 1016 : 30149 338041 0 0 0 0 0 0 0 
_2.ptx 1017 : 30149 303016 0 2006 1180 0 0 0 0 
_2.ptx 1018 : 30149 204536 0 2006 1180 0 0 0 0 
_2.ptx 1020 : 30149 322428 0 2006 1180 0 0 0 0 
_2.ptx 1021 : 30149 337297 0 0 0 0 0 0 0 
_2.ptx 1022 : 30149 205080 0 2006 1180 0 0 0 0 
_2.ptx 1025 : 135936 1448800 0 0 0 0 0 0 0 
_2.ptx 1026 : 135936 1120896 0 0 0 0 0 0 0 
_2.ptx 1027 : 135936 775456 0 0 0 0 0 0 0 
_3.ptx 1028 : 30208 190560 0 0 0 0 0 0 0 
_3.ptx 1029 : 30208 194624 0 0 0 0 0 0 0 
_2.ptx 1030 : 15104 95200 0 0 0 0 0 0 0 
_3.ptx 1030 : 30208 405536 0 0 0 0 0 0 0 
_3.ptx 1031 : 30208 198208 0 0 0 0 0 0 0 
_2.ptx 1032 : 15104 82560 0 0 0 0 0 0 0 
_3.ptx 1032 : 30208 344448 0 0 0 0 0 0 0 
_2.ptx 1033 : 15104 175808 0 944 472 0 0 0 0 
_3.ptx 1033 : 30208 206464 0 0 0 0 0 0 0 
_2.ptx 1034 : 15104 167744 0 0 0 0 0 0 0 
_3.ptx 1034 : 30208 405120 0 0 0 0 0 0 0 
_2.ptx 1035 : 15104 183712 60416 0 0 472 472 0 0 
_3.ptx 1035 : 30208 200384 0 0 0 0 0 0 0 
_3.ptx 1036 : 30208 340512 0 0 0 0 0 0 0 
_2.ptx 1037 : 15104 212384 0 944 472 0 0 0 0 
_3.ptx 1037 : 30208 2302144 128 0 0 0 0 0 0 
_2.ptx 1038 : 15104 167648 0 0 0 0 0 0 0 
_3.ptx 1038 : 30208 1937184 0 0 0 0 0 0 0 
_2.ptx 1039 : 15104 196256 60416 0 0 472 472 0 0 
_3.ptx 1039 : 30208 400032 0 0 0 0 0 0 0 
_3.ptx 1040 : 30208 250208 0 0 0 0 0 0 0 
_2.ptx 1041 : 15104 93152 0 0 0 0 0 0 0 
_3.ptx 1041 : 30208 191120 0 0 0 0 0 0 1 
_3.ptx 1042 : 208 1408 0 0 0 0 0 0 0 
_3.ptx 1045 : 30000 415120 0 0 0 0 0 0 0 
_3.ptx 1046 : 30000 440800 0 0 0 0 0 0 0 
_3.ptx 1047 : 30000 191264 0 0 0 0 0 0 0 
_3.ptx 1048 : 30000 335600 0 0 0 0 0 0 0 
_3.ptx 1049 : 30000 224032 0 0 0 0 0 0 0 
_3.ptx 1050 : 30000 426672 0 0 0 0 0 0 0 
_3.ptx 1051 : 30000 308736 0 0 0 0 0 0 0 
_3.ptx 1052 : 30000 428192 0 0 0 0 0 0 0 
_3.ptx 1053 : 30000 251680 0 0 0 0 0 0 0 
_3.ptx 1054 : 30000 278672 0 0 0 0 0 0 0 
_3.ptx 1055 : 30000 251472 0 0 0 0 0 0 0 
_3.ptx 1056 : 30000 0 0 0 0 0 0 0 0 
_3.ptx 1057 : 30000 224768 0 0 0 0 0 0 0 
_3.ptx 1058 : 30000 338688 0 0 0 0 0 0 0 
_3.ptx 1059 : 30000 144528 0 0 0 0 0 0 0 
_3.ptx 1060 : 30000 337744 0 0 0 0 0 0 0 
_3.ptx 1061 : 30000 128688 0 0 0 0 0 0 0 
_3.ptx 1062 : 30000 337072 0 0 0 0 0 0 0 
_3.ptx 1063 : 30000 132864 0 0 0 0 0 0 0 
_3.ptx 1064 : 30000 336368 0 0 0 0 0 0 0 
_2.ptx 869 : 15104 99968 0 0 0 0 0 0 0 
_3.ptx 1068 : 30000 10324928 120064 0 0 938 938 0 0 
_2.ptx 870 : 15104 45408 0 0 0 0 0 0 0 
_3.ptx 1069 : 30000 301728 0 0 0 0 0 0 0 
_2.ptx 871 : 15104 95808 0 0 0 0 0 0 0 
_3.ptx 1070 : 30000 675264 0 0 0 938 938 0 0 
_2.ptx 872 : 15104 126048 0 0 0 0 0 0 0 
_3.ptx 1072 : 30000 12231648 120064 0 0 938 938 0 0 
_2.ptx 873 : 15104 0 0 0 0 0 0 0 0 
_3.ptx 1073 : 30000 300480 0 0 0 0 0 0 0 
_2.ptx 874 : 15104 103648 0 0 0 0 0 0 0 
_3.ptx 1074 : 30000 848496 0 0 0 938 938 0 0 
_2.ptx 875 : 15104 114336 0 0 0 0 0 0 0 
_2.ptx 876 : 15104 125376 0 0 0 0 0 0 0 
_3.ptx 1076 : 30000 12093184 120064 0 0 938 938 0 0 
_2.ptx 877 : 15104 98240 0 0 0 0 0 0 0 
_3.ptx 1077 : 30000 301024 0 0 0 0 0 0 0 
_3.ptx 1078 : 30000 577008 0 0 0 938 938 0 0 
_3.ptx 1080 : 30000 330896 0 0 0 0 0 0 0 
_2.ptx 881 : 15104 95680 0 0 0 0 0 0 0 
_3.ptx 1081 : 30000 240896 0 0 0 0 0 0 0 
_3.ptx 1082 : 30000 0 0 0 0 0 0 0 0 
_2.ptx 883 : 15104 95872 0 0 0 0 0 0 0 
_2.ptx 884 : 15104 174912 0 0 0 0 0 0 0 
_2.ptx 885 : 15104 105056 0 0 0 0 0 0 0 
_3.ptx 1085 : 30208 181728 0 0 0 0 0 0 0 
_2.ptx 886 : 15104 123456 0 0 0 0 0 0 0 
_2.ptx 887 : 15104 179520 0 0 0 0 0 0 0 
_2.ptx 888 : 15104 115904 0 0 0 0 0 0 0 
_2.ptx 889 : 15104 169728 0 0 0 0 0 0 0 
_2.ptx 890 : 15104 111296 0 0 0 0 0 0 0 
_2.ptx 891 : 15104 165056 0 0 0 0 0 0 0 
_2.ptx 892 : 15104 168608 0 0 0 0 0 0 0 
_2.ptx 893 : 15104 46976 0 0 0 0 0 0 0 
_2.ptx 894 : 15104 168576 0 0 0 0 0 0 0 
_2.ptx 895 : 15104 3211648 0 0 0 472 472 0 0 
_2.ptx 896 : 15104 94528 0 944 472 0 0 0 0 
_2.ptx 898 : 15104 168352 0 0 0 0 0 0 0 
_2.ptx 899 : 15104 169088 0 0 0 0 0 0 0 
_2.ptx 900 : 15104 112704 0 0 0 0 0 0 0 
_2.ptx 901 : 15104 159072 0 0 0 0 0 0 0 
_2.ptx 902 : 15104 113056 0 0 0 0 0 0 0 
_2.ptx 903 : 15104 168416 0 0 0 0 0 0 0 
_2.ptx 904 : 15104 111616 0 0 0 0 0 0 0 
_2.ptx 905 : 15104 159392 0 0 0 0 0 0 0 
_2.ptx 906 : 15104 168544 0 0 0 0 0 0 0 
_2.ptx 907 : 15104 169472 0 0 0 0 0 0 0 
_2.ptx 908 : 15104 4327744 768 0 0 472 472 0 0 
_2.ptx 909 : 15104 97632 0 944 472 0 0 0 0 
_2.ptx 911 : 15104 93088 0 0 0 0 0 0 0 
_2.ptx 912 : 15104 110112 0 0 0 0 0 0 0 
_2.ptx 913 : 15104 95648 0 0 0 0 0 0 0 
_2.ptx 914 : 15104 123648 0 0 0 0 0 0 0 
_2.ptx 915 : 15104 0 0 0 0 0 0 0 0 
_2.ptx 916 : 15104 98848 0 0 0 0 0 0 0 
_2.ptx 919 : 135936 884704 0 0 0 0 0 0 0 
_2.ptx 920 : 135936 1133408 0 0 0 0 0 0 0 
_2.ptx 921 : 135936 688813 0 0 0 0 0 0 295 
_2.ptx 923 : 30149 206503 0 0 0 0 0 0 0 
_2.ptx 924 : 30149 257415 0 0 0 0 0 0 0 
_2.ptx 925 : 30149 263675 0 0 0 0 0 0 0 
_2.ptx 926 : 30149 346368 0 0 0 0 0 0 0 
_2.ptx 927 : 30149 344596 0 0 0 0 0 0 0 
_2.ptx 928 : 30149 321740 0 0 0 0 0 0 0 
_2.ptx 929 : 30149 235591 0 0 0 0 0 0 0 
_2.ptx 930 : 30149 343659 0 0 0 0 0 0 0 
_2.ptx 931 : 30149 231266 0 0 0 0 0 0 0 
_2.ptx 932 : 30149 326214 0 0 0 0 0 0 0 
_2.ptx 933 : 30149 341233 0 0 0 0 0 0 0 
_2.ptx 934 : 30149 298792 0 2006 1180 0 0 0 0 
_2.ptx 935 : 30149 313701 0 0 0 0 0 0 0 
_2.ptx 936 : 30149 229882 0 0 0 0 0 0 0 
_2.ptx 937 : 30149 341000 0 0 0 0 0 0 0 
_2.ptx 938 : 30149 228192 0 0 0 0 0 0 0 
_2.ptx 939 : 30149 334216 0 0 0 0 0 0 0 
_2.ptx 940 : 30149 340357 0 0 0 0 0 0 0 
_2.ptx 941 : 30149 288201 0 2006 1180 0 0 0 0 
_2.ptx 942 : 30149 341280 0 0 0 0 0 0 0 
_2.ptx 943 : 30149 198822 0 2006 1180 0 0 0 0 
_2.ptx 946 : 135936 1448480 0 0 0 0 0 0 0 
_2.ptx 948 : 135936 1033536 0 0 0 0 0 0 0 
_2.ptx 949 : 135936 934816 0 0 0 0 0 0 0 
_2.ptx 950 : 135936 1138752 0 0 0 0 0 0 0 
_2.ptx 951 : 135936 791648 0 0 0 0 0 0 0 
_2.ptx 952 : 15104 97824 0 0 0 0 0 0 0 
_2.ptx 957 : 15104 95008 0 0 0 0 0 0 0 
_2.ptx 958 : 15104 124000 0 0 0 0 0 0 0 
_2.ptx 959 : 15104 95871 0 0 0 0 0 0 59 
_2.ptx 961 : 59 440 0 0 0 0 0 0 0 
_2.ptx 962 : 59 609 0 0 0 0 0 0 0 
_2.ptx 963 : 59 437 0 0 0 0 0 0 0 
_2.ptx 964 : 59 657 0 0 0 0 0 0 0 
_2.ptx 965 : 59 439 0 0 0 0 0 0 0 
_2.ptx 966 : 59 615 0 0 0 0 0 0 0 
_2.ptx 967 : 59 658 0 0 0 0 0 0 0 
_2.ptx 968 : 59 177 0 0 0 0 0 0 0 
_2.ptx 969 : 59 483 0 59 59 0 0 0 0 
_2.ptx 970 : 59 179 0 0 0 0 0 0 0 
_2.ptx 971 : 59 380 0 0 0 0 0 0 0 
_2.ptx 972 : 59 372 0 0 0 0 0 0 0 
_2.ptx 973 : 59 484 0 0 0 0 0 0 0 
_2.ptx 974 : 59 540 0 0 0 0 0 0 0 
_2.ptx 975 : 59 435 0 0 0 0 0 0 0 
_2.ptx 976 : 59 618 0 0 0 0 0 0 0 
_2.ptx 977 : 59 662 0 0 0 0 0 0 0 
_2.ptx 978 : 59 306 128 0 0 59 59 0 0 
_2.ptx 980 : 59 369 0 0 0 0 0 0 0 
_2.ptx 981 : 59 302 0 59 59 0 0 0 0 
_2.ptx 984 : 15104 111584 0 0 0 0 0 0 0 
_2.ptx 985 : 15104 98656 0 0 0 0 0 0 0 
_2.ptx 986 : 15104 125600 0 0 0 0 0 0 0 
_2.ptx 987 : 15104 0 0 0 0 0 0 0 0 
_2.ptx 988 : 15104 97472 0 0 0 0 0 0 0 
_2.ptx 992 : 135936 1015232 0 0 0 0 0 0 0 
_2.ptx 994 : 135936 893536 0 0 0 0 0 0 0 
