kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 995 : 4718592 39366624 0 0 0 0 0 0 0 
_2.ptx 996 : 4718592 23978275 0 0 0 0 0 0 10240 
_2.ptx 998 : 1046528 6902898 0 0 0 0 0 0 0 
_2.ptx 999 : 1046528 8735013 0 0 0 0 0 0 0 
_2.ptx 1000 : 1046528 8745986 0 0 0 0 0 0 0 
_2.ptx 1001 : 1046528 11840641 0 0 0 0 0 0 0 
_2.ptx 1002 : 1046528 10987414 0 0 0 0 0 0 0 
_2.ptx 1003 : 1046528 7928324 0 0 0 0 0 0 0 
_2.ptx 1004 : 1046528 11815266 0 0 0 0 0 0 0 
_2.ptx 1005 : 1046528 7910591 0 0 0 0 0 0 0 
_2.ptx 1006 : 1046528 11135061 0 0 0 0 0 0 0 
_2.ptx 1007 : 1046528 11810480 0 0 0 0 0 0 0 
_2.ptx 1008 : 1046528 10071834 0 69632 40960 0 0 0 0 
_2.ptx 1010 : 1046528 11793519 0 0 0 0 0 0 0 
_2.ptx 1011 : 1046528 10950040 0 0 0 0 0 0 0 
_2.ptx 1012 : 1046528 7937156 0 0 0 0 0 0 0 
_2.ptx 1013 : 1046528 11815716 0 0 0 0 0 0 0 
_2.ptx 1014 : 1046528 7919986 0 0 0 0 0 0 0 
_2.ptx 1015 : 1046528 11095441 0 0 0 0 0 0 0 
_2.ptx 1016 : 1046528 11796472 0 0 0 0 0 0 0 
_2.ptx 1017 : 1046528 10222864 0 69632 40960 0 0 0 0 
_2.ptx 1018 : 1046528 6986483 0 69632 40960 0 0 0 0 
_2.ptx 1020 : 1046528 10863717 0 69632 40960 0 0 0 0 
_2.ptx 1021 : 1046528 11779474 0 0 0 0 0 0 0 
_2.ptx 1022 : 1046528 6849658 0 69632 40960 0 0 0 0 
_2.ptx 1025 : 4718592 49934976 0 0 0 0 0 0 0 
_2.ptx 1026 : 4718592 39279328 0 0 0 0 0 0 0 
_2.ptx 1027 : 4718592 27453984 0 0 0 0 0 0 0 
