kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1792 : 355762 2149419 0 0 0 0 0 0 0 
_1.ptx 1795 : 2097152 14922176 0 0 0 0 0 0 0 
_1.ptx 1798 : 4194304 26191584 0 0 0 0 0 0 0 
_1.ptx 1799 : 4194304 34136608 0 0 0 0 0 0 0 
_1.ptx 1800 : 4194304 22586993 0 0 0 0 0 0 54137 
_1.ptx 1802 : 560438 3378288 0 0 0 0 0 0 0 
_1.ptx 1803 : 560438 10170106 1408 0 0 0 0 0 0 
_1.ptx 1804 : 560438 8712268 6016 0 0 54137 54137 0 0 
_1.ptx 1806 : 4194304 43247648 0 0 0 0 0 0 0 
_1.ptx 1807 : 4194304 34152704 0 0 0 0 0 0 0 
_1.ptx 1808 : 4194304 12996288 0 0 0 0 0 0 0 
_1.ptx 1811 : 2097152 13020384 0 0 0 0 0 0 0 
_1.ptx 1628 : 2097152 13091136 0 0 0 0 0 0 0 
_1.ptx 1629 : 2097152 13158336 0 0 0 0 0 0 0 
_1.ptx 1630 : 2097152 37678592 0 0 0 0 0 0 0 
_1.ptx 1631 : 2097152 12989216 0 0 0 0 0 0 0 
_1.ptx 1632 : 2097152 371266016 0 0 0 0 0 0 0 
_1.ptx 1633 : 2097152 13032416 0 0 0 0 0 0 0 
_1.ptx 1634 : 2097152 23317344 0 0 0 0 0 0 0 
_1.ptx 1635 : 2097152 24808224 0 0 0 0 0 0 0 
_1.ptx 1636 : 2097152 15293792 0 0 0 0 0 0 0 
_1.ptx 1637 : 2097152 21484448 0 0 0 0 0 0 0 
_1.ptx 1638 : 2097152 25554240 0 0 0 0 0 0 0 
_1.ptx 1639 : 2097152 17293856 0 0 0 0 0 0 0 
_1.ptx 1640 : 2097152 0 0 0 0 0 0 0 0 
_1.ptx 1641 : 2097152 15438496 0 0 0 0 0 0 0 
_1.ptx 1642 : 2097152 13341984 0 0 0 0 0 0 0 
_1.ptx 1643 : 2097152 13341664 0 0 0 0 0 0 0 
_1.ptx 1644 : 2097152 15479904 0 0 0 0 0 0 0 
_1.ptx 1447 : 1048576 6488096 0 0 0 0 0 0 0 
_1.ptx 1448 : 1048576 6464384 0 0 0 0 0 0 0 
_1.ptx 1648 : 4194304 34384960 0 0 0 0 0 0 0 
_1.ptx 1449 : 1048576 15444512 0 0 0 0 0 0 0 
_1.ptx 1450 : 1048576 6413152 0 0 0 0 0 0 0 
_1.ptx 1649 : 4194304 13049184 0 0 0 0 0 0 0 
_1.ptx 1451 : 1048576 11705344 0 0 0 0 0 0 0 
_1.ptx 1651 : 2097152 13469824 0 0 0 0 0 0 0 
_1.ptx 1452 : 1048576 12361504 128 0 0 0 0 0 0 
