kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 413 : 15360 46080 0 0 0 0 0 0 0 
_1.ptx 414 : 15360 178976 0 0 0 0 0 0 0 
_1.ptx 415 : 15360 94720 0 0 0 0 0 0 0 
_1.ptx 416 : 15360 95392 0 0 0 0 0 0 0 
_1.ptx 417 : 15360 226784 0 0 0 0 0 0 0 
_1.ptx 418 : 15360 95328 0 0 0 0 0 0 0 
_1.ptx 419 : 15360 220352 0 0 0 0 0 0 0 
_1.ptx 420 : 15360 111744 0 0 0 0 0 0 0 
_1.ptx 421 : 15360 100416 0 0 0 0 0 0 0 
_1.ptx 422 : 15360 172096 0 0 0 0 0 0 0 
_1.ptx 423 : 15360 171008 0 0 0 0 0 0 0 
_1.ptx 424 : 15360 128960 0 0 0 0 0 0 0 
_1.ptx 425 : 15360 174912 0 0 0 0 0 0 0 
_1.ptx 426 : 15360 142048 0 0 0 0 0 0 0 
_1.ptx 427 : 15360 111904 0 0 0 0 0 0 0 
_1.ptx 428 : 15360 162720 0 0 0 0 0 0 0 
_1.ptx 429 : 15360 169088 0 0 0 0 0 0 0 
_1.ptx 430 : 15360 125536 0 0 0 0 0 0 0 
_1.ptx 431 : 15360 0 0 0 0 0 0 0 0 
_1.ptx 432 : 15360 112192 0 0 0 0 0 0 0 
_1.ptx 433 : 15360 174560 0 0 0 0 0 0 0 
_1.ptx 434 : 15360 462944 0 0 0 0 0 0 0 
_1.ptx 435 : 15360 110432 0 0 0 0 0 0 0 
_1.ptx 436 : 15360 174976 0 0 0 0 0 0 0 
_1.ptx 437 : 15360 172640 0 0 0 0 0 0 0 
_1.ptx 441 : 399992 2430056 0 0 0 0 0 0 0 
_1.ptx 442 : 399992 39942072 1599872 0 0 12500 12500 0 0 
_1.ptx 444 : 399992 4420296 0 0 0 0 0 0 0 
_1.ptx 445 : 399992 4425000 0 0 0 0 0 0 0 
_1.ptx 446 : 399992 3220064 0 0 0 0 0 0 0 
_1.ptx 447 : 399992 2338928 0 0 0 0 0 0 1 
_1.ptx 450 : 15360 92864 0 0 0 0 0 0 0 
_1.ptx 62 : 1 6 0 0 0 0 0 0 0 
