kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1227 : 1737183 14054524 0 0 0 0 0 0 0 
_1.ptx 1228 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1230 : 1737183 10622244 0 0 0 0 0 0 0 
_1.ptx 1231 : 1737183 14043957 0 0 0 0 0 0 0 
_1.ptx 1232 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1233 : 1737183 57597824 0 0 0 0 0 0 0 
_1.ptx 1234 : 1737183 19269743 0 0 0 0 0 0 0 
_1.ptx 1235 : 1737183 559496141 7424 0 0 117803 117803 0 0 
_1.ptx 1236 : 1737183 14050873 0 0 0 0 0 0 0 
_1.ptx 1237 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1239 : 1737183 59193629 0 0 0 0 0 0 0 
_1.ptx 1240 : 1737183 12453616 0 0 0 0 0 0 0 
_1.ptx 1241 : 1737183 17656710 0 0 0 0 0 0 0 
_1.ptx 1242 : 1737183 19252533 0 0 0 0 0 0 0 
_1.ptx 1243 : 1737183 563456233 9600 0 0 117803 117803 0 0 
_1.ptx 1244 : 1737183 10610032 0 0 0 0 0 0 0 
_1.ptx 1264 : 1737183 19241112 0 0 0 0 0 0 0 
_1.ptx 1265 : 1737183 66658707 0 0 0 0 0 0 0 
_1.ptx 1266 : 1737183 17664943 0 0 0 0 0 0 0 
_1.ptx 1267 : 1737183 14116598 0 0 0 0 0 0 0 
_1.ptx 1268 : 1737183 12459418 0 0 0 0 0 0 0 
_1.ptx 1269 : 1737183 12429360 0 0 0 0 0 0 0 
_1.ptx 1270 : 1737183 14158460 0 0 0 0 0 0 0 
_1.ptx 1271 : 1737183 12382797 0 0 0 0 0 0 0 
_1.ptx 1272 : 1737183 14078635 0 0 0 0 0 0 0 
_1.ptx 1273 : 1737183 10658893 0 0 0 0 0 0 0 
_1.ptx 1274 : 1737183 14017793 0 0 0 0 0 0 0 
_1.ptx 1275 : 1737183 0 0 0 0 0 0 0 0 
_1.ptx 1277 : 1737183 73235673 0 0 0 0 0 0 0 
_1.ptx 1278 : 1737183 12405057 0 0 0 0 0 0 0 
_1.ptx 1279 : 1737183 17827879 0 0 0 0 0 0 0 
_1.ptx 1280 : 1737183 19276386 0 0 0 0 0 0 0 
_1.ptx 1281 : 1737183 922545964 11167104 0 0 339151 117803 0 0 
_1.ptx 1282 : 1737183 10629867 0 0 0 0 0 0 0 
