kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1393 : 4200000 25217856 0 0 0 0 0 0 0 
_1.ptx 1398 : 448 2688 0 0 0 0 0 0 0 
_1.ptx 1400 : 4200448 25217856 0 0 0 0 0 0 0 
_1.ptx 1401 : 4200448 33633248 0 0 0 0 0 0 0 
_1.ptx 1402 : 4200448 2784 0 0 0 0 0 0 0 
_1.ptx 1404 : 4200000 25224640 0 0 0 0 0 0 0 
_1.ptx 1405 : 4200000 1547590848 0 0 0 0 0 0 0 
_1.ptx 1406 : 4200000 1340569920 69920 0 0 131250 131250 0 0 
_1.ptx 1010 : 1000448 6206976 0 0 0 0 0 0 0 
_1.ptx 1409 : 4200448 25244192 0 0 0 0 0 0 0 
_1.ptx 1011 : 1000448 6238944 0 0 0 0 0 0 0 
_1.ptx 1012 : 1000448 12954304 0 0 0 0 0 0 0 
_1.ptx 1013 : 1000448 6211968 0 0 0 0 0 0 0 
_1.ptx 1014 : 1000448 11159552 0 0 0 0 0 0 0 
_1.ptx 1015 : 1000448 18743488 128 0 0 0 0 0 0 
_1.ptx 1016 : 1000448 8200736 0 0 0 0 0 0 0 
_1.ptx 1017 : 1000448 2880 0 0 0 0 0 0 0 
_1.ptx 1019 : 1000000 7319136 0 0 0 0 0 0 0 
_1.ptx 1020 : 1000000 10810528 0 0 0 0 0 0 0 
_1.ptx 1021 : 1000000 6358112 0 0 0 0 0 0 0 
_1.ptx 1022 : 1000000 23150816 0 0 0 0 0 0 0 
_1.ptx 1023 : 1000000 11104768 0 0 0 0 0 0 0 
_1.ptx 1024 : 1000000 51575296 4000000 0 0 31250 31250 0 0 
_1.ptx 1025 : 1000000 6121248 0 0 0 0 0 0 0 
_1.ptx 1026 : 1000000 37697664 0 0 0 0 0 0 0 
_1.ptx 1027 : 1000000 11067264 0 0 0 0 0 0 0 
_1.ptx 1028 : 1000000 61284512 4000000 0 0 31250 31250 0 0 
_1.ptx 1029 : 1000000 6067008 0 0 0 0 0 0 0 
_1.ptx 1030 : 1000000 43859392 0 0 0 0 0 0 0 
_1.ptx 1031 : 1000000 11057056 0 0 0 0 0 0 0 
_1.ptx 1032 : 1000000 66295616 4000000 0 0 31250 31250 0 0 
_1.ptx 1232 : 4200448 25673440 0 0 0 0 0 0 0 
_1.ptx 1233 : 4200448 25888096 0 0 0 0 0 0 0 
_1.ptx 1234 : 4200448 69286176 0 0 0 0 0 0 0 
_1.ptx 1035 : 1000448 6058400 0 0 0 0 0 0 0 
_1.ptx 1235 : 4200448 479276096 0 0 0 0 0 0 0 
_1.ptx 1236 : 4200448 67222688 0 0 0 0 0 0 0 
_1.ptx 1237 : 4200448 26580032 0 0 0 0 0 0 0 
_1.ptx 1238 : 4200448 47030912 0 0 0 0 0 0 0 
_1.ptx 1239 : 4200448 364867232 0 0 0 0 0 0 0 
_1.ptx 1240 : 4200448 46747232 0 0 0 0 0 0 0 
_1.ptx 1241 : 4200448 42876096 0 0 0 0 0 0 0 
_1.ptx 1242 : 4200448 699034272 0 0 0 0 0 0 0 
_1.ptx 1243 : 4200448 649932256 0 0 0 0 0 0 0 
_1.ptx 1244 : 4200448 51172160 0 0 0 0 0 0 0 
_1.ptx 1245 : 4200448 34136224 0 0 0 0 0 0 0 
_1.ptx 1246 : 4200448 2720 0 0 0 0 0 0 0 
_1.ptx 1247 : 4200000 26349952 0 0 0 0 0 0 0 
_1.ptx 1248 : 4200000 34263808 0 0 0 0 0 0 0 
_1.ptx 1249 : 4200000 0 0 0 0 0 0 0 0 
_1.ptx 1250 : 4200000 30391744 0 0 0 0 0 0 0 
_1.ptx 1251 : 4200000 46752480 0 0 0 0 0 0 0 
_1.ptx 1252 : 4200000 48496608 0 0 0 0 0 0 0 
_1.ptx 1253 : 4200000 49255744 0 0 0 0 0 0 0 
_1.ptx 1254 : 4200000 601201440 128 0 0 0 0 0 0 
_1.ptx 1255 : 4200000 671209568 0 0 0 0 0 0 0 
_1.ptx 1256 : 4200000 26266400 0 0 0 0 0 0 0 
_1.ptx 1257 : 4200000 30727584 0 0 0 0 0 0 0 
_1.ptx 1260 : 4200000 30939328 0 0 0 0 0 0 0 
_1.ptx 1261 : 4200000 43434848 0 0 0 0 0 0 0 
_1.ptx 1265 : 12600000 90572192 0 0 0 0 0 0 0 
_1.ptx 1266 : 12600000 159078976 0 0 0 0 0 0 0 
_1.ptx 1267 : 12600000 139173312 0 0 0 0 0 0 0 
_1.ptx 1268 : 12600000 13033143936 151106048 0 0 1181250 393750 0 0 
_1.ptx 1269 : 12600000 88655328 0 0 0 0 0 0 0 
_1.ptx 1270 : 12600000 138845536 0 0 0 0 0 0 0 
_1.ptx 1271 : 12600000 22025667232 1405443712 0 0 12593783 393750 0 0 
_1.ptx 1272 : 12600000 75749472 0 0 0 0 0 0 0 
_1.ptx 1273 : 12600000 101092000 0 0 0 0 0 0 0 
_1.ptx 1274 : 12600000 0 0 0 0 0 0 0 0 
_1.ptx 1276 : 12600000 5933101312 0 0 0 0 0 0 0 
_1.ptx 1277 : 12600000 138970144 0 0 0 0 0 0 0 
_1.ptx 1278 : 12600000 13177573376 151101696 0 0 1181250 393750 0 0 
_1.ptx 1279 : 12600000 101115840 0 0 0 0 0 0 0 
_1.ptx 1280 : 12600000 25379904 0 0 0 0 0 0 0 
_1.ptx 1282 : 8400000 59003872 0 0 0 0 0 0 0 
_1.ptx 1283 : 8400000 104827008 0 0 0 0 0 0 0 
_1.ptx 1284 : 8400000 3460324800 0 0 0 0 0 0 0 
_1.ptx 1285 : 8400000 92506240 0 0 0 0 0 0 0 
_1.ptx 1286 : 8400000 7974637984 63984640 0 0 787500 262500 0 0 
_1.ptx 1287 : 8400000 59038304 0 0 0 0 0 0 0 
_1.ptx 1288 : 8400000 110389312 0 0 0 0 0 0 0 
_1.ptx 1289 : 8400000 92516992 0 0 0 0 0 0 0 
_1.ptx 1290 : 8400000 14717943584 1008016640 0 0 8395856 262500 0 0 
_1.ptx 1291 : 8400000 92526336 0 0 0 0 0 0 0 
_1.ptx 1292 : 8400000 9390702400 40191104 0 0 787500 262500 0 0 
_1.ptx 1293 : 8400000 422961344 0 0 0 0 0 0 0 
_1.ptx 1294 : 8400000 50490688 0 0 0 0 0 0 0 
_1.ptx 1296 : 4200000 25369984 0 0 0 0 0 0 0 
_1.ptx 1298 : 12600000 126374496 0 0 0 0 0 0 0 
_1.ptx 1299 : 12600000 101007296 0 0 0 0 0 0 0 
_1.ptx 1300 : 12600000 25224576 0 0 0 0 0 0 0 
_1.ptx 1301 : 8400000 58951296 0 0 0 0 0 0 0 
_1.ptx 1302 : 8400000 134617376 0 0 0 0 0 0 0 
_1.ptx 1303 : 8400000 3424640864 0 0 0 0 0 0 0 
_1.ptx 1304 : 8400000 92605696 0 0 0 0 0 0 0 
_1.ptx 1305 : 8400000 8003916320 69514752 0 0 787500 262500 0 0 
_1.ptx 1306 : 8400000 59151328 0 0 0 0 0 0 0 
_1.ptx 1307 : 8400000 136210016 0 0 0 0 0 0 0 
_1.ptx 1308 : 8400000 92543200 0 0 0 0 0 0 0 
_1.ptx 1309 : 8400000 14724598752 1006566528 0 0 8395738 262500 0 0 
_1.ptx 1310 : 8400000 92573952 0 0 0 0 0 0 0 
_1.ptx 1311 : 8400000 9861942720 59971328 0 0 787500 262500 0 0 
_1.ptx 1312 : 8400000 434613056 0 0 0 0 0 0 0 
_1.ptx 1313 : 8400000 92540864 0 0 0 0 0 0 0 
_1.ptx 1315 : 12600000 126197280 0 0 0 0 0 0 0 
_1.ptx 1316 : 12600000 100924576 0 0 0 0 0 0 0 
_1.ptx 1317 : 12600000 25223936 0 0 0 0 0 0 0 
_1.ptx 1318 : 8400000 58893984 0 0 0 0 0 0 0 
_1.ptx 1319 : 8400000 134102848 0 0 0 0 0 0 0 
_1.ptx 1320 : 8400000 4044589952 0 0 0 0 0 0 0 
_1.ptx 1321 : 8400000 92505376 0 0 0 0 0 0 0 
_1.ptx 1322 : 8400000 8451772160 67970560 0 0 787500 262500 0 0 
_1.ptx 1323 : 8400000 59066688 0 0 0 0 0 0 0 
_1.ptx 1324 : 8400000 146936576 0 0 0 0 0 0 0 
_1.ptx 1325 : 8400000 92550016 0 0 0 0 0 0 0 
_1.ptx 1326 : 8400000 14687996832 1004838656 0 0 8395972 262500 0 0 
_1.ptx 1327 : 8400000 92543008 0 0 0 0 0 0 0 
_1.ptx 1328 : 8400000 10231485792 65691008 0 0 787500 262500 0 0 
_1.ptx 1329 : 8400000 462154496 0 0 0 0 0 0 0 
_1.ptx 1330 : 8400000 92536768 0 0 0 0 0 0 0 
_1.ptx 1332 : 12600000 138842688 0 0 0 0 0 0 0 
_1.ptx 1333 : 12600000 88450784 0 0 0 0 0 0 0 
_1.ptx 1334 : 12600000 88538368 0 0 0 0 0 0 0 
_1.ptx 1335 : 12600000 76101952 0 0 0 0 0 0 0 
_1.ptx 1336 : 12600000 100956192 0 0 0 0 0 0 0 
_1.ptx 1337 : 12600000 398725 0 0 0 0 0 0 59739 
_1.ptx 1339 : 12533621 6625504045 28794752 0 0 1181250 393750 0 0 
_1.ptx 1341 : 12533621 75364031 0 0 0 0 0 0 0 
_1.ptx 1342 : 12533621 88381387 0 0 0 0 0 0 0 
_1.ptx 1343 : 12533621 188470928 0 0 0 0 0 0 0 
_1.ptx 1344 : 12533621 88093618 0 0 0 0 0 0 0 
_1.ptx 1345 : 12533621 75924707 0 0 0 0 0 0 0 
_1.ptx 1346 : 12533621 88142818 0 0 0 0 0 0 0 
_1.ptx 1347 : 12533621 188646172 0 0 0 0 0 0 0 
_1.ptx 1348 : 12533621 79634146 0 0 0 0 0 0 0 
_1.ptx 1349 : 12533621 100574433 0 0 0 0 0 0 0 
_1.ptx 1350 : 12533621 75450 0 0 0 0 0 0 12343 
_1.ptx 1352 : 12521077 87904000 0 0 0 0 0 0 0 
_1.ptx 1353 : 12521077 4485554689 0 0 0 0 0 0 0 
_1.ptx 1354 : 12521077 87742033 0 0 0 0 0 0 0 
_1.ptx 1357 : 12533621 225995832 0 0 0 0 0 0 0 
_1.ptx 1358 : 12533621 6403166626 0 0 0 0 0 0 0 
_1.ptx 1359 : 12533621 138488248 0 0 0 0 0 0 0 
_1.ptx 1360 : 12533621 21095920904 1529956352 0 0 12527450 393750 0 0 
_1.ptx 1361 : 12533621 138011146 0 0 0 0 0 0 0 
_1.ptx 1362 : 12533621 7498068790 37036320 0 0 12527450 393750 0 0 
_1.ptx 1363 : 12533621 5436702043 0 0 0 0 0 0 0 
_1.ptx 1364 : 12533621 138317006 0 0 0 0 0 0 0 
_1.ptx 1365 : 12533621 13061900866 75592960 0 0 1181250 393750 0 0 
_1.ptx 1366 : 12533621 75352505 0 0 0 0 0 0 0 
_1.ptx 1367 : 12533621 100393633 0 0 0 0 0 0 0 
_1.ptx 1368 : 12533621 37643227 0 0 0 0 0 0 393750 
_1.ptx 1370 : 6267047 2327064423 0 0 0 0 0 0 0 
_1.ptx 1371 : 6267047 69043917 0 0 0 0 0 0 0 
_1.ptx 1372 : 6267047 8955885606 783889536 0 0 6265537 393750 0 0 
_1.ptx 1373 : 6267047 69002971 0 0 0 0 0 0 0 
_1.ptx 1374 : 6267047 3190094442 15602528 0 0 6265537 393750 0 0 
_1.ptx 1375 : 6267047 37627725 0 0 0 0 0 0 0 
_1.ptx 1378 : 6266574 2438943295 0 0 0 0 0 0 0 
_1.ptx 1379 : 6266574 69055305 0 0 0 0 0 0 0 
_1.ptx 1380 : 6266574 8879316888 783905920 0 0 6265075 393750 0 0 
_1.ptx 1381 : 6266574 68993913 0 0 0 0 0 0 0 
_1.ptx 1382 : 6266574 3006453746 13538240 0 0 6265075 393750 0 0 
_1.ptx 1384 : 12533621 75365278 0 0 0 0 0 0 0 
_1.ptx 1387 : 12600000 126199264 0 0 0 0 0 0 0 
_1.ptx 1388 : 12600000 100934336 0 0 0 0 0 0 0 
_1.ptx 1389 : 12600000 50427296 0 0 0 0 0 0 0 
_1.ptx 1390 : 4200000 29476384 0 0 0 0 0 0 0 
_1.ptx 1391 : 4200000 33653344 0 0 0 0 0 0 0 
_1.ptx 1392 : 4200000 0 0 0 0 0 0 0 0 
