kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2189 : 16519988 166794593 0 0 0 0 0 0 0 
_1.ptx 2190 : 16519988 133377336 0 0 0 0 0 0 0 
_1.ptx 2191 : 16519988 117149071 0 0 0 0 0 0 0 
_1.ptx 2192 : 16519988 117099985 0 0 0 0 0 0 0 
_1.ptx 2193 : 16519988 133024918 0 0 0 0 0 0 0 
_1.ptx 2194 : 16519988 116929916 0 0 0 0 0 0 0 
_1.ptx 2195 : 16519988 133295254 0 0 0 0 0 0 0 
_1.ptx 2196 : 16519988 100295394 0 0 0 0 0 0 0 
_1.ptx 2197 : 16519988 132922697 0 0 0 0 0 0 0 
_1.ptx 2198 : 16519988 0 0 0 0 0 0 0 0 
_1.ptx 2200 : 16519988 604330384 128 0 0 0 0 0 0 
_1.ptx 2201 : 16519988 117029242 0 0 0 0 0 0 0 
_1.ptx 2202 : 16519988 167756567 0 0 0 0 0 0 0 
_1.ptx 2203 : 16519988 182630912 0 0 0 0 0 0 0 
_1.ptx 2204 : 16519988 8041360944 569231744 0 0 13495818 4270526 0 0 
_1.ptx 2205 : 16519988 99910950 0 0 0 0 0 0 0 
_1.ptx 2019 : 2097152 13090880 0 0 0 0 0 0 0 
_1.ptx 2020 : 2097152 13145344 0 0 0 0 0 0 0 
_1.ptx 2021 : 2097152 37970720 0 0 0 0 0 0 0 
_1.ptx 2022 : 2097152 12991520 0 0 0 0 0 0 0 
_1.ptx 2023 : 2097152 371938432 0 0 0 0 0 0 0 
_1.ptx 2024 : 2097152 13027360 0 0 0 0 0 0 0 
_1.ptx 2025 : 2097152 23318880 0 0 0 0 0 0 0 
_1.ptx 2026 : 2097152 24727648 0 0 0 0 0 0 0 
_1.ptx 2027 : 2097152 15299136 0 0 0 0 0 0 0 
_1.ptx 2028 : 2097152 21490464 0 0 0 0 0 0 0 
_1.ptx 2029 : 2097152 25378176 0 0 0 0 0 0 0 
_1.ptx 2030 : 2097152 17291424 0 0 0 0 0 0 0 
