kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 206 : 1048576 4429728 0 0 0 0 0 0 0 
_1.ptx 207 : 1048576 13808736 0 0 0 0 0 0 0 
_1.ptx 208 : 1048576 13629856 0 0 0 0 0 0 0 
_1.ptx 209 : 1048576 10404224 0 0 0 0 0 0 0 
_1.ptx 210 : 1048576 10272736 0 0 0 0 0 0 0 
_1.ptx 211 : 1048576 10217664 0 0 0 0 0 0 0 
_1.ptx 212 : 1048576 15312192 0 0 0 0 0 0 0 
_1.ptx 213 : 1048576 12875808 0 0 0 0 0 0 0 
_1.ptx 214 : 1048576 10213056 0 0 0 0 0 0 0 
_1.ptx 215 : 1048576 17250560 0 0 0 0 0 0 0 
_1.ptx 216 : 1048576 18766912 0 0 0 0 0 0 0 
_1.ptx 217 : 1048576 3915008 0 0 0 0 0 0 0 
_1.ptx 218 : 1048576 13397088 0 0 0 0 0 0 0 
_1.ptx 219 : 1048576 13599456 0 0 0 0 0 0 0 
_1.ptx 220 : 1048576 3753280 0 0 0 0 0 0 0 
_1.ptx 221 : 1048576 15122528 0 0 0 0 0 0 0 
_1.ptx 222 : 1048576 13723136 0 0 0 0 0 0 0 
_1.ptx 223 : 1048576 10701408 0 0 0 0 0 0 0 
_1.ptx 224 : 1048576 12878336 0 0 0 0 0 0 0 
_1.ptx 225 : 1048576 14123040 0 0 0 0 0 0 0 
_1.ptx 226 : 1048576 14319136 0 0 0 0 0 0 0 
_1.ptx 227 : 1048576 14345152 0 0 0 0 0 0 0 
_1.ptx 228 : 1048576 11168736 0 0 0 0 0 0 0 
_1.ptx 229 : 1048576 12205600 0 0 0 0 0 0 0 
_1.ptx 230 : 1048576 4435552 0 0 0 0 0 0 0 
_1.ptx 231 : 1048576 15211904 0 0 0 0 0 0 0 
_1.ptx 232 : 1048576 5225696 0 0 0 0 0 0 0 
_1.ptx 233 : 1048576 15734016 0 0 0 0 0 0 0 
_1.ptx 234 : 1048576 433342368 4456576 0 0 65536 32768 0 0 
_1.ptx 235 : 1048576 11917408 0 0 0 0 0 0 0 
_1.ptx 236 : 1048576 452261440 4456576 0 0 65536 32768 0 0 
_1.ptx 237 : 1048576 11823680 0 0 0 0 0 0 0 
_1.ptx 238 : 1048576 11204736 0 0 0 0 0 0 0 
_1.ptx 239 : 1048576 18998336 0 0 0 0 0 0 0 
_1.ptx 240 : 1048576 202137600 262272 0 0 34816 32768 0 0 
_1.ptx 241 : 1048576 13571808 0 0 0 0 0 0 0 
_1.ptx 242 : 1048576 8390400 128 0 0 32768 32768 0 0 
_1.ptx 243 : 1048576 14101792 0 0 0 0 0 0 0 
_1.ptx 244 : 1048576 13804992 0 0 0 0 0 0 0 
_1.ptx 245 : 1048576 22081344 0 0 0 0 0 0 0 
_1.ptx 246 : 1048576 24439488 0 0 0 0 0 0 0 
_1.ptx 247 : 1048576 24626080 0 0 0 0 0 0 0 
_1.ptx 248 : 1048576 16052096 0 0 0 0 0 0 0 
_1.ptx 249 : 1048576 9928832 0 0 0 65536 32768 0 0 
_1.ptx 251 : 1048576 50732736 0 0 0 65536 32768 0 0 
_1.ptx 252 : 1048576 13735040 0 0 0 0 0 0 0 
_1.ptx 253 : 1048576 13157376 0 0 0 0 0 0 0 
_1.ptx 254 : 1048576 20561984 0 0 0 0 0 0 0 
