kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1 11 0 0 0 0 0 0 0 
_1.ptx 98 : 1 3 0 0 0 0 0 0 0 
_1.ptx 102 : 3 300 128 0 0 3 3 0 0 
_1.ptx 103 : 3 22 0 0 0 0 0 0 0 
_1.ptx 104 : 3 33 0 0 0 0 0 0 0 
_1.ptx 105 : 3 845 384 0 0 3 3 0 0 
_1.ptx 106 : 3 19 0 0 0 0 0 0 0 
_1.ptx 107 : 3 24 0 0 0 0 0 0 0 
_1.ptx 108 : 3 0 0 0 0 0 0 0 0 
_1.ptx 110 : 3 9 0 0 0 0 0 0 0 
_1.ptx 111 : 3 30 0 0 0 0 0 0 0 
_1.ptx 112 : 3 33 0 0 0 0 0 0 0 
_1.ptx 113 : 3 428 128 0 0 3 3 0 0 
_1.ptx 114 : 3 30 0 0 0 0 0 0 0 
_1.ptx 115 : 3 30 0 0 0 0 0 0 0 
_1.ptx 116 : 3 33 0 0 0 0 0 0 0 
_1.ptx 117 : 3 15 64 0 0 3 3 0 0 
_1.ptx 119 : 3 18 0 0 0 0 0 0 0 
_1.ptx 120 : 3 9 0 0 0 0 0 0 0 
_1.ptx 121 : 3 34 0 0 0 0 0 0 0 
_1.ptx 122 : 3 18 96 0 0 3 3 0 0 
_1.ptx 123 : 3 13 0 0 0 3 3 0 0 
_1.ptx 124 : 3 13 0 0 0 3 3 0 0 
_1.ptx 125 : 3 34 0 0 0 0 0 0 0 
_1.ptx 128 : 3 30 0 0 0 0 0 0 0 
_1.ptx 129 : 3 30 0 0 0 0 0 0 0 
_1.ptx 130 : 3 27 0 0 0 0 0 0 0 
_1.ptx 131 : 3 12 0 0 0 0 0 0 0 
_1.ptx 135 : 1000448 6151712 0 0 0 0 0 0 0 
_1.ptx 151 : 1000448 6179328 0 0 0 0 0 0 0 
_1.ptx 152 : 1000448 12792896 0 0 0 0 0 0 0 
_1.ptx 153 : 1000448 6387648 0 0 0 0 0 0 0 
_1.ptx 154 : 1000448 11280800 0 0 0 0 0 0 0 
_1.ptx 155 : 1000448 3001472 0 0 0 0 0 0 0 
_1.ptx 156 : 1000448 8371840 0 0 0 0 0 0 0 
_1.ptx 157 : 1000448 2816 0 0 0 0 0 0 0 
_1.ptx 158 : 1000000 7500736 0 0 0 0 0 0 0 
_1.ptx 159 : 1000000 3135200 0 0 0 0 0 0 0 
_1.ptx 160 : 1000000 11221824 0 0 0 0 0 0 0 
_1.ptx 161 : 1000000 257977088 1000064 0 0 31250 31250 0 0 
_1.ptx 162 : 1000000 6235104 0 0 0 0 0 0 0 
_1.ptx 163 : 1000000 8192672 0 0 0 0 0 0 0 
_1.ptx 164 : 1000000 6226990 0 0 0 0 0 0 3 
_1.ptx 67 : 1000448 6190240 0 0 0 0 0 0 0 
_1.ptx 68 : 1000448 12789888 0 0 0 0 0 0 0 
_1.ptx 166 : 3 18 0 0 0 0 0 0 0 
_1.ptx 69 : 1000448 6394368 0 0 0 0 0 0 0 
_1.ptx 167 : 3 9 0 0 0 0 0 0 0 
_1.ptx 70 : 1000448 11280768 0 0 0 0 0 0 0 
_1.ptx 168 : 3 33 0 0 0 0 0 0 0 
_1.ptx 71 : 1000448 7250496 128 0 0 0 0 0 0 
_1.ptx 169 : 3 15 96 0 0 3 3 0 0 
_1.ptx 72 : 1000448 8365056 0 0 0 0 0 0 0 
_1.ptx 73 : 1000448 2720 0 0 0 0 0 0 0 
_1.ptx 171 : 3 18 0 0 0 0 0 0 0 
_1.ptx 74 : 1000000 7507072 0 0 0 0 0 0 0 
_1.ptx 172 : 3 9 0 0 0 0 0 0 0 
_1.ptx 75 : 1000000 3140000 0 0 0 0 0 0 0 
_1.ptx 173 : 3 35 0 0 0 0 0 0 0 
_1.ptx 76 : 1000000 11221152 0 0 0 0 0 0 0 
_1.ptx 174 : 3 16 96 0 0 3 3 0 0 
_1.ptx 77 : 1000000 257194656 1000064 0 0 31250 31250 0 0 
_1.ptx 78 : 1000000 6231584 0 0 0 0 0 0 0 
_1.ptx 176 : 3 18 0 0 0 0 0 0 0 
_1.ptx 79 : 1000000 8193216 0 0 0 0 0 0 0 
_1.ptx 177 : 3 10 0 0 0 0 0 0 0 
_1.ptx 80 : 1000000 6231898 0 0 0 0 0 0 1 
_1.ptx 178 : 3 15 32 0 0 3 3 0 0 
_1.ptx 82 : 1 6 0 0 0 0 0 0 0 
_1.ptx 180 : 3 19 0 0 0 0 0 0 0 
_1.ptx 83 : 1 5 0 0 0 1 1 0 0 
_1.ptx 181 : 3 16 0 0 0 3 3 0 0 
_1.ptx 85 : 1 3 0 0 0 0 0 0 0 
_1.ptx 86 : 1 10 0 0 0 0 0 0 0 
_1.ptx 87 : 1 11 0 0 0 0 0 0 0 
_1.ptx 185 : 1000448 6155808 0 0 0 0 0 0 0 
_1.ptx 88 : 1 274 128 0 0 1 1 0 0 
_1.ptx 89 : 1 7 0 0 0 0 0 0 0 
_1.ptx 90 : 1 4 0 0 0 1 1 0 0 
_1.ptx 91 : 1 11 0 0 0 0 0 0 0 
_1.ptx 92 : 1 8 0 0 0 0 0 0 0 
_1.ptx 93 : 1 0 0 0 0 0 0 0 0 
_1.ptx 94 : 1 3 0 0 0 0 0 0 0 
_1.ptx 95 : 1 7 0 0 0 0 0 0 0 
_1.ptx 96 : 1 10 0 0 0 0 0 0 0 
