kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 62 : 580608 3550848 0 0 0 0 0 0 0 
_1.ptx 63 : 580608 3557888 0 0 0 0 0 0 0 
_1.ptx 64 : 580608 6914528 0 0 0 0 0 0 0 
_1.ptx 65 : 580608 3545888 0 0 0 0 0 0 0 
_1.ptx 66 : 580608 6416992 0 0 0 0 0 0 0 
_1.ptx 67 : 580608 24439136 128 0 0 0 0 0 0 
_1.ptx 68 : 580608 19668416 128 0 0 0 0 0 0 
_1.ptx 69 : 580608 4142048 0 0 0 0 0 0 0 
_1.ptx 70 : 580608 6418976 0 0 0 0 0 0 0 
_1.ptx 71 : 580608 6427232 0 0 0 0 0 0 0 
_1.ptx 72 : 580608 40245504 2322432 0 0 18144 18144 0 0 
_1.ptx 73 : 580608 27677792 0 0 0 0 0 0 0 
_1.ptx 74 : 580608 20489568 0 0 0 0 0 0 0 
_1.ptx 75 : 580608 6420480 0 0 0 0 0 0 0 
_1.ptx 76 : 580608 4169728 0 0 0 0 0 0 0 
_1.ptx 77 : 580608 6348160 0 0 0 0 0 0 0 
_1.ptx 78 : 580608 6418944 0 0 0 0 0 0 0 
_1.ptx 79 : 580608 42778528 2322432 0 0 18144 18144 0 0 
_1.ptx 80 : 580608 30184768 0 0 0 0 0 0 0 
_1.ptx 81 : 580608 6198752 0 0 0 0 0 0 0 
_1.ptx 82 : 580608 6413696 0 0 0 0 0 0 0 
_1.ptx 83 : 580608 4149952 0 0 0 0 0 0 0 
_1.ptx 84 : 580608 6135808 0 0 0 0 0 0 0 
_1.ptx 85 : 580608 6413824 0 0 0 0 0 0 0 
_1.ptx 86 : 580608 44055424 2322432 0 0 18144 18144 0 0 
_1.ptx 87 : 580608 29416384 0 0 0 0 0 0 0 
_1.ptx 88 : 580608 6192544 0 0 0 0 0 0 0 
_1.ptx 89 : 580608 6415040 0 0 0 0 0 0 0 
_1.ptx 90 : 580608 4155264 0 0 0 0 0 0 0 
_1.ptx 91 : 580608 6192576 0 0 0 0 0 0 0 
_1.ptx 92 : 580608 6412448 0 0 0 0 0 0 0 
_1.ptx 93 : 580608 45402432 2322432 0 0 18144 18144 0 0 
_1.ptx 94 : 580608 30425856 0 0 0 0 0 0 0 
_1.ptx 95 : 580608 6228992 0 0 0 0 0 0 0 
_1.ptx 96 : 580608 6413408 0 0 0 0 0 0 0 
_1.ptx 97 : 580608 4151840 0 0 0 0 0 0 0 
_1.ptx 98 : 580608 6133824 0 0 0 0 0 0 0 
_1.ptx 99 : 580608 6413728 0 0 0 0 0 0 0 
_1.ptx 100 : 580608 45222176 2322432 0 0 18144 18144 0 0 
_1.ptx 102 : 580608 3527712 0 0 0 0 0 0 0 
_1.ptx 118 : 193536 1204352 0 0 0 0 0 0 0 
_1.ptx 119 : 193536 1215744 0 0 0 0 0 0 0 
_1.ptx 120 : 193536 1208576 0 0 0 0 0 0 0 
_1.ptx 121 : 193536 2786592 0 0 0 0 0 0 0 
_1.ptx 122 : 193536 2150560 0 0 0 0 0 0 0 
_1.ptx 123 : 193536 1406432 0 0 0 0 0 0 0 
_1.ptx 124 : 193536 2496480 0 0 0 0 0 0 0 
_1.ptx 125 : 193536 2893536 0 0 0 0 0 0 0 
_1.ptx 126 : 193536 2155392 0 0 0 0 0 0 0 
_1.ptx 127 : 193536 81321312 774144 0 0 6048 6048 0 0 
_1.ptx 129 : 193536 4121248 0 0 0 0 0 0 0 
_1.ptx 130 : 193536 2153216 0 0 0 0 0 0 0 
_1.ptx 131 : 193536 1405344 0 0 0 0 0 0 0 
_1.ptx 132 : 193536 2961216 0 0 0 0 0 0 0 
_1.ptx 133 : 193536 2147968 0 0 0 0 0 0 0 
_1.ptx 134 : 193536 85219936 774144 0 0 6048 6048 0 0 
_1.ptx 136 : 193536 2915200 0 0 0 0 0 0 0 
_1.ptx 137 : 193536 2147840 0 0 0 0 0 0 0 
_1.ptx 138 : 193536 1398112 0 0 0 0 0 0 0 
_1.ptx 139 : 193536 2940672 0 0 0 0 0 0 0 
_1.ptx 140 : 193536 2146720 0 0 0 0 0 0 0 
_1.ptx 141 : 193536 86732640 774144 0 0 6048 6048 0 0 
_1.ptx 143 : 193536 2983808 0 0 0 0 0 0 0 
_1.ptx 144 : 193536 2144992 0 0 0 0 0 0 0 
_1.ptx 145 : 193536 1397472 0 0 0 0 0 0 0 
_1.ptx 146 : 193536 3017888 0 0 0 0 0 0 0 
_1.ptx 147 : 193536 2144960 0 0 0 0 0 0 0 
_1.ptx 148 : 193536 85678432 774144 0 0 6048 6048 0 0 
_1.ptx 150 : 193536 10871520 0 0 0 0 0 0 0 
_1.ptx 151 : 193536 11274080 0 0 0 0 0 0 0 
_1.ptx 152 : 193536 11412896 0 0 0 0 0 0 0 
_1.ptx 153 : 193536 2159872 0 0 0 0 0 0 0 
_1.ptx 154 : 193536 1774656 0 0 0 0 0 0 0 
_1.ptx 155 : 193536 1780928 0 0 0 0 0 0 0 
_1.ptx 156 : 193536 1205024 0 0 0 0 0 0 0 
_1.ptx 157 : 193536 5090752 0 0 0 0 0 0 0 
_1.ptx 158 : 193536 5352928 0 0 0 0 0 0 0 
_1.ptx 159 : 193536 2146976 0 0 0 0 0 0 0 
_1.ptx 160 : 193536 1394048 0 0 0 0 0 0 0 
_1.ptx 161 : 193536 4718304 0 0 0 0 0 0 0 
_1.ptx 162 : 193536 2145920 0 0 0 0 0 0 0 
_1.ptx 163 : 193536 75274592 774144 0 0 6048 6048 0 0 
_1.ptx 164 : 193536 1183520 0 0 0 0 0 0 0 
_1.ptx 165 : 193536 2148576 0 0 0 0 0 0 0 
_1.ptx 166 : 193536 2149120 0 0 0 0 0 0 0 
_1.ptx 167 : 193536 2149920 0 0 0 0 0 0 0 
_1.ptx 168 : 193536 1197856 0 0 0 0 0 0 0 
_1.ptx 169 : 193536 2148672 0 0 0 0 0 0 0 
_1.ptx 170 : 193536 1193344 0 0 0 0 0 0 0 
_1.ptx 171 : 193536 2147616 0 0 0 0 0 0 0 
_1.ptx 172 : 193536 11044352 0 0 0 0 0 0 0 
_1.ptx 173 : 193536 4930656 0 0 0 0 0 0 0 
_1.ptx 174 : 193536 2142848 0 0 0 0 0 0 0 
_1.ptx 175 : 193536 2608448 0 0 0 0 0 0 0 
_1.ptx 176 : 193536 2143776 0 0 0 0 0 0 0 
_1.ptx 177 : 193536 101795520 774144 0 0 6048 6048 0 0 
_1.ptx 178 : 193536 4559040 0 0 0 0 0 0 0 
_1.ptx 179 : 193536 2140960 0 0 0 0 0 0 0 
_1.ptx 180 : 193536 10885440 0 0 0 0 0 0 0 
_1.ptx 182 : 193536 1794272 0 0 0 0 0 0 0 
_1.ptx 183 : 193536 2140032 0 0 0 0 0 0 0 
_1.ptx 184 : 193536 2047808 774144 0 0 6048 6048 0 0 
_1.ptx 186 : 193536 1174976 0 0 0 0 0 0 0 
_1.ptx 208 : 193536 1191744 0 0 0 0 0 0 0 
_1.ptx 209 : 193536 1197312 0 0 0 0 0 0 0 
_1.ptx 210 : 193536 1180832 0 0 0 0 0 0 0 
_1.ptx 211 : 193536 2674176 0 0 0 0 0 0 0 
_1.ptx 212 : 193536 2144864 0 0 0 0 0 0 0 
_1.ptx 213 : 193536 1393888 0 0 0 0 0 0 0 
_1.ptx 214 : 193536 2134752 0 0 0 0 0 0 0 
_1.ptx 215 : 193536 11585888 0 0 0 0 0 0 0 
_1.ptx 216 : 193536 2153568 0 0 0 0 0 0 0 
_1.ptx 217 : 193536 78998720 323968 0 0 6048 6048 0 0 
_1.ptx 219 : 193536 10560096 0 0 0 0 0 0 0 
_1.ptx 220 : 193536 2153216 0 0 0 0 0 0 0 
_1.ptx 221 : 193536 1407392 0 0 0 0 0 0 0 
_1.ptx 222 : 193536 2322048 0 0 0 0 0 0 0 
_1.ptx 223 : 193536 2148640 0 0 0 0 0 0 0 
_1.ptx 224 : 193536 82163968 334208 0 0 6048 6048 0 0 
_1.ptx 226 : 193536 2199712 0 0 0 0 0 0 0 
_1.ptx 227 : 193536 2148064 0 0 0 0 0 0 0 
_1.ptx 228 : 193536 1397792 0 0 0 0 0 0 0 
_1.ptx 229 : 193536 2201152 0 0 0 0 0 0 0 
_1.ptx 230 : 193536 2144736 0 0 0 0 0 0 0 
_1.ptx 231 : 193536 85601920 334208 0 0 6048 6048 0 0 
_1.ptx 233 : 193536 2148896 0 0 0 0 0 0 0 
_1.ptx 234 : 193536 2141600 0 0 0 0 0 0 0 
_1.ptx 235 : 193536 1392416 0 0 0 0 0 0 0 
_1.ptx 236 : 193536 2167520 0 0 0 0 0 0 0 
_1.ptx 237 : 193536 2137024 0 0 0 0 0 0 0 
_1.ptx 238 : 193536 84412512 331648 0 0 6048 6048 0 0 
_1.ptx 240 : 193536 2436576 0 0 0 0 0 0 0 
_1.ptx 241 : 193536 2142656 0 0 0 0 0 0 0 
_1.ptx 242 : 193536 1397728 0 0 0 0 0 0 0 
_1.ptx 243 : 193536 2201824 0 0 0 0 0 0 0 
_1.ptx 244 : 193536 2149536 0 0 0 0 0 0 0 
_1.ptx 245 : 193536 85446560 341120 0 0 6048 6048 0 0 
_1.ptx 247 : 193536 10554912 0 0 0 0 0 0 0 
_1.ptx 248 : 193536 2148256 0 0 0 0 0 0 0 
_1.ptx 249 : 193536 106244384 774144 0 0 6048 6048 0 0 
_1.ptx 251 : 193536 13484320 0 0 0 0 0 0 0 
_1.ptx 252 : 193536 2145856 0 0 0 0 0 0 0 
_1.ptx 253 : 193536 108963392 774144 0 0 6048 6048 0 0 
_1.ptx 255 : 193536 2142048 0 0 0 0 0 0 0 
_1.ptx 256 : 193536 109067648 774144 0 0 6048 6048 0 0 
_1.ptx 258 : 193536 2438720 0 0 0 0 0 0 0 
_1.ptx 259 : 193536 2144768 0 0 0 0 0 0 0 
_1.ptx 260 : 193536 1392800 0 0 0 0 0 0 0 
