kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2052 : 26112 193728 0 0 0 0 0 0 0 
_1.ptx 2053 : 26112 172960 0 0 0 0 0 0 0 
_1.ptx 2054 : 26112 167296 0 0 0 0 0 0 0 
_1.ptx 2055 : 26112 214848 0 0 0 0 0 0 0 
_1.ptx 2056 : 26112 193888 0 0 0 0 0 0 0 
_1.ptx 2057 : 26112 311808 0 0 0 0 0 0 0 
_1.ptx 2058 : 26112 190432 0 0 0 0 0 0 0 
_1.ptx 2059 : 26112 0 0 0 0 0 0 0 0 
_1.ptx 2060 : 26112 190944 0 0 0 0 0 0 0 
_1.ptx 2061 : 26112 281248 0 0 0 0 0 0 0 
_1.ptx 2062 : 26112 292704 0 0 0 0 0 0 0 
_1.ptx 72 : 26112 1605472 128 0 0 0 0 0 0 
_1.ptx 2063 : 26112 166592 0 0 0 0 0 0 0 
_1.ptx 73 : 26112 161792 0 0 0 0 0 0 0 
_1.ptx 2064 : 26112 214912 0 0 0 0 0 0 0 
_1.ptx 74 : 26112 213152 0 0 0 0 0 0 0 
_1.ptx 2065 : 26112 191040 0 0 0 0 0 0 0 
_1.ptx 75 : 26112 0 0 0 0 0 0 0 0 
_1.ptx 2066 : 26112 215200 0 0 0 0 0 0 0 
_1.ptx 2067 : 26112 168448 0 0 0 0 0 0 0 
_1.ptx 77 : 26112 169056 0 0 0 0 0 0 0 
_1.ptx 2068 : 26112 215232 0 0 0 0 0 0 0 
_1.ptx 78 : 26112 170432 0 0 0 0 0 0 0 
_1.ptx 2069 : 26112 164512 0 0 0 0 0 0 0 
_1.ptx 79 : 26112 192000 0 0 0 0 0 0 0 
_1.ptx 80 : 26112 356352 0 0 0 0 0 0 0 
_1.ptx 81 : 26112 289856 0 0 0 0 0 0 0 
_1.ptx 82 : 26112 3341056 6528 0 0 0 0 0 0 
_1.ptx 83 : 26112 3325248 0 0 0 0 0 0 0 
_1.ptx 84 : 26112 192576 0 0 0 0 0 0 0 
_1.ptx 85 : 26112 295840 0 0 0 0 0 0 0 
_1.ptx 86 : 26112 295616 0 0 0 0 0 0 0 
_1.ptx 87 : 26112 200480 0 0 0 0 0 0 0 
_1.ptx 88 : 26112 178400 0 0 0 0 0 0 0 
_1.ptx 89 : 26112 171008 0 0 0 0 0 0 0 
_1.ptx 90 : 26112 216800 0 0 0 0 0 0 0 
_1.ptx 91 : 26112 167717 0 0 0 0 0 0 51 
_1.ptx 93 : 51 221 0 0 0 0 0 0 0 
_1.ptx 94 : 51 162 0 0 0 0 0 0 0 
_1.ptx 95 : 51 846 0 0 0 0 0 0 0 
_1.ptx 96 : 51 386 0 0 0 0 0 0 0 
_1.ptx 97 : 51 569 0 0 0 0 0 0 0 
_1.ptx 98 : 51 675 0 0 0 0 0 0 0 
_1.ptx 99 : 51 381 0 0 0 0 0 0 0 
_1.ptx 100 : 51 636 0 0 0 0 0 0 0 
_1.ptx 101 : 51 1969 640 0 0 0 0 0 0 
_1.ptx 102 : 51 570 0 0 0 0 0 0 0 
_1.ptx 103 : 51 1926 0 0 0 51 51 0 0 
_1.ptx 104 : 51 225 0 0 0 0 0 0 0 
_1.ptx 105 : 51 571 0 0 0 0 0 0 0 
_1.ptx 106 : 51 345 1632 0 0 51 51 0 0 
_1.ptx 108 : 51 293 0 0 0 0 0 0 0 
_1.ptx 109 : 51 572 0 0 0 0 0 0 0 
_1.ptx 110 : 51 5028 128 0 0 51 51 0 0 
_1.ptx 111 : 51 215 0 0 0 0 0 0 0 
_1.ptx 112 : 51 570 0 0 0 0 0 0 0 
_1.ptx 113 : 51 366 1632 0 0 51 51 0 0 
_1.ptx 116 : 26112 191744 0 0 0 0 0 0 0 
_1.ptx 117 : 26112 1498880 128 0 0 0 0 0 0 
_1.ptx 118 : 26112 215776 0 0 0 0 0 0 0 
_1.ptx 119 : 26112 0 0 0 0 0 0 0 0 
_1.ptx 120 : 26112 297248 0 0 0 0 0 0 0 
_1.ptx 121 : 26112 274272 0 0 0 0 0 0 0 
_1.ptx 122 : 26112 206400 0 0 0 0 0 0 0 
_1.ptx 123 : 26112 185024 0 0 0 0 0 0 0 
_1.ptx 124 : 26112 220512 0 0 0 0 0 0 0 
_1.ptx 125 : 26112 294528 0 0 0 0 0 0 0 
_1.ptx 126 : 26112 190368 0 0 0 0 0 0 0 
_1.ptx 127 : 26112 137088 0 0 0 0 0 0 0 
_1.ptx 128 : 26112 1247968 896 0 0 0 0 0 0 
_1.ptx 129 : 26112 1226848 0 0 0 0 0 0 0 
_1.ptx 130 : 26112 190528 0 0 0 0 0 0 0 
_1.ptx 131 : 26112 299072 0 0 0 0 0 0 0 
_1.ptx 132 : 26112 291040 0 0 0 0 0 0 0 
