kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 79 : 473344 4710944 128 0 0 0 0 0 0 
_1.ptx 80 : 473344 7610464 0 0 0 0 0 0 0 
_1.ptx 81 : 473344 3654624 0 0 0 0 0 0 0 
_1.ptx 82 : 473344 5852000 0 0 0 0 0 0 0 
_1.ptx 83 : 473344 3880384 0 0 0 0 0 0 0 
_1.ptx 84 : 473344 7044704 0 0 0 0 0 0 0 
_1.ptx 85 : 473344 1546240 0 0 0 0 0 0 0 
_1.ptx 86 : 473344 5893920 0 0 0 0 0 0 0 
_1.ptx 87 : 473344 3975232 0 0 0 0 0 0 0 
_1.ptx 88 : 473344 5999872 0 0 0 0 0 0 0 
_1.ptx 89 : 473344 4040160 0 0 0 0 0 0 0 
_1.ptx 90 : 473344 4574624 0 0 0 0 0 0 0 
_1.ptx 91 : 473344 9312 0 0 0 0 0 0 0 
_1.ptx 92 : 471968 1573760 0 0 0 0 0 0 0 
_1.ptx 93 : 471968 5538208 0 0 0 0 0 0 0 
_1.ptx 94 : 471968 4512000 0 0 0 0 0 0 0 
_1.ptx 95 : 471968 530496 0 0 0 0 0 0 0 
_1.ptx 96 : 401792 3375392 0 0 0 0 0 0 0 
_1.ptx 97 : 401792 5765152 0 0 0 0 0 0 0 
_1.ptx 98 : 401792 1336640 0 0 0 0 0 0 0 
_1.ptx 99 : 401792 4992704 0 0 0 0 0 0 0 
_1.ptx 100 : 401792 3326112 0 0 0 0 0 0 0 
_1.ptx 101 : 401792 5062464 0 0 0 0 0 0 0 
_1.ptx 102 : 401792 3373792 0 0 0 0 0 0 0 
_1.ptx 103 : 401792 3857440 0 0 0 0 0 0 0 
_1.ptx 104 : 401792 9544 0 0 0 0 0 0 292 
_1.ptx 105 : 400624 1430812 0 0 0 0 0 0 0 
_1.ptx 106 : 400624 4649080 0 0 0 0 0 0 0 
_1.ptx 107 : 400624 3800568 0 0 0 0 0 0 0 
