kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4504064 35457216 0 0 0 0 0 0 0 
_1.ptx 200 : 4504064 38637504 0 0 0 0 0 0 0 
_1.ptx 201 : 4504064 31367264 0 0 0 0 0 0 0 
_1.ptx 210 : 237056 1590688 0 0 0 0 0 0 0 
_1.ptx 211 : 237056 2004000 0 0 0 0 0 0 0 
_1.ptx 214 : 237056 249764 0 0 0 0 0 0 1852 
_1.ptx 216 : 200000 1546692 0 0 0 0 0 0 0 
_1.ptx 217 : 200000 2185372 0 0 0 0 0 0 0 
_1.ptx 218 : 200000 2264084 0 0 0 0 0 0 0 
_1.ptx 219 : 200000 1730612 0 7408 7408 0 0 0 0 
_1.ptx 220 : 200000 690808 0 0 0 0 0 0 0 
_1.ptx 221 : 200000 1513948 0 0 0 0 0 0 0 
_1.ptx 222 : 200000 2142012 0 0 0 0 0 0 0 
_1.ptx 223 : 200000 2269324 0 0 0 0 0 0 0 
_1.ptx 224 : 200000 1254892 1002848 0 0 13426 7408 0 0 
_1.ptx 227 : 237056 1565312 0 0 0 0 0 0 0 
_1.ptx 68 : 237056 5334208 128 0 0 0 0 0 0 
_1.ptx 69 : 237056 2943488 0 0 0 0 0 0 0 
_1.ptx 70 : 237056 781792 0 0 0 0 0 0 0 
_1.ptx 71 : 237056 2580544 0 0 0 0 0 0 0 
_1.ptx 72 : 237056 1775424 0 0 0 0 0 0 0 
_1.ptx 73 : 237056 2767392 0 0 0 0 0 0 0 
_1.ptx 74 : 237056 1764896 0 0 0 0 0 0 0 
_1.ptx 75 : 237056 2860160 0 0 0 0 0 0 0 
_1.ptx 76 : 237056 768640 0 0 0 0 0 0 0 
_1.ptx 77 : 237056 2761024 0 0 0 0 0 0 0 
_1.ptx 78 : 237056 1760704 0 0 0 0 0 0 0 
_1.ptx 79 : 237056 2744832 0 0 0 0 0 0 0 
_1.ptx 80 : 237056 2046048 0 0 0 0 0 0 0 
_1.ptx 81 : 237056 1896128 0 0 0 0 0 0 0 
_1.ptx 82 : 237056 1685536 0 0 0 0 0 0 0 
_1.ptx 83 : 237056 2042560 0 0 0 0 0 0 0 
_1.ptx 84 : 237056 1879968 0 0 0 0 0 0 0 
_1.ptx 85 : 237056 2046432 0 0 0 0 0 0 0 
_1.ptx 86 : 237056 1693984 0 0 0 0 0 0 0 
_1.ptx 87 : 237056 2037856 0 0 0 0 0 0 0 
_1.ptx 88 : 237056 636 0 0 0 0 0 0 4 
_1.ptx 90 : 236960 1663684 0 0 0 0 0 0 0 
_1.ptx 91 : 236960 851812 0 0 0 0 0 0 0 
_1.ptx 92 : 236960 1836128 0 0 0 0 0 0 0 
_1.ptx 93 : 236960 2531768 0 0 0 0 0 0 0 
_1.ptx 94 : 236960 2713776 0 0 0 0 0 0 0 
_1.ptx 95 : 236960 63088784 801664 0 0 14812 7408 0 0 
_1.ptx 96 : 236960 1833948 0 0 0 0 0 0 0 
_1.ptx 97 : 236960 2531252 0 0 0 0 0 0 0 
_1.ptx 98 : 236960 2720292 0 0 0 0 0 0 0 
_1.ptx 99 : 236960 1280164 0 7408 7408 0 0 0 0 
_1.ptx 101 : 237056 1623840 0 0 0 0 0 0 0 
_1.ptx 103 : 237056 1615648 0 0 0 0 0 0 0 
_1.ptx 104 : 237056 1769216 0 0 0 0 0 0 0 
_1.ptx 105 : 237056 2130816 0 0 0 0 0 0 0 
_1.ptx 106 : 237056 0 0 0 0 0 0 0 0 
_1.ptx 107 : 237056 2721952 0 0 0 0 0 0 0 
_1.ptx 108 : 237056 1916128 0 0 0 0 0 0 0 
_1.ptx 109 : 237056 2188640 0 0 0 0 0 0 0 
_1.ptx 110 : 237056 2105152 0 0 0 0 0 0 0 
_1.ptx 111 : 237056 1858496 0 0 0 0 0 0 0 
_1.ptx 112 : 237056 2339040 0 0 0 0 0 0 0 
_1.ptx 113 : 237056 5046848 0 0 0 0 0 0 0 
_1.ptx 114 : 237056 2899104 0 0 0 0 0 0 0 
_1.ptx 115 : 237056 2952160 0 0 0 0 0 0 0 
_1.ptx 116 : 237056 3091776 0 0 0 0 0 0 0 
_1.ptx 117 : 237056 2353888 0 0 0 0 0 0 0 
_1.ptx 118 : 237056 2877472 0 0 0 0 0 0 0 
_1.ptx 119 : 237056 1989760 0 0 0 0 0 0 0 
_1.ptx 120 : 237056 2365280 0 0 0 0 0 0 0 
_1.ptx 121 : 237056 5046912 0 0 0 0 0 0 0 
_1.ptx 122 : 237056 2215488 0 0 0 0 0 0 0 
_1.ptx 123 : 237056 2874048 0 0 0 0 0 0 0 
_1.ptx 124 : 237056 2336800 0 0 0 0 0 0 0 
_1.ptx 125 : 237056 2120320 0 0 0 0 0 0 0 
_1.ptx 126 : 237056 2214368 0 0 0 0 0 0 0 
_1.ptx 127 : 237056 2042144 0 0 0 0 0 0 0 
_1.ptx 128 : 237056 2163712 0 0 0 0 0 0 0 
_1.ptx 129 : 237056 1832256 0 0 0 0 0 0 0 
_1.ptx 130 : 237056 1834784 0 0 0 0 0 0 0 
_1.ptx 131 : 237056 2032512 0 0 0 0 0 0 0 
_1.ptx 135 : 4741120 32490080 0 0 0 0 0 0 0 
_1.ptx 136 : 4741120 51058400 0 0 0 0 0 0 0 
_1.ptx 137 : 4741120 41171328 0 0 0 0 0 0 0 
_1.ptx 138 : 4741120 37620736 0 0 0 0 0 0 0 
_1.ptx 139 : 4741120 33358784 0 0 0 0 0 0 0 
_1.ptx 140 : 4741120 54356576 0 0 0 0 0 0 0 
_1.ptx 141 : 4741120 40455872 0 0 0 0 0 0 0 
_1.ptx 142 : 4741120 37359680 0 0 0 0 0 0 0 
_1.ptx 143 : 4741120 40456832 0 0 0 0 0 0 0 
_1.ptx 144 : 4741120 40703904 0 0 0 0 0 0 0 
_1.ptx 145 : 4741120 33579328 0 0 0 0 0 0 0 
_1.ptx 146 : 4741120 40509696 0 0 0 0 0 0 0 
_1.ptx 147 : 4741120 2675576 0 0 0 0 0 0 37040 
_1.ptx 149 : 4351120 30334997 0 0 0 0 0 0 0 
_1.ptx 151 : 4351120 33872609 0 0 0 0 0 0 0 
_1.ptx 152 : 4351120 46498766 0 0 0 0 0 0 0 
_1.ptx 153 : 4351120 13698153 0 0 0 0 0 0 0 
_1.ptx 154 : 4351120 13764199 0 0 0 0 0 0 0 
_1.ptx 155 : 4351120 49623549 0 0 0 0 0 0 0 
_1.ptx 156 : 4351120 51024387 0 0 0 0 0 0 0 
_1.ptx 157 : 4351120 49548515 0 0 0 0 0 0 0 
_1.ptx 158 : 4351120 34004587 0 0 0 0 0 0 0 
_1.ptx 159 : 4351120 46866421 0 0 0 0 0 0 0 
_1.ptx 160 : 4351120 49631487 0 0 0 0 0 0 0 
_1.ptx 161 : 4351120 1098761171 16047232 0 0 283734 148160 0 0 
_1.ptx 162 : 4351120 33761508 0 0 0 0 0 0 0 
_1.ptx 163 : 4351120 46713347 0 0 0 0 0 0 0 
_1.ptx 164 : 4351120 50198151 0 0 0 0 0 0 0 
_1.ptx 165 : 4351120 37188780 0 148160 148160 0 0 0 0 
_1.ptx 166 : 4351120 49440597 0 0 0 0 0 0 0 
_1.ptx 167 : 4351120 37091823 0 148160 148160 0 0 0 0 
_1.ptx 168 : 4351120 33742160 0 0 0 0 0 0 0 
_1.ptx 169 : 4351120 47628250 0 0 0 0 0 0 0 
_1.ptx 170 : 4351120 49601309 0 0 0 0 0 0 0 
_1.ptx 171 : 4351120 37139071 0 148160 148160 0 0 0 0 
_1.ptx 172 : 4351120 88795654 0 0 0 0 0 0 0 
_1.ptx 173 : 4351120 89131188 0 0 0 0 0 0 0 
_1.ptx 174 : 4351120 49672923 0 0 0 0 0 0 0 
_1.ptx 175 : 4351120 50064312 0 0 0 0 0 0 0 
_1.ptx 176 : 4351120 23129669 0 148160 148160 0 0 0 0 
_1.ptx 179 : 4741120 31988896 0 0 0 0 0 0 0 
_1.ptx 181 : 4741120 40606944 0 0 0 0 0 0 0 
_1.ptx 182 : 4741120 1600128 0 0 0 0 0 0 0 
_1.ptx 183 : 4504064 31959232 0 0 0 0 0 0 0 
_1.ptx 184 : 4504064 38490624 0 0 0 0 0 0 0 
_1.ptx 185 : 4504064 35581248 0 0 0 0 0 0 0 
_1.ptx 186 : 4504064 36014976 0 0 0 0 0 0 0 
_1.ptx 187 : 4504064 2547723 0 0 0 0 0 0 35188 
_1.ptx 189 : 4151120 33541566 0 0 0 0 0 0 0 
_1.ptx 190 : 4151120 45315623 0 0 0 0 0 0 0 
_1.ptx 191 : 4151120 47952871 0 0 0 0 0 0 0 
_1.ptx 192 : 4151120 35689865 0 140752 140752 0 0 0 0 
_1.ptx 193 : 4151120 47376448 0 0 0 0 0 0 0 
_1.ptx 194 : 4151120 22005062 0 140752 140752 0 0 0 0 
_1.ptx 197 : 4504064 30178912 0 0 0 0 0 0 0 
