kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 409 : 10000 72000 0 0 0 0 0 0 0 
_1.ptx 410 : 10000 134624 0 0 0 0 0 0 0 
_1.ptx 411 : 10000 110800 0 0 0 0 0 0 0 
_1.ptx 412 : 10000 52976 0 0 0 313 313 0 0 
_1.ptx 413 : 10000 113184 0 0 0 0 0 0 0 
_1.ptx 414 : 10000 108384 0 0 0 0 0 0 0 
_1.ptx 415 : 10000 69632 0 0 0 0 0 0 0 
_1.ptx 416 : 10000 73600 0 0 0 0 0 0 0 
_1.ptx 417 : 10000 88864 0 0 0 0 0 0 0 
_1.ptx 418 : 10000 80208 0 0 0 0 0 0 0 
_1.ptx 419 : 10000 120208 0 0 0 0 0 0 0 
_1.ptx 420 : 10000 111904 0 0 0 0 0 0 0 
_1.ptx 421 : 10000 73904 0 0 0 0 0 0 0 
_1.ptx 422 : 10000 111792 0 0 0 0 0 0 0 
_1.ptx 423 : 10000 74704 0 0 0 0 0 0 0 
_1.ptx 424 : 10000 55613 0 0 0 0 0 0 0 
_1.ptx 425 : 10000 72304 0 0 0 0 0 0 0 
_1.ptx 426 : 10000 132960 0 0 0 0 0 0 0 
_1.ptx 427 : 10000 110704 0 0 0 0 0 0 0 
_1.ptx 428 : 10000 56976 0 0 0 313 313 0 0 
_1.ptx 430 : 10000 853568 0 0 0 0 0 0 0 
_1.ptx 431 : 10000 111376 0 0 0 0 0 0 0 
_1.ptx 432 : 10000 3381712 40064 0 0 313 313 0 0 
_1.ptx 433 : 10000 87360 0 0 0 0 0 0 0 
_1.ptx 434 : 10000 82880 0 0 0 0 0 0 0 
_1.ptx 435 : 10000 166928 0 0 0 0 0 0 0 
_1.ptx 436 : 10000 115168 0 0 0 0 0 0 0 
_1.ptx 437 : 10000 115536 0 0 0 0 0 0 0 
_1.ptx 438 : 10000 497888 0 0 0 0 0 0 0 
_1.ptx 439 : 10000 76752 0 0 0 0 0 0 0 
_1.ptx 440 : 10000 70304 0 0 0 0 0 0 0 
_1.ptx 441 : 10000 114192 0 0 0 0 0 0 0 
_1.ptx 442 : 10000 254480 0 0 0 0 0 0 0 
_1.ptx 443 : 10000 71952 0 0 0 0 0 0 0 
_1.ptx 444 : 10000 63856 0 0 0 0 0 0 0 
_1.ptx 445 : 10000 659344 0 0 0 0 0 0 0 
_1.ptx 446 : 10000 70864 0 0 0 0 0 0 0 
_1.ptx 447 : 10000 396832 0 0 0 0 0 0 0 
_1.ptx 448 : 10000 60544 0 0 0 0 0 0 0 
_1.ptx 449 : 10000 111024 0 0 0 0 0 0 0 
_1.ptx 450 : 10000 60896 0 0 0 0 0 0 0 
_1.ptx 451 : 10000 110736 0 0 0 0 0 0 0 
_1.ptx 452 : 10000 547072 0 0 0 0 0 0 0 
_1.ptx 453 : 10000 113040 0 0 0 0 0 0 0 
_1.ptx 454 : 10000 76944 0 0 0 0 0 0 0 
_1.ptx 455 : 10000 73008 0 0 0 0 0 0 0 
_1.ptx 456 : 10000 163040 0 0 0 0 0 0 0 
_1.ptx 457 : 10000 78944 0 0 0 0 0 0 0 
_1.ptx 458 : 10000 51184 0 0 0 313 313 0 0 
_1.ptx 460 : 10000 1896656 0 0 0 313 313 0 0 
_1.ptx 461 : 10000 242416 0 0 0 0 0 0 0 
_1.ptx 462 : 10000 110464 0 0 0 0 0 0 0 
_1.ptx 464 : 10000 72496 0 0 0 0 0 0 0 
_1.ptx 465 : 10000 73344 0 0 0 0 0 0 0 
_1.ptx 466 : 10000 87168 0 0 0 0 0 0 0 
_1.ptx 467 : 10000 80128 0 0 0 0 0 0 0 
_1.ptx 468 : 10000 210368 0 0 0 0 0 0 0 
_1.ptx 469 : 10000 115216 0 0 0 0 0 0 0 
_1.ptx 470 : 10000 77072 0 0 0 0 0 0 0 
_1.ptx 471 : 10000 114640 0 0 0 0 0 0 0 
_1.ptx 472 : 10000 74624 0 0 0 0 0 0 0 
_1.ptx 473 : 10000 56831 0 0 0 0 0 0 0 
_1.ptx 474 : 10000 75664 0 0 0 0 0 0 0 
_1.ptx 475 : 10000 147952 0 0 0 0 0 0 0 
_1.ptx 476 : 10000 114864 0 0 0 0 0 0 0 
_1.ptx 477 : 10000 53280 0 0 0 313 313 0 0 
_1.ptx 478 : 10000 144032 0 0 0 0 0 0 0 
_1.ptx 479 : 10000 111904 0 0 0 0 0 0 0 
_1.ptx 480 : 10000 76416 0 0 0 0 0 0 0 
_1.ptx 481 : 10000 77984 0 0 0 0 0 0 0 
_1.ptx 482 : 10000 90656 0 0 0 0 0 0 0 
_1.ptx 483 : 10000 83824 0 0 0 0 0 0 0 
_1.ptx 484 : 10000 136960 0 0 0 0 0 0 0 
_1.ptx 485 : 10000 114048 0 0 0 0 0 0 0 
_1.ptx 486 : 10000 79728 0 0 0 0 0 0 0 
_1.ptx 487 : 10000 116656 0 0 0 0 0 0 0 
_1.ptx 488 : 10000 79968 0 0 0 0 0 0 0 
_1.ptx 489 : 10000 59417 0 0 0 0 0 0 0 
_1.ptx 490 : 10000 79664 0 0 0 0 0 0 0 
_1.ptx 491 : 10000 128832 0 0 0 0 0 0 0 
_1.ptx 492 : 10000 115472 0 0 0 0 0 0 0 
_1.ptx 493 : 10000 53360 0 0 0 313 313 0 0 
_1.ptx 495 : 10000 79568 0 0 0 0 0 0 0 
_1.ptx 496 : 10000 69888 0 0 0 0 0 0 0 
_1.ptx 497 : 10000 570752 0 0 0 0 0 0 0 
_1.ptx 498 : 10000 80400 0 0 0 0 0 0 0 
_1.ptx 499 : 10000 30064 0 0 0 0 0 0 0 
_1.ptx 500 : 10000 119600 0 0 0 0 0 0 0 
_1.ptx 501 : 10000 84784 0 0 0 0 0 0 0 
_1.ptx 502 : 10000 402544 0 0 0 0 0 0 0 
_1.ptx 503 : 10000 75648 0 0 0 0 0 0 0 
_1.ptx 504 : 10000 786352 0 0 0 0 0 0 0 
_1.ptx 505 : 10000 70048 0 0 0 0 0 0 0 
_1.ptx 506 : 10000 117104 0 0 0 0 0 0 0 
_1.ptx 507 : 10000 77392 0 0 0 0 0 0 0 
_1.ptx 508 : 10000 69440 0 0 0 0 0 0 0 
_1.ptx 509 : 10000 115856 0 0 0 0 0 0 0 
_1.ptx 510 : 10000 69408 0 0 0 0 0 0 0 
_1.ptx 511 : 10000 113072 0 0 0 0 0 0 0 
_1.ptx 512 : 10000 422800 0 0 0 0 0 0 0 
_1.ptx 513 : 10000 507808 0 0 0 0 0 0 0 
_1.ptx 514 : 10000 113936 0 0 0 0 0 0 0 
_1.ptx 515 : 10000 76336 0 0 0 0 0 0 0 
_1.ptx 516 : 10000 2710672 40064 0 0 313 313 0 0 
_1.ptx 517 : 10000 90256 0 0 0 0 0 0 0 
_1.ptx 518 : 10000 85296 0 0 0 0 0 0 0 
_1.ptx 519 : 10000 165136 0 0 0 0 0 0 0 
_1.ptx 520 : 10000 184432 0 0 0 0 0 0 0 
_1.ptx 521 : 10000 164848 0 0 0 0 0 0 0 
_1.ptx 522 : 10000 97088 0 0 0 0 0 0 0 
_1.ptx 523 : 10000 51568 0 0 0 313 313 0 0 
_1.ptx 525 : 10000 83616 0 0 0 0 0 0 0 
_1.ptx 527 : 10240 1456 0 0 0 0 0 0 1 
_1.ptx 528 : 10000 30192 0 0 0 0 0 0 0 
_1.ptx 529 : 10000 60736 0 0 0 0 0 0 0 
_1.ptx 530 : 10000 82176 0 0 0 0 0 0 0 
_1.ptx 531 : 10000 0 0 0 0 0 0 0 0 
_1.ptx 532 : 10000 30160 0 0 0 0 0 0 0 
_1.ptx 533 : 10000 72784 0 0 0 0 0 0 0 
_1.ptx 534 : 10000 63392 0 0 0 0 0 0 0 
_1.ptx 535 : 10000 109744 0 0 0 0 0 0 0 
_1.ptx 536 : 10000 30064 0 0 0 0 0 0 0 
_1.ptx 537 : 10000 71840 0 0 0 0 0 0 0 
_1.ptx 538 : 10000 30096 0 0 0 0 0 0 0 
_1.ptx 539 : 10000 71440 0 0 0 0 0 0 0 
_1.ptx 540 : 10000 30384 0 0 0 0 0 0 0 
_1.ptx 541 : 10000 71792 0 0 0 0 0 0 0 
_1.ptx 542 : 10000 72208 0 0 0 0 0 0 0 
_1.ptx 543 : 10000 128480 0 0 0 0 0 0 0 
_1.ptx 544 : 10000 152640 0 0 0 0 0 0 0 
_1.ptx 545 : 10000 30000 0 0 0 0 0 0 0 
_1.ptx 546 : 10000 30032 0 0 0 0 0 0 0 
_1.ptx 547 : 10000 111760 0 0 0 0 0 0 0 
_1.ptx 548 : 10000 30832 0 0 0 0 0 0 0 
_1.ptx 549 : 10000 111696 0 0 0 0 0 0 0 
_1.ptx 550 : 10000 31664 0 0 0 0 0 0 0 
_1.ptx 551 : 10000 73808 0 0 0 0 0 0 0 
_1.ptx 552 : 10000 111040 0 0 0 0 0 0 0 
_1.ptx 553 : 10000 111920 0 0 0 0 0 0 0 
_1.ptx 554 : 10000 33648 0 0 0 0 0 0 0 
_1.ptx 555 : 10000 73536 0 0 0 0 0 0 0 
_1.ptx 559 : 690000 198263376 423808 0 0 21597 21597 0 0 
_1.ptx 560 : 690000 4964416 0 0 0 0 0 0 0 
_1.ptx 561 : 690000 5023280 0 0 0 0 0 0 0 
_1.ptx 562 : 690000 5105424 0 0 0 0 0 0 0 
_1.ptx 563 : 690000 5136400 0 0 0 0 0 0 0 
_1.ptx 564 : 690000 5087968 0 0 0 0 0 0 0 
_1.ptx 565 : 690000 7708832 0 0 0 0 0 0 0 
_1.ptx 566 : 690000 4995184 0 0 0 0 0 0 0 
_1.ptx 567 : 690000 4332816 0 0 0 0 0 0 0 
_1.ptx 568 : 690000 5626480 0 0 0 0 0 0 0 
_1.ptx 569 : 690000 6298256 0 0 0 0 0 0 0 
_1.ptx 570 : 690000 4284784 0 0 0 0 0 0 0 
_1.ptx 571 : 690000 5599664 0 0 0 0 0 0 0 
_1.ptx 572 : 690000 4205520 0 0 0 0 0 0 0 
_1.ptx 577 : 690000 185720960 6528 0 0 21597 21597 0 0 
_1.ptx 578 : 690000 4966160 0 0 0 0 0 0 0 
_1.ptx 579 : 690000 7730880 0 0 0 0 0 0 0 
_1.ptx 581 : 690000 200732912 428800 0 0 21597 21597 0 0 
_1.ptx 583 : 690000 5010352 0 0 0 0 0 0 0 
_1.ptx 584 : 690000 5080016 0 0 0 0 0 0 0 
_1.ptx 585 : 690000 5120816 0 0 0 0 0 0 0 
_1.ptx 586 : 690000 5165360 0 0 0 0 0 0 0 
_1.ptx 587 : 690000 5107504 0 0 0 0 0 0 0 
_1.ptx 588 : 690000 7730608 0 0 0 0 0 0 0 
_1.ptx 589 : 690000 5026784 0 0 0 0 0 0 0 
_1.ptx 590 : 690000 4406352 0 0 0 0 0 0 0 
_1.ptx 591 : 690000 5631280 0 0 0 0 0 0 0 
_1.ptx 592 : 690000 6315440 0 0 0 0 0 0 0 
_1.ptx 593 : 690000 4315840 0 0 0 0 0 0 0 
_1.ptx 594 : 690000 5608752 0 0 0 0 0 0 0 
_1.ptx 595 : 690000 4211632 0 0 0 0 0 0 0 
_1.ptx 600 : 690000 179216704 3072 0 0 21597 21597 0 0 
_1.ptx 601 : 690000 4975792 0 0 0 0 0 0 0 
_1.ptx 602 : 690000 7731072 0 0 0 0 0 0 0 
_1.ptx 604 : 690000 7788224 0 0 0 0 0 0 0 
_1.ptx 605 : 690000 7789392 0 0 0 0 0 0 0 
_1.ptx 606 : 690000 9069072 0 0 0 0 0 0 0 
_1.ptx 607 : 690000 7693296 0 0 0 0 0 0 0 
_1.ptx 608 : 690000 4999888 0 0 0 0 0 0 0 
_1.ptx 609 : 690000 4990992 0 0 0 0 0 0 0 
_1.ptx 610 : 690000 422581104 14366464 0 0 690000 21597 0 0 
_1.ptx 612 : 690000 255978800 0 0 0 0 0 0 0 
_1.ptx 614 : 690000 5600624 0 0 0 0 0 0 0 
_1.ptx 615 : 690000 4087312 0 0 0 0 0 0 0 
_1.ptx 617 : 50000 308720 0 0 0 0 0 0 0 
_1.ptx 618 : 50000 22941856 36224 0 0 50000 1565 0 0 
_1.ptx 620 : 690000 7146592 0 0 0 0 0 0 0 
_1.ptx 621 : 690000 7234000 0 0 0 0 0 0 0 
_1.ptx 622 : 690000 7322816 0 0 0 0 0 0 0 
_1.ptx 623 : 690000 5754256 0 0 0 0 0 0 0 
_1.ptx 624 : 690000 4284672 0 0 0 0 0 0 0 
_1.ptx 625 : 10000 60384 0 0 0 0 0 0 0 
_1.ptx 631 : 10000 0 0 0 0 0 0 0 0 
_1.ptx 633 : 10000 3064640 0 0 0 0 0 0 0 
_1.ptx 635 : 10000 70544 0 0 0 0 0 0 0 
_1.ptx 636 : 10000 491728 0 0 0 0 0 0 0 
_1.ptx 637 : 10000 70992 0 0 0 0 0 0 0 
_1.ptx 638 : 10000 110608 0 0 0 0 0 0 0 
_1.ptx 639 : 10000 2613424 0 0 0 0 0 0 0 
_1.ptx 640 : 10000 70816 0 0 0 0 0 0 0 
_1.ptx 641 : 10000 290080 0 0 0 0 0 0 0 
_1.ptx 642 : 10000 110640 0 0 0 0 0 0 0 
_1.ptx 643 : 10000 3040112 0 0 0 0 0 0 0 
_1.ptx 644 : 10000 60544 0 0 0 0 0 0 0 
_1.ptx 645 : 10000 70944 0 0 0 0 0 0 0 
_1.ptx 649 : 690000 906648832 19544704 0 0 690000 21597 0 0 
_1.ptx 650 : 690000 4841280 0 0 0 0 0 0 0 
_1.ptx 652 : 690000 310390768 0 0 0 0 0 0 0 
_1.ptx 654 : 690000 7609024 0 0 0 0 0 0 0 
_1.ptx 655 : 690000 433406464 89472 0 0 489138 21597 0 0 
_1.ptx 656 : 690000 6929072 0 0 0 0 0 0 0 
_1.ptx 657 : 690000 4875504 0 0 0 0 0 0 0 
_1.ptx 658 : 690000 6929040 0 0 0 0 0 0 0 
_1.ptx 659 : 690000 4868768 0 0 0 0 0 0 0 
_1.ptx 660 : 690000 4881872 0 0 0 0 0 0 0 
_1.ptx 662 : 690000 4173664 0 0 0 0 0 0 0 
_1.ptx 663 : 690000 4175120 0 0 0 0 0 0 0 
_1.ptx 666 : 1380000 9760352 0 0 0 0 0 0 0 
_1.ptx 667 : 1380000 8430016 0 0 0 0 0 0 0 
_1.ptx 668 : 1380000 11112720 0 0 0 0 0 0 0 
_1.ptx 669 : 1380000 4162512 0 0 0 0 0 0 0 
_1.ptx 671 : 690000 7637056 0 0 0 0 0 0 0 
_1.ptx 674 : 1380000 9787200 0 0 0 0 0 0 0 
_1.ptx 675 : 1380000 8461712 0 0 0 0 0 0 0 
_1.ptx 676 : 1380000 11122864 0 0 0 0 0 0 0 
_1.ptx 677 : 1380000 4163968 0 0 0 0 0 0 0 
_1.ptx 679 : 690000 4867120 0 0 0 0 0 0 0 
_1.ptx 680 : 690000 4168864 0 0 0 0 0 0 0 
_1.ptx 683 : 690000 4869504 0 0 0 0 0 0 0 
_1.ptx 684 : 690000 7680624 0 0 0 0 0 0 0 
_1.ptx 685 : 690000 4215344 0 0 0 0 0 0 0 
_1.ptx 688 : 690000 4873152 0 0 0 0 0 0 0 
_1.ptx 690 : 690000 4198288 0 0 0 0 0 0 0 
_1.ptx 691 : 690000 4162656 0 0 0 0 0 0 0 
_1.ptx 694 : 1380000 9798640 0 0 0 0 0 0 0 
_1.ptx 695 : 1380000 8389600 0 0 0 0 0 0 0 
_1.ptx 696 : 1380000 11127104 0 0 0 0 0 0 0 
_1.ptx 697 : 1380000 4162528 0 0 0 0 0 0 0 
_1.ptx 699 : 690000 7627520 0 0 0 0 0 0 0 
_1.ptx 702 : 1380000 9857984 0 0 0 0 0 0 0 
_1.ptx 703 : 1380000 8448064 0 0 0 0 0 0 0 
_1.ptx 704 : 1380000 11123872 0 0 0 0 0 0 0 
_1.ptx 705 : 1380000 4163328 0 0 0 0 0 0 0 
_1.ptx 706 : 690000 4168416 0 0 0 0 0 0 0 
_1.ptx 709 : 690000 4870592 0 0 0 0 0 0 0 
_1.ptx 710 : 690000 7674064 0 0 0 0 0 0 0 
_1.ptx 711 : 690000 4208192 0 0 0 0 0 0 0 
_1.ptx 714 : 690000 4869728 0 0 0 0 0 0 0 
_1.ptx 715 : 690000 7615296 0 0 0 0 0 0 0 
_1.ptx 716 : 690000 4881824 0 0 0 0 0 0 0 
_1.ptx 717 : 690000 4209712 0 0 0 0 0 0 0 
_1.ptx 718 : 690000 313993808 0 0 0 0 0 0 0 
_1.ptx 719 : 690000 10379776 0 0 0 0 0 0 0 
_1.ptx 720 : 690000 4854432 0 0 0 0 0 0 0 
_1.ptx 721 : 690000 6925008 0 0 0 0 0 0 0 
_1.ptx 722 : 690000 6939552 0 0 0 0 0 0 0 
_1.ptx 723 : 690000 5573664 0 0 0 0 0 0 0 
_1.ptx 724 : 690000 4085824 0 0 0 0 0 0 0 
_1.ptx 725 : 10000 60320 0 0 0 0 0 0 0 
_1.ptx 730 : 10000 1607616 0 0 0 0 0 0 0 
_1.ptx 732 : 10000 70864 0 0 0 0 0 0 0 
_1.ptx 733 : 10000 917024 0 0 0 0 0 0 0 
_1.ptx 734 : 10000 1259168 0 0 0 0 0 0 0 
_1.ptx 735 : 10000 110640 0 0 0 0 0 0 0 
_1.ptx 736 : 10000 1209056 40000 0 0 313 313 0 0 
_1.ptx 738 : 10000 60992 0 0 0 0 0 0 0 
_1.ptx 740 : 10000 0 0 0 0 0 0 0 0 
_1.ptx 742 : 10000 71568 0 0 0 0 0 0 0 
_1.ptx 743 : 10000 161120 0 0 0 0 0 0 0 
_1.ptx 744 : 10000 30768 0 0 0 0 0 0 0 
_1.ptx 745 : 10000 111024 0 0 0 0 0 0 0 
_1.ptx 746 : 10000 3518848 40064 0 0 313 313 0 0 
_1.ptx 747 : 10000 41952 0 0 0 0 0 0 0 
_1.ptx 748 : 10000 110480 0 0 0 0 0 0 0 
_1.ptx 749 : 10000 2804960 16384 0 0 313 313 0 0 
_1.ptx 750 : 10000 110480 0 0 0 0 0 0 0 
_1.ptx 751 : 10000 50928 0 0 0 313 313 0 0 
_1.ptx 753 : 10000 60224 0 0 0 0 0 0 0 
_1.ptx 754 : 10000 61536 0 0 0 0 0 0 0 
_1.ptx 756 : 10000 71728 0 0 0 0 0 0 0 
_1.ptx 757 : 10000 157088 0 0 0 0 0 0 0 
_1.ptx 758 : 10000 110288 0 0 0 0 0 0 0 
_1.ptx 759 : 10000 2285152 0 0 0 313 313 0 0 
_1.ptx 760 : 10000 53248 0 313 313 0 0 0 0 
_1.ptx 762 : 10000 60032 0 0 0 0 0 0 0 
_1.ptx 764 : 10000 70960 0 0 0 0 0 0 0 
_1.ptx 765 : 10000 72976 0 0 0 0 0 0 0 
_1.ptx 766 : 10000 65136 0 0 0 0 0 0 0 
_1.ptx 767 : 10000 81856 0 0 0 0 0 0 0 
_1.ptx 768 : 10000 0 0 0 0 0 0 0 0 
_1.ptx 770 : 90000 732320 0 0 0 0 0 0 0 
_1.ptx 771 : 90000 489424 0 0 0 0 0 0 100 
_1.ptx 773 : 10220 85248 0 400 400 0 0 0 0 
_1.ptx 774 : 10220 114386 0 0 0 0 0 0 0 
_1.ptx 775 : 10220 73379 0 0 0 0 0 0 0 
_1.ptx 776 : 10220 113994 0 0 0 0 0 0 0 
_1.ptx 777 : 10220 112981 0 0 0 0 0 0 0 
_1.ptx 778 : 10220 85619 0 400 400 0 0 0 0 
_1.ptx 779 : 10220 113197 0 0 0 0 0 0 0 
_1.ptx 780 : 10220 54017 0 400 400 0 0 0 0 
_1.ptx 783 : 90000 549552 0 0 0 0 0 0 0 
_1.ptx 785 : 90000 641936 0 0 0 0 0 0 0 
_1.ptx 786 : 90000 588480 0 0 0 0 0 0 0 
_1.ptx 787 : 90000 738576 0 0 0 0 0 0 0 
_1.ptx 788 : 90000 499056 0 0 0 0 0 0 0 
_1.ptx 790 : 10000 68224 0 0 0 0 0 0 0 
_1.ptx 791 : 10000 82304 0 0 0 0 0 0 0 
_1.ptx 382 : 10240 65824 0 0 0 0 0 0 0 
_1.ptx 792 : 10000 61537 0 0 0 0 0 0 20 
_1.ptx 383 : 10240 65472 0 0 0 0 0 0 0 
_1.ptx 384 : 10240 65056 0 0 0 0 0 0 0 
_1.ptx 794 : 20 141 0 20 20 0 0 0 0 
_1.ptx 385 : 10240 145120 0 0 0 0 0 0 0 
_1.ptx 795 : 20 60 0 0 0 0 0 0 0 
_1.ptx 386 : 10240 117888 0 0 0 0 0 0 0 
_1.ptx 796 : 20 120 0 0 0 0 0 0 0 
_1.ptx 387 : 10240 2451808 128 0 0 0 0 0 0 
_1.ptx 797 : 20 200 0 0 0 0 0 0 0 
_1.ptx 388 : 10240 83392 0 0 0 0 0 0 0 
_1.ptx 798 : 20 220 0 0 0 0 0 0 0 
_1.ptx 389 : 10240 1536 0 0 0 0 0 0 1 
_1.ptx 799 : 20 100 64 0 0 20 20 0 0 
_1.ptx 391 : 10000 72528 0 0 0 0 0 0 0 
_1.ptx 392 : 10000 107920 0 0 0 0 0 0 0 
_1.ptx 393 : 10000 31376 0 0 0 0 0 0 0 
_1.ptx 394 : 10000 110864 0 0 0 0 0 0 0 
_1.ptx 803 : 10240 61888 0 0 0 0 0 0 0 
_1.ptx 395 : 10000 3893376 40064 0 0 313 313 0 0 
_1.ptx 396 : 10000 103216 0 0 0 0 0 0 0 
_1.ptx 397 : 10000 102896 0 0 0 0 0 0 0 
_1.ptx 399 : 10000 63744 0 0 0 0 0 0 0 
