kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 131072 4997600 128 0 0 0 0 0 0 
_1.ptx 71 : 131072 790720 0 0 0 0 0 0 0 
_1.ptx 72 : 131072 1077632 0 0 0 0 0 0 0 
_1.ptx 73 : 131072 840096 0 0 0 0 0 0 0 
_1.ptx 74 : 131072 836160 0 0 0 0 0 0 0 
_1.ptx 75 : 131072 1076352 0 0 0 0 0 0 0 
_1.ptx 76 : 131072 815620 0 0 0 0 0 0 256 
_1.ptx 77 : 256 0 0 0 0 0 0 0 0 
_1.ptx 78 : 256 1567 0 0 0 0 0 0 0 
_1.ptx 79 : 256 1885 0 0 0 0 0 0 0 
_1.ptx 80 : 256 1266 0 0 0 0 0 0 0 
_1.ptx 81 : 256 1831 0 0 0 0 0 0 0 
_1.ptx 82 : 256 1823 0 0 0 0 0 0 0 
_1.ptx 83 : 256 2587 0 0 0 0 0 0 0 
_1.ptx 84 : 256 1221 0 0 0 0 0 0 0 
_1.ptx 85 : 256 1085 0 0 0 0 0 0 0 
_1.ptx 86 : 256 2596 0 0 0 0 0 0 0 
_1.ptx 87 : 256 2844 0 0 0 0 0 0 0 
_1.ptx 88 : 256 1567 0 0 0 0 0 0 0 
_1.ptx 89 : 256 1820 0 0 0 0 0 0 0 
_1.ptx 93 : 65536 17944666 196608 0 0 65536 65536 0 0 
_1.ptx 94 : 65536 335775 0 65536 65536 0 0 0 0 
_1.ptx 95 : 65536 661730 0 0 0 0 0 0 0 
_1.ptx 96 : 65536 658542 0 0 0 0 0 0 0 
_1.ptx 97 : 65536 722430 0 0 0 0 0 0 0 
_1.ptx 98 : 65536 524638 0 0 0 0 0 0 0 
_1.ptx 99 : 65536 392018 0 0 0 0 0 0 0 
_1.ptx 101 : 256 1544 0 0 0 0 0 0 0 
_1.ptx 103 : 131072 804032 0 0 0 0 0 0 0 
_1.ptx 105 : 131072 806656 0 0 0 0 0 0 0 
_1.ptx 106 : 131072 868832 0 0 0 0 0 0 0 
_1.ptx 107 : 131072 871776 0 0 0 0 0 0 0 
_1.ptx 108 : 131072 867168 0 0 0 0 0 0 0 
_1.ptx 109 : 131072 871968 0 0 0 0 0 0 0 
_1.ptx 110 : 131072 0 0 0 0 0 0 0 0 
_1.ptx 111 : 131072 985152 0 0 0 0 0 0 0 
_1.ptx 112 : 131072 1731232 0 0 0 0 0 0 0 
_1.ptx 113 : 131072 1473216 0 0 0 0 0 0 0 
_1.ptx 114 : 131072 1688448 0 0 0 0 0 0 0 
_1.ptx 115 : 131072 991744 0 0 0 0 0 0 0 
_1.ptx 116 : 131072 1493152 0 0 0 0 0 0 0 
_1.ptx 117 : 131072 1016224 0 0 0 0 0 0 0 
_1.ptx 118 : 131072 430112 0 0 0 0 0 0 0 
_1.ptx 119 : 131072 974240 0 0 0 0 0 0 0 
_1.ptx 120 : 131072 1557344 0 0 0 0 0 0 0 
_1.ptx 121 : 131072 840288 0 0 0 0 0 0 0 
_1.ptx 122 : 131072 1638368 0 0 0 0 0 0 0 
_1.ptx 123 : 131072 1478624 0 0 0 0 0 0 0 
_1.ptx 124 : 131072 882208 0 0 0 0 0 0 0 
_1.ptx 125 : 131072 869408 0 0 0 0 0 0 0 
_1.ptx 126 : 131072 976192 0 0 0 0 0 0 0 
_1.ptx 130 : 33554432 840173472 0 1048576 1048576 0 0 0 0 
_1.ptx 131 : 33554432 12880862624 134217728 0 0 1048576 1048576 0 0 
_1.ptx 132 : 33554432 375342272 0 0 0 0 0 0 0 
_1.ptx 133 : 33554432 312156480 0 0 0 0 0 0 0 
_1.ptx 134 : 33554432 352216032 0 0 0 0 0 0 0 
_1.ptx 135 : 33554432 349984640 0 0 0 0 0 0 0 
_1.ptx 136 : 33554432 381031040 0 0 0 0 0 0 0 
_1.ptx 137 : 33554432 281314496 0 0 0 0 0 0 0 
_1.ptx 138 : 33554432 211139904 0 0 0 0 0 0 0 
_1.ptx 139 : 131072 803776 0 0 0 0 0 0 0 
_1.ptx 149 : 131072 7451040 0 0 0 0 0 0 0 
_1.ptx 150 : 131072 1327136 0 0 0 0 0 0 0 
_1.ptx 151 : 131072 1451552 0 0 0 0 0 0 0 
_1.ptx 152 : 131072 81140096 4194304 0 0 32768 4096 0 0 
_1.ptx 153 : 131072 1450464 0 0 0 0 0 0 0 
_1.ptx 155 : 131072 32629312 1792 0 0 32768 4096 0 0 
_1.ptx 156 : 131072 9392544 0 0 0 0 0 0 0 
_1.ptx 157 : 131072 7924992 0 0 0 0 0 0 0 
_1.ptx 158 : 131072 1319776 0 0 0 0 0 0 0 
_1.ptx 159 : 131072 1462048 0 0 0 0 0 0 0 
_1.ptx 160 : 131072 944928 0 0 0 0 0 0 0 
_1.ptx 161 : 131072 1336864 0 0 0 0 0 0 0 
_1.ptx 162 : 131072 1458080 0 0 0 0 0 0 0 
_1.ptx 163 : 131072 1072320 0 0 0 0 0 0 0 
_1.ptx 164 : 131072 548064 0 0 0 0 0 0 3941 
_1.ptx 166 : 41758 253247 0 0 0 0 0 0 0 
_1.ptx 167 : 41758 1905822 0 0 0 0 0 0 0 
_1.ptx 168 : 41758 462259 0 0 0 0 0 0 0 
_1.ptx 169 : 41758 1898964 60768 0 0 3941 3941 0 0 
_1.ptx 171 : 41758 298278 0 0 0 0 0 0 0 
_1.ptx 172 : 41758 428346 0 0 0 0 0 0 0 
_1.ptx 173 : 41758 462920 0 0 0 0 0 0 0 
_1.ptx 174 : 41758 16383740 8448 0 0 8805 3941 0 0 
_1.ptx 175 : 41758 462505 0 0 0 0 0 0 0 
_1.ptx 176 : 41758 461694 0 0 0 0 0 0 0 
_1.ptx 177 : 41758 1776498 256 0 0 8805 3941 0 0 
_1.ptx 178 : 41758 252751 0 0 0 0 0 0 0 
_1.ptx 181 : 89314 19980777 8064 0 0 31109 4096 0 0 
_1.ptx 183 : 89314 6792189 0 0 0 0 0 0 0 
_1.ptx 184 : 89314 634566 0 0 0 0 0 0 0 
_1.ptx 185 : 89314 909089 0 0 0 0 0 0 0 
_1.ptx 186 : 89314 987759 0 0 0 0 0 0 0 
_1.ptx 187 : 89314 23920087 7296 0 0 20681 4096 0 0 
_1.ptx 188 : 89314 634067 0 0 0 0 0 0 0 
_1.ptx 189 : 89314 906471 0 0 0 0 0 0 0 
_1.ptx 190 : 89314 988137 0 0 0 0 0 0 0 
_1.ptx 191 : 89314 67377949 3662336 0 0 28612 4096 0 0 
_1.ptx 192 : 89314 986526 0 0 0 0 0 0 0 
_1.ptx 193 : 89314 985946 0 0 0 0 0 0 0 
_1.ptx 194 : 89314 15562493 8512 0 0 28612 4096 0 0 
_1.ptx 197 : 131072 792992 0 0 0 0 0 0 0 
