kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 99 : 3145728 6190338976 12582912 0 0 98304 98304 0 0 
_1.ptx 100 : 3145728 22583296 0 0 0 0 0 0 0 
_1.ptx 101 : 3145728 19206464 0 0 0 0 0 0 0 
_1.ptx 102 : 3145728 22713600 0 0 0 0 0 0 0 
_1.ptx 103 : 3145728 19246144 0 0 0 0 0 0 0 
_1.ptx 104 : 3145728 22691712 0 0 0 0 0 0 0 
_1.ptx 105 : 3145728 19275104 0 0 0 0 0 0 0 
_1.ptx 106 : 3145728 22809600 0 0 0 0 0 0 0 
_1.ptx 107 : 3145728 5604015008 3840 0 0 0 0 0 0 
_1.ptx 108 : 3145728 23167968 0 0 0 0 0 0 0 
_1.ptx 109 : 3145728 22753632 0 0 0 0 0 0 0 
_1.ptx 110 : 3145728 22813184 0 0 0 0 0 0 0 
_1.ptx 111 : 3145728 35562176 0 0 0 0 0 0 0 
_1.ptx 112 : 3145728 35555104 0 0 0 0 0 0 0 
_1.ptx 113 : 3145728 35495008 0 0 0 0 0 0 0 
_1.ptx 114 : 3145728 35351904 0 0 0 0 0 0 0 
_1.ptx 115 : 3145728 29368000 0 0 0 0 0 0 0 
_1.ptx 116 : 3145728 29142432 0 0 0 0 0 0 0 
_1.ptx 117 : 3145728 25887712 0 0 0 0 0 0 0 
_1.ptx 118 : 3145728 30503 0 0 0 0 0 0 4438 
_1.ptx 120 : 3140668 46119224 0 0 0 0 0 0 0 
_1.ptx 121 : 3140668 35118472 0 0 0 0 0 0 0 
_1.ptx 122 : 3140668 35095490 0 0 0 0 0 0 0 
_1.ptx 123 : 3140668 35081627 0 0 0 0 0 0 0 
_1.ptx 124 : 3140668 833373001 0 0 0 0 0 0 0 
_1.ptx 125 : 3140668 368083137 0 0 0 0 0 0 0 
_1.ptx 126 : 3140668 35738659 0 0 0 0 0 0 0 
_1.ptx 127 : 3140668 35585438 0 0 0 0 0 0 0 
_1.ptx 128 : 3140668 35990707 0 0 0 0 0 0 0 
_1.ptx 129 : 3140668 30012955 0 0 0 0 0 0 0 
_1.ptx 131 : 3140668 30158719 0 0 0 0 0 0 0 
_1.ptx 133 : 3140668 30486450 0 0 0 0 0 0 0 
_1.ptx 135 : 3145728 33418208 0 0 0 0 0 0 0 
_1.ptx 136 : 3145728 36580608 0 0 0 0 0 0 0 
_1.ptx 137 : 3145728 27001696 0 0 0 0 0 0 0 
_1.ptx 138 : 3145728 19478240 0 0 0 0 0 0 0 
_1.ptx 139 : 24576 150144 0 0 0 0 0 0 0 
_1.ptx 146 : 24576 6598688 0 0 0 0 0 0 0 
_1.ptx 147 : 24576 253216 0 0 0 0 0 0 0 
_1.ptx 148 : 24576 275552 0 0 0 0 0 0 0 
_1.ptx 149 : 24576 5451904 294912 0 0 2304 768 0 0 
_1.ptx 150 : 24576 4357760 181120 0 0 2304 768 0 0 
_1.ptx 151 : 24576 4797056 119808 0 0 2304 768 0 0 
_1.ptx 153 : 24576 147808 0 0 0 0 0 0 0 
_1.ptx 69 : 24576 151808 0 0 0 0 0 0 0 
_1.ptx 70 : 24576 151264 0 0 0 0 0 0 0 
_1.ptx 71 : 24576 150176 0 0 0 0 0 0 0 
_1.ptx 72 : 24576 340256 0 0 0 0 0 0 0 
_1.ptx 73 : 24576 272704 0 0 0 0 0 0 0 
_1.ptx 74 : 24576 178528 0 0 0 0 0 0 0 
_1.ptx 75 : 24576 3116256 128 0 0 0 0 0 0 
_1.ptx 76 : 24576 277824 0 0 0 0 0 0 0 
_1.ptx 77 : 24576 273024 0 0 0 0 0 0 0 
_1.ptx 78 : 24576 14396288 192768 0 0 3072 768 0 0 
_1.ptx 79 : 24576 1882944 0 0 0 0 0 0 0 
_1.ptx 80 : 24576 150080 0 0 0 0 0 0 0 
_1.ptx 81 : 24576 201056 0 0 0 0 0 0 0 
_1.ptx 82 : 24576 0 0 0 0 0 0 0 0 
_1.ptx 83 : 24576 177120 0 0 0 0 0 0 0 
_1.ptx 84 : 24576 887904 0 0 0 0 0 0 0 
_1.ptx 85 : 24576 176640 0 0 0 0 0 0 0 
_1.ptx 86 : 24576 270240 0 0 0 0 0 0 0 
_1.ptx 87 : 24576 713216 0 0 0 0 0 0 0 
_1.ptx 88 : 24576 271520 0 0 0 0 0 0 0 
_1.ptx 89 : 24576 276800 0 0 0 0 0 0 0 
_1.ptx 90 : 24576 839136 0 0 0 0 0 0 0 
_1.ptx 91 : 24576 151936 0 0 0 0 0 0 0 
_1.ptx 92 : 24576 152896 0 0 0 0 0 0 0 
_1.ptx 93 : 24576 153120 0 0 0 0 0 0 0 
_1.ptx 94 : 24576 153280 0 0 0 0 0 0 0 
_1.ptx 95 : 24576 177536 0 0 0 0 0 0 0 
