kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 8247 : 3529536 21339296 0 0 0 0 0 0 0 
_1.ptx 8248 : 3529536 28425760 0 0 0 0 0 0 0 
_1.ptx 8249 : 3529536 21361280 0 0 0 0 0 0 0 
_1.ptx 10752 : 118528 954656 0 0 0 0 0 0 0 
_1.ptx 10753 : 118528 406080 0 0 0 0 0 0 0 
_1.ptx 10755 : 51712 367616 0 0 0 0 0 0 0 
_1.ptx 10757 : 51712 369184 0 0 0 0 0 0 0 
_1.ptx 10761 : 262144 2905440 0 0 0 0 0 0 0 
_1.ptx 10762 : 262144 2914496 0 0 0 0 0 0 0 
_1.ptx 10763 : 262144 2118560 0 0 0 0 0 0 0 
_1.ptx 10764 : 262144 1492384 0 0 0 0 0 0 0 
_1.ptx 10765 : 16384 98848 0 0 0 0 0 0 0 
_1.ptx 10771 : 16384 97721 0 0 0 0 0 0 256 
_1.ptx 10773 : 256 4189 0 0 0 0 0 0 0 
_1.ptx 10774 : 256 2571 0 0 0 0 0 0 0 
_1.ptx 8305 : 3529536 21355328 0 0 0 0 0 0 0 
_1.ptx 10775 : 256 1815 0 0 0 0 0 0 0 
_1.ptx 8306 : 3529536 28500032 0 0 0 0 0 0 0 
_1.ptx 10776 : 256 2573 0 0 0 0 0 0 0 
_1.ptx 8307 : 3529536 21414624 0 0 0 0 0 0 0 
_1.ptx 10777 : 256 2820 0 0 0 0 0 0 0 
_1.ptx 10778 : 256 7070 5888 0 0 256 256 0 0 
_1.ptx 10780 : 256 1804 0 0 0 0 0 0 0 
_1.ptx 10781 : 256 4361 5824 0 0 256 256 0 0 
_1.ptx 10784 : 16384 99136 0 0 0 0 0 0 0 
_1.ptx 8363 : 3529536 21359392 0 0 0 0 0 0 0 
_1.ptx 8364 : 3529536 28454400 0 0 0 0 0 0 0 
_1.ptx 8365 : 3529536 21441280 0 0 0 0 0 0 0 
_1.ptx 7555 : 16384 99360 0 0 0 0 0 0 0 
_1.ptx 7556 : 16384 100224 0 0 0 0 0 0 0 
_1.ptx 7557 : 16384 216960 0 0 0 0 0 0 0 
_1.ptx 7558 : 16384 98944 0 0 0 0 0 0 0 
_1.ptx 7559 : 16384 181504 0 0 0 0 0 0 0 
_1.ptx 7560 : 16384 2348160 128 0 0 0 0 0 0 
_1.ptx 7561 : 16384 194176 0 0 0 0 0 0 0 
_1.ptx 7562 : 16384 291872 0 0 0 0 0 0 0 
_1.ptx 7563 : 16384 182048 0 0 0 0 0 0 0 
_1.ptx 7564 : 16384 120032 0 0 0 0 0 0 0 
_1.ptx 7565 : 16384 103360 0 0 0 0 0 0 0 
_1.ptx 7566 : 16384 255680 0 0 0 0 0 0 0 
_1.ptx 7567 : 16384 133760 0 0 0 0 0 0 0 
