kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2895872 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2685536 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 2900512 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2129792 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 1397952 0 0 0 0 0 0 0 
_1.ptx 104 : 32768 199776 0 0 0 0 0 0 0 
_1.ptx 105 : 32768 202880 0 0 0 0 0 0 0 
_1.ptx 106 : 32768 267872 0 0 0 0 0 0 0 
_1.ptx 107 : 32768 100544 0 0 0 0 0 0 0 
_1.ptx 109 : 16384 135584 0 512 512 0 0 0 0 
_1.ptx 110 : 16384 135872 0 512 512 0 0 0 0 
_1.ptx 111 : 16384 182112 0 0 0 0 0 0 0 
_1.ptx 112 : 16384 84640 0 512 512 0 0 0 0 
_1.ptx 115 : 32768 199840 0 0 0 0 0 0 0 
_1.ptx 116 : 32768 202816 0 0 0 0 0 0 0 
_1.ptx 117 : 32768 266752 0 0 0 0 0 0 0 
_1.ptx 118 : 32768 150976 0 0 0 0 0 0 0 
_1.ptx 120 : 8192 67200 0 256 256 0 0 0 0 
_1.ptx 121 : 8192 67136 0 256 256 0 0 0 0 
_1.ptx 122 : 8192 91008 0 0 0 0 0 0 0 
_1.ptx 123 : 8192 42208 0 256 256 0 0 0 0 
_1.ptx 125 : 32768 200128 0 0 0 0 0 0 0 
_1.ptx 126 : 32768 202336 0 0 0 0 0 0 0 
_1.ptx 127 : 32768 267488 0 0 0 0 0 0 0 
_1.ptx 128 : 32768 176320 0 0 0 0 0 0 0 
_1.ptx 130 : 4096 33504 0 128 128 0 0 0 0 
_1.ptx 131 : 4096 34208 0 128 128 0 0 0 0 
_1.ptx 132 : 4096 45632 0 0 0 0 0 0 0 
_1.ptx 133 : 4096 22016 0 128 128 0 0 0 0 
_1.ptx 135 : 4096 34176 0 128 128 0 0 0 0 
_1.ptx 136 : 4096 33440 0 128 128 0 0 0 0 
_1.ptx 137 : 4096 45472 0 0 0 0 0 0 0 
_1.ptx 138 : 4096 22176 0 128 128 0 0 0 0 
_1.ptx 140 : 4096 34304 0 128 128 0 0 0 0 
_1.ptx 141 : 4096 34208 0 128 128 0 0 0 0 
_1.ptx 142 : 4096 45408 0 0 0 0 0 0 0 
_1.ptx 143 : 4096 21088 0 128 128 0 0 0 0 
_1.ptx 145 : 4096 35808 0 128 128 0 0 0 0 
_1.ptx 146 : 4096 33504 0 128 128 0 0 0 0 
_1.ptx 147 : 4096 45376 0 0 0 0 0 0 0 
_1.ptx 148 : 4096 21248 0 128 128 0 0 0 0 
_1.ptx 150 : 4096 35584 0 128 128 0 0 0 0 
_1.ptx 151 : 4096 33440 0 128 128 0 0 0 0 
_1.ptx 152 : 4096 45248 0 0 0 0 0 0 0 
_1.ptx 153 : 4096 21696 0 128 128 0 0 0 0 
_1.ptx 155 : 4096 35456 0 128 128 0 0 0 0 
_1.ptx 156 : 4096 33376 0 128 128 0 0 0 0 
_1.ptx 157 : 4096 45216 0 0 0 0 0 0 0 
_1.ptx 158 : 4096 20864 0 128 128 0 0 0 0 
_1.ptx 160 : 32768 200544 0 0 0 0 0 0 0 
_1.ptx 161 : 32768 265952 0 0 0 0 0 0 0 
_1.ptx 64 : 32768 209184 0 0 0 0 0 0 0 
_1.ptx 162 : 32768 199703 0 0 0 0 0 0 128 
_1.ptx 65 : 32768 210752 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 247712 0 0 0 0 0 0 0 
_1.ptx 164 : 128 913 0 128 128 0 0 0 0 
