kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 134 : 65536 426912 0 0 0 0 0 0 0 
_1.ptx 135 : 65536 428864 0 0 0 0 0 0 0 
_1.ptx 136 : 65536 845152 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 684096 0 0 0 0 0 0 0 
_1.ptx 138 : 65536 4220256 128 0 0 0 0 0 0 
_1.ptx 139 : 65536 563840 0 0 0 0 0 0 0 
_1.ptx 140 : 65536 459232 0 0 0 0 0 0 0 
_1.ptx 141 : 65536 562720 0 0 0 0 0 0 0 
_1.ptx 142 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 144 : 65536 759680 0 0 0 0 0 0 0 
_1.ptx 145 : 65536 759616 0 0 0 0 0 0 0 
_1.ptx 146 : 65536 724768 0 0 0 0 0 0 0 
_1.ptx 147 : 65536 491616 0 0 0 0 0 0 0 
_1.ptx 151 : 65536 321824 0 0 0 0 0 0 0 
_1.ptx 152 : 65536 728800 0 0 0 0 0 0 0 
_1.ptx 153 : 65536 504832 0 0 0 0 0 0 0 
_1.ptx 154 : 65536 601312 0 0 0 0 0 0 0 
_1.ptx 155 : 65536 509408 0 0 0 0 0 0 0 
_1.ptx 156 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 157 : 65536 503904 0 0 0 0 0 0 0 
_1.ptx 158 : 65536 562336 0 0 0 0 0 0 0 
_1.ptx 159 : 65536 502560 0 0 0 0 0 0 0 
_1.ptx 160 : 65536 926304 0 0 0 0 0 0 0 
_1.ptx 161 : 65536 498688 0 0 0 0 0 0 0 
_1.ptx 162 : 65536 995456 0 0 0 0 0 0 0 
_1.ptx 163 : 65536 742560 0 0 0 0 0 0 0 
_1.ptx 164 : 65536 803936 0 0 0 0 0 0 0 
_1.ptx 165 : 65536 550720 0 0 0 0 0 0 0 
_1.ptx 166 : 65536 799008 0 0 0 0 0 0 0 
_1.ptx 167 : 65536 975360 0 0 0 0 0 0 0 
_1.ptx 168 : 65536 581952 0 0 0 0 0 0 0 
_1.ptx 169 : 65536 788640 0 0 0 0 0 0 0 
_1.ptx 170 : 65536 994368 0 0 0 0 0 0 0 
_1.ptx 171 : 65536 793728 0 0 0 0 0 0 0 
_1.ptx 172 : 65536 794592 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 592096 0 0 0 0 0 0 0 
_1.ptx 174 : 65536 586912 0 0 0 0 0 0 0 
_1.ptx 175 : 65536 569920 0 0 0 0 0 0 0 
_1.ptx 176 : 65536 571296 0 0 0 0 0 0 0 
_1.ptx 177 : 65536 974688 0 0 0 0 0 0 0 
_1.ptx 178 : 65536 1038304 0 0 0 0 0 0 0 
_1.ptx 179 : 65536 1094272 0 0 0 0 0 0 0 
_1.ptx 180 : 65536 1141728 0 0 0 0 0 0 0 
_1.ptx 181 : 65536 770432 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 425856 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 768320 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 557472 0 0 0 0 0 0 0 
_1.ptx 188 : 655360 271643936 2229888 0 0 40960 20480 0 0 
_1.ptx 189 : 655360 17953440 0 20480 20480 0 0 0 0 
_1.ptx 190 : 655360 6715392 0 0 0 0 0 0 0 
_1.ptx 191 : 655360 7338464 0 0 0 0 0 0 0 
_1.ptx 192 : 655360 7347072 0 0 0 0 0 0 0 
_1.ptx 193 : 655360 5425600 0 0 0 0 0 0 0 
_1.ptx 194 : 655360 3721632 0 0 0 0 0 0 0 
_1.ptx 196 : 65536 408384 0 0 0 0 0 0 0 
_1.ptx 197 : 65536 404288 0 0 0 0 0 0 0 
_1.ptx 198 : 65536 532896 0 0 0 0 0 0 0 
_1.ptx 199 : 65536 401492 0 0 0 0 0 0 256 
_1.ptx 200 : 256 0 0 0 0 0 0 0 0 
_1.ptx 201 : 256 1825 0 0 0 0 0 0 0 
_1.ptx 202 : 256 1575 0 0 0 0 0 0 0 
_1.ptx 203 : 256 2860 0 0 0 0 0 0 0 
_1.ptx 204 : 256 1560 0 0 0 0 0 0 0 
_1.ptx 205 : 256 2874 0 0 0 0 0 0 0 
_1.ptx 206 : 256 2595 0 0 0 0 0 0 0 
_1.ptx 207 : 256 2851 0 0 0 0 0 0 0 
_1.ptx 208 : 256 1644 0 0 0 0 0 0 0 
_1.ptx 209 : 256 2840 0 0 0 0 0 0 0 
_1.ptx 210 : 256 2846 0 0 0 0 0 0 0 
_1.ptx 211 : 256 1832 0 0 0 0 0 0 0 
_1.ptx 212 : 256 2836 0 0 0 0 0 0 0 
_1.ptx 213 : 256 2874 0 0 0 0 0 0 0 
_1.ptx 214 : 256 2838 0 0 0 0 0 0 0 
_1.ptx 215 : 256 2845 0 0 0 0 0 0 0 
_1.ptx 216 : 256 1867 0 0 0 0 0 0 0 
_1.ptx 217 : 256 1863 0 0 0 0 0 0 0 
_1.ptx 218 : 256 1846 0 0 0 0 0 0 0 
_1.ptx 219 : 256 1849 0 0 0 0 0 0 0 
_1.ptx 220 : 256 2684 0 0 0 0 0 0 0 
_1.ptx 221 : 256 2999 0 0 0 0 0 0 0 
_1.ptx 222 : 256 3111 0 0 0 0 0 0 0 
_1.ptx 223 : 256 3336 0 0 0 0 0 0 0 
_1.ptx 224 : 256 2849 0 0 0 0 0 0 0 
_1.ptx 225 : 256 7483 0 0 0 0 0 0 0 
_1.ptx 226 : 256 2858 0 0 0 0 0 0 0 
_1.ptx 227 : 256 1897 0 0 0 0 0 0 0 
_1.ptx 231 : 2560 598870 7296 0 0 2560 2560 0 0 
_1.ptx 232 : 2560 28622 0 2560 2560 0 0 0 0 
_1.ptx 233 : 2560 25819 0 0 0 0 0 0 0 
_1.ptx 234 : 2560 28283 0 0 0 0 0 0 0 
_1.ptx 235 : 2560 28313 0 0 0 0 0 0 0 
_1.ptx 236 : 2560 20702 0 0 0 0 0 0 0 
_1.ptx 237 : 2560 14020 0 0 0 0 0 0 0 
_1.ptx 238 : 256 1572 0 0 0 0 0 0 0 
_1.ptx 240 : 65280 660540 0 0 0 0 0 0 0 
_1.ptx 241 : 65280 528638 0 0 0 0 0 0 0 
_1.ptx 242 : 65280 397946 0 0 0 0 0 0 256 
_1.ptx 243 : 256 0 0 0 0 0 0 0 0 
_1.ptx 244 : 256 1831 0 0 0 0 0 0 0 
_1.ptx 245 : 256 1574 0 0 0 0 0 0 0 
_1.ptx 246 : 256 2830 0 0 0 0 0 0 0 
_1.ptx 247 : 256 1547 0 0 0 0 0 0 0 
_1.ptx 248 : 256 2842 0 0 0 0 0 0 0 
_1.ptx 249 : 256 2655 0 0 0 0 0 0 0 
_1.ptx 250 : 256 2856 0 0 0 0 0 0 0 
_1.ptx 251 : 256 1684 0 0 0 0 0 0 0 
_1.ptx 252 : 256 2832 0 0 0 0 0 0 0 
_1.ptx 253 : 256 2844 0 0 0 0 0 0 0 
_1.ptx 254 : 256 1813 0 0 0 0 0 0 0 
_1.ptx 255 : 256 2825 0 0 0 0 0 0 0 
_1.ptx 256 : 256 2876 0 0 0 0 0 0 0 
_1.ptx 257 : 256 2827 0 0 0 0 0 0 0 
_1.ptx 258 : 256 2856 0 0 0 0 0 0 0 
_1.ptx 259 : 256 1894 0 0 0 0 0 0 0 
_1.ptx 260 : 256 1841 0 0 0 0 0 0 0 
_1.ptx 261 : 256 1823 0 0 0 0 0 0 0 
_1.ptx 262 : 256 1812 0 0 0 0 0 0 0 
_1.ptx 263 : 256 2646 0 0 0 0 0 0 0 
_1.ptx 264 : 256 2705 0 0 0 0 0 0 0 
_1.ptx 265 : 256 2911 0 0 0 0 0 0 0 
_1.ptx 266 : 256 2930 0 0 0 0 0 0 0 
_1.ptx 267 : 256 2825 0 0 0 0 0 0 0 
_1.ptx 268 : 256 1167 0 0 0 0 0 0 0 
_1.ptx 269 : 256 2841 0 0 0 0 0 0 0 
_1.ptx 270 : 256 1822 0 0 0 0 0 0 0 
_1.ptx 274 : 2560 377793 9472 0 0 2560 2560 0 0 
_1.ptx 275 : 2560 13778 0 2560 2560 0 0 0 0 
_1.ptx 276 : 2560 26096 0 0 0 0 0 0 0 
_1.ptx 277 : 2560 28432 0 0 0 0 0 0 0 
_1.ptx 278 : 2560 28515 0 0 0 0 0 0 0 
_1.ptx 279 : 2560 21096 0 0 0 0 0 0 0 
_1.ptx 280 : 2560 14182 0 0 0 0 0 0 0 
_1.ptx 285 : 65536 402016 0 0 0 0 0 0 0 
_1.ptx 286 : 65536 433056 0 0 0 0 0 0 0 
_1.ptx 287 : 65536 556704 0 0 0 0 0 0 0 
_1.ptx 288 : 65536 0 0 0 0 0 0 0 0 
