kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 69 : 8388608 93491328 0 0 0 0 0 0 0 
_1.ptx 70 : 8388608 34352576 128 0 0 0 0 0 0 
_1.ptx 71 : 8388608 93293696 0 0 0 0 0 0 0 
_1.ptx 72 : 8388608 2363004480 262144 0 0 262144 262144 0 0 
_1.ptx 73 : 8388608 68611488 0 0 0 0 0 0 0 
_1.ptx 74 : 8388608 92813216 0 0 0 0 0 0 0 
_1.ptx 75 : 8388608 2746953056 262144 0 0 262144 262144 0 0 
_1.ptx 76 : 8388608 118309408 0 0 0 0 0 0 0 
_1.ptx 77 : 8388608 75667168 0 0 0 0 0 0 0 
_1.ptx 78 : 8388608 68094816 0 0 0 0 0 0 0 
_1.ptx 79 : 8388608 92556896 0 0 0 0 0 0 0 
_1.ptx 80 : 8388608 89488832 262144 0 0 262144 262144 0 0 
_1.ptx 82 : 8388608 50413664 0 0 0 0 0 0 0 
_1.ptx 63 : 8388608 52681920 0 0 0 0 0 0 0 
_1.ptx 64 : 8388608 53066944 0 0 0 0 0 0 0 
_1.ptx 65 : 8388608 52698848 0 0 0 0 0 0 0 
_1.ptx 66 : 8388608 110743296 0 0 0 0 0 0 0 
_1.ptx 67 : 8388608 93536416 0 0 0 0 0 0 0 
_1.ptx 68 : 8388608 61852160 0 0 0 0 0 0 0 
